ID	Gender	Age	ConversationType	Priming	SUFlike
S1A-022$B	Women	Young	MixedGender	NoPrime	0
S1A-019$D	Women	Young	SameGender	NoPrime	0
S1A-010$B	Women	Young	SameGender	NoPrime	0
S1A-080$A	Women	Young	SameGender	NoPrime	0
S1A-046$A	Women	Young	SameGender	NoPrime	0
S1A-059$A	Women	Young	SameGender	NoPrime	0
S1A-009$A	Women	Old	SameGender	NoPrime	0
S1A-083$B	Women	Old	MixedGender	NoPrime	0
S1A-019$C	Women	Old	SameGender	NoPrime	0
S1A-075$B	Women	Young	SameGender	NoPrime	0
S1A-035$A	Men	Young	SameGender	Prime	1
S1A-095$A	Women	Young	SameGender	NoPrime	0
S1A-091$C	Women	Young	SameGender	NoPrime	0
S1A-084$B	Women	Young	SameGender	NoPrime	0
S1A-079$A	Women	Young	SameGender	NoPrime	1
S1A-055$B	Women	Old	MixedGender	NoPrime	0
S1A-082$G	Women	Young	MixedGender	NoPrime	0
S1A-055$B	Women	Old	MixedGender	NoPrime	0
S1A-068$B	Women	Young	SameGender	NoPrime	0
S1A-049$A	Women	Young	SameGender	NoPrime	0
S1A-072$B	Men	Young	MixedGender	NoPrime	0
S1A-003$B	Women	Young	MixedGender	NoPrime	0
S1A-093$B	Men	Old	MixedGender	Prime	1
S1A-001$B	Women	Old	MixedGender	NoPrime	0
S1A-051$B	Women	Young	SameGender	NoPrime	0
S1A-007$B	Women	Old	SameGender	NoPrime	0
S1A-074$C	Women	Young	MixedGender	NoPrime	0
S1A-063$B	Women	Young	SameGender	NoPrime	0
S1A-051$D	Women	Young	SameGender	NoPrime	0
S1A-046$A	Men	Young	SameGender	Prime	1
S1A-058$C	Women	Young	SameGender	Prime	0
S1A-076$B	Women	Young	SameGender	NoPrime	0
S1A-058$A	Women	Young	SameGender	NoPrime	0
S1A-078$C	Women	Young	MixedGender	NoPrime	0
S1A-003$C	Women	Young	MixedGender	NoPrime	0
S1A-009$A	Women	Old	SameGender	NoPrime	1
S1A-007$B	Women	Old	SameGender	NoPrime	0
S1A-006$A	Women	Young	SameGender	NoPrime	0
S1A-054$A	Women	Young	SameGender	NoPrime	0
S1A-020$D	Women	Young	SameGender	NoPrime	0
S1A-033$D	Women	Old	SameGender	NoPrime	0
S1A-050$A	Women	Young	SameGender	NoPrime	0
S1A-033$B	Women	Old	SameGender	NoPrime	0
S1A-097$B	Women	Old	SameGender	NoPrime	0
S1A-049$B	Women	Young	SameGender	NoPrime	0
S1A-051$B	Women	Young	SameGender	NoPrime	0
S1A-044$C	Women	Young	SameGender	NoPrime	0
S1A-071$A	Women	Young	MixedGender	NoPrime	1
S1A-095$B	Women	Young	SameGender	NoPrime	0
S1A-050$C	Women	Young	SameGender	NoPrime	0
S1A-021$D	Men	Old	MixedGender	NoPrime	0
S1A-037$A	Women	Old	SameGender	NoPrime	0
S1A-019$A	Women	Young	SameGender	NoPrime	0
S1A-066$C	Women	Young	SameGender	NoPrime	0
S1A-072$B	Men	Young	MixedGender	NoPrime	0
S1A-001$B	Women	Old	MixedGender	NoPrime	0
S1A-076$A	Women	Young	SameGender	NoPrime	0
S1A-050$A	Women	Young	SameGender	NoPrime	0
S1A-001$A	Men	Old	SameGender	NoPrime	0
S1A-091$D	Women	Young	SameGender	NoPrime	0
S1A-072$B	Men	Young	MixedGender	NoPrime	0
S1A-053$C	Women	Young	SameGender	NoPrime	0
S1A-009$A	Women	Old	SameGender	NoPrime	0
S1A-087$A	Women	Young	MixedGender	NoPrime	0
S1A-094$A	Women	Young	SameGender	NoPrime	0
S1A-082$E	Women	Young	MixedGender	NoPrime	0
S1A-050$A	Women	Young	SameGender	NoPrime	0
S1A-079$D	Women	Young	SameGender	NoPrime	1
S1A-033$C	Women	Old	SameGender	NoPrime	0
S1A-070$B	Women	Young	SameGender	Prime	0
S1A-007$B	Women	Old	SameGender	NoPrime	0
S1A-052$B	Men	Young	MixedGender	NoPrime	0
S1A-092$A	Women	Young	SameGender	NoPrime	0
S1A-055$A	Men	Old	MixedGender	NoPrime	1
S1A-071$A	Women	Young	MixedGender	NoPrime	0
S1A-072$C	Women	Young	MixedGender	NoPrime	0
S1A-078$B	Women	Young	MixedGender	Prime	1
S1A-054$D	Women	Young	SameGender	NoPrime	1
S1A-066$C	Women	Young	SameGender	NoPrime	0
S1A-076$A	Women	Young	SameGender	NoPrime	0
S1A-091$D	Women	Young	SameGender	Prime	1
S1A-050$B	Women	Young	SameGender	NoPrime	1
S1A-074$A	Women	Old	MixedGender	Prime	1
S1A-071$C	Men	Young	MixedGender	NoPrime	1
S1A-066$A	Women	Young	SameGender	NoPrime	0
S1A-058$B	Women	Young	SameGender	NoPrime	0
S1A-091$B	Women	Young	SameGender	NoPrime	0
S1A-007$D	Women	Young	SameGender	NoPrime	0
S1A-071$B	Men	Young	MixedGender	NoPrime	0
S1A-051$B	Women	Young	SameGender	NoPrime	0
S1A-074$A	Women	Old	MixedGender	NoPrime	1
S1A-070$A	Women	Young	SameGender	NoPrime	0
S1A-076$A	Women	Young	SameGender	NoPrime	0
S1A-009$A	Women	Old	SameGender	NoPrime	0
S1A-055$A	Men	Old	MixedGender	NoPrime	0
S1A-007$A	Women	Old	SameGender	NoPrime	0
S1A-066$B	Women	Young	SameGender	NoPrime	0
S1A-001$B	Women	Old	MixedGender	Prime	0
S1A-077$D	Women	Young	SameGender	Prime	1
S1A-049$A	Women	Young	SameGender	NoPrime	0
S1A-069$B	Women	Young	MixedGender	NoPrime	0
S1A-069$B	Women	Young	MixedGender	Prime	0
S1A-078$B	Women	Young	MixedGender	NoPrime	0
S1A-020$D	Women	Young	SameGender	NoPrime	1
S1A-033$C	Women	Old	SameGender	NoPrime	0
S1A-074$C	Women	Young	MixedGender	NoPrime	0
S1A-082$A	Women	Young	MixedGender	NoPrime	0
S1A-091$C	Women	Young	SameGender	NoPrime	0
S1A-055$A	Men	Old	MixedGender	Prime	0
S1A-073$B	Men	Old	MixedGender	NoPrime	1
S1A-082$C	Women	Young	MixedGender	NoPrime	0
S1A-022$A	Women	Young	MixedGender	Prime	1
S1A-079$B	Women	Young	SameGender	NoPrime	0
S1A-037$C	Women	Old	SameGender	NoPrime	0
S1A-064$E	Women	Young	MixedGender	NoPrime	1
S1A-022$D	Men	Old	MixedGender	NoPrime	1
S1A-036$B	Women	Young	SameGender	NoPrime	1
S1A-056$D	Women	Young	SameGender	NoPrime	0
S1A-068$C	Women	Young	SameGender	NoPrime	0
S1A-054$C	Women	Young	SameGender	NoPrime	0
S1A-087$B	Men	Young	MixedGender	NoPrime	1
S1A-009$B	Women	Old	SameGender	Prime	0
S1A-019$A	Women	Young	SameGender	NoPrime	0
S1A-010$B	Women	Young	SameGender	NoPrime	0
S1A-022$D	Men	Old	MixedGender	NoPrime	0
S1A-072$C	Women	Young	MixedGender	NoPrime	0
S1A-077$C	Women	Old	SameGender	NoPrime	0
S1A-095$A	Women	Young	SameGender	NoPrime	0
S1A-005$B	Men	Young	SameGender	Prime	1
S1A-076$A	Women	Young	SameGender	NoPrime	0
S1A-095$A	Women	Young	SameGender	NoPrime	0
S1A-045$B	Women	Young	SameGender	NoPrime	0
S1A-003$E	Women	Young	MixedGender	NoPrime	0
S1A-033$C	Women	Old	SameGender	NoPrime	0
S1A-050$C	Women	Young	SameGender	NoPrime	1
S1A-033$D	Women	Old	SameGender	Prime	1
S1A-033$B	Women	Old	SameGender	NoPrime	1
S1A-071$A	Men	Young	SameGender	Prime	0
S1A-019$C	Women	Old	SameGender	NoPrime	0
S1A-067$A	Women	Young	MixedGender	NoPrime	0
S1A-095$A	Women	Young	SameGender	NoPrime	0
S1A-081$C	Women	Young	MixedGender	NoPrime	0
S1A-066$A	Women	Young	SameGender	NoPrime	0
S1A-092$B	Women	Young	SameGender	NoPrime	0
S1A-070$B	Women	Young	SameGender	NoPrime	0
S1A-094$A	Women	Young	SameGender	NoPrime	0
S1A-018$D	Women	Young	MixedGender	NoPrime	0
S1A-095$B	Women	Young	SameGender	NoPrime	0
S1A-007$A	Women	Old	SameGender	NoPrime	0
S1A-091$D	Women	Young	SameGender	NoPrime	0
S1A-039$A	Men	Young	MixedGender	NoPrime	1
S1A-099$A	Women	Young	SameGender	NoPrime	0
S1A-043$B	Men	Young	MixedGender	NoPrime	0
S1A-007$F	Women	Young	SameGender	NoPrime	0
S1A-023$A	Women	Young	MixedGender	NoPrime	0
S1A-086$A	Women	Young	SameGender	NoPrime	0
S1A-054$A	Women	Young	SameGender	NoPrime	0
S1A-006$E	Women	Young	SameGender	NoPrime	0
S1A-055$A	Men	Old	MixedGender	NoPrime	0
S1A-038$B	Men	Young	SameGender	Prime	0
S1A-061$A	Men	Old	MixedGender	Prime	0
S1A-046$A	Women	Young	SameGender	NoPrime	0
S1A-056$B	Women	Young	SameGender	NoPrime	0
S1A-068$A	Women	Young	SameGender	NoPrime	0
S1A-086$A	Women	Young	SameGender	NoPrime	1
S1A-046$A	Women	Young	SameGender	NoPrime	0
S1A-070$B	Women	Young	SameGender	Prime	0
S1A-071$C	Men	Young	MixedGender	NoPrime	1
S1A-006$A	Women	Young	SameGender	Prime	1
S1A-058$A	Women	Young	SameGender	Prime	0
S1A-069$B	Women	Young	MixedGender	NoPrime	0
S1A-095$A	Women	Young	SameGender	NoPrime	0
S1A-080$A	Women	Young	SameGender	NoPrime	0
S1A-038$A	Women	Young	SameGender	NoPrime	0
S1A-010$D	Women	Young	SameGender	Prime	0
S1A-095$B	Women	Young	SameGender	NoPrime	0
S1A-053$C	Women	Young	SameGender	NoPrime	0
S1A-035$B	Women	Young	MixedGender	NoPrime	0
S1A-049$B	Women	Young	SameGender	NoPrime	0
S1A-005$A	Men	Old	SameGender	NoPrime	0
S1A-099$B	Women	Young	SameGender	NoPrime	0
S1A-050$C	Women	Young	SameGender	Prime	0
S1A-049$A	Women	Young	SameGender	NoPrime	0
S1A-049$A	Women	Young	SameGender	NoPrime	1
S1A-072$B	Men	Young	MixedGender	Prime	0
S1A-080$A	Women	Young	SameGender	NoPrime	0
S1A-078$C	Women	Young	MixedGender	NoPrime	0
S1A-081$E	Women	Young	MixedGender	NoPrime	0
S1A-083$D	Men	Old	MixedGender	NoPrime	1
S1A-087$A	Women	Young	MixedGender	NoPrime	0
S1A-076$A	Women	Young	SameGender	NoPrime	0
S1A-020$A	Women	Young	SameGender	Prime	0
S1A-052$C	Men	Young	MixedGender	NoPrime	0
S1A-006$C	Women	Old	SameGender	NoPrime	0
S1A-055$A	Men	Old	MixedGender	NoPrime	0
S1A-051$D	Women	Young	SameGender	NoPrime	0
S1A-046$B	Men	Young	SameGender	Prime	0
S1A-082$E	Women	Young	MixedGender	NoPrime	0
S1A-023$D	Men	Old	MixedGender	NoPrime	0
S1A-070$A	Women	Young	SameGender	NoPrime	0
S1A-020$A	Women	Young	SameGender	NoPrime	0
S1A-071$B	Men	Young	MixedGender	NoPrime	0
S1A-039$B	Men	Young	MixedGender	Prime	0
S1A-008$A	Women	Old	SameGender	NoPrime	0
S1A-004$C	Women	Old	SameGender	NoPrime	0
S1A-054$D	Women	Young	SameGender	NoPrime	0
S1A-087$A	Women	Young	MixedGender	NoPrime	0
S1A-019$B	Women	Young	SameGender	NoPrime	0
S1A-072$C	Women	Young	MixedGender	NoPrime	0
S1A-064$E	Women	Young	MixedGender	NoPrime	0
S1A-084$D	Women	Young	SameGender	NoPrime	0
S1A-009$B	Women	Old	SameGender	NoPrime	0
S1A-046$B	Women	Young	SameGender	Prime	1
S1A-063$B	Women	Young	SameGender	Prime	1
S1A-056$A	Women	Young	SameGender	NoPrime	0
S1A-063$B	Women	Young	SameGender	NoPrime	0
S1A-094$B	Women	Young	SameGender	NoPrime	0
S1A-071$A	Women	Young	MixedGender	NoPrime	0
S1A-008$D	Women	Old	SameGender	NoPrime	0
S1A-087$B	Men	Young	MixedGender	NoPrime	0
S1A-050$C	Women	Young	SameGender	NoPrime	0
S1A-072$C	Women	Young	MixedGender	NoPrime	0
S1A-002$F	Women	Young	MixedGender	NoPrime	0
S1A-076$B	Women	Young	SameGender	NoPrime	0
S1A-089$B	Women	Young	MixedGender	NoPrime	1
S1A-036$B	Women	Young	SameGender	NoPrime	1
S1A-072$B	Men	Young	MixedGender	NoPrime	1
S1A-020$A	Women	Young	SameGender	NoPrime	0
S1A-096$A	Women	Old	SameGender	NoPrime	0
S1A-066$C	Women	Young	SameGender	NoPrime	0
S1A-002$F	Women	Young	MixedGender	NoPrime	1
S1A-093$A	Women	Young	MixedGender	NoPrime	0
S1A-077$A	Women	Old	SameGender	NoPrime	0
S1A-073$A	Women	Old	MixedGender	Prime	1
S1A-079$B	Women	Young	SameGender	NoPrime	0
S1A-033$B	Women	Old	SameGender	NoPrime	0
S1A-006$B	Women	Old	SameGender	NoPrime	1
S1A-060$A	Women	Young	SameGender	NoPrime	0
S1A-050$B	Women	Young	SameGender	NoPrime	1
S1A-081$C	Women	Young	MixedGender	NoPrime	0
S1A-052$C	Men	Young	MixedGender	NoPrime	0
S1A-073$C	Women	Young	MixedGender	NoPrime	1
S1A-008$A	Women	Old	SameGender	NoPrime	0
S1A-066$C	Women	Young	SameGender	NoPrime	1
S1A-021$H	Women	Young	MixedGender	Prime	0
S1A-036$A	Women	Young	SameGender	NoPrime	0
S1A-051$A	Women	Young	SameGender	NoPrime	1
S1A-098$A	Women	Young	SameGender	NoPrime	1
S1A-033$D	Women	Old	SameGender	NoPrime	0
S1A-049$B	Women	Young	SameGender	NoPrime	0
S1A-079$A	Women	Young	SameGender	NoPrime	0
S1A-021$A	Women	Young	MixedGender	NoPrime	0
S1A-076$A	Women	Young	SameGender	NoPrime	0
S1A-082$E	Women	Young	MixedGender	NoPrime	1
S1A-086$A	Women	Young	SameGender	NoPrime	1
S1A-009$B	Women	Old	SameGender	NoPrime	0
S1A-094$A	Women	Young	SameGender	NoPrime	0
S1A-074$B	Men	Old	MixedGender	NoPrime	1
S1A-094$B	Women	Young	SameGender	NoPrime	0
S1A-004$A	Women	Old	SameGender	Prime	1
S1A-039$B	Men	Young	MixedGender	NoPrime	0
S1A-082$E	Women	Young	MixedGender	NoPrime	0
S1A-018$D	Women	Young	MixedGender	NoPrime	0
S1A-054$C	Women	Young	SameGender	Prime	1
S1A-070$B	Women	Young	SameGender	NoPrime	0
S1A-086$B	Women	Young	SameGender	NoPrime	0
S1A-097$B	Women	Old	SameGender	NoPrime	1
S1A-054$A	Women	Young	SameGender	NoPrime	0
S1A-077$D	Women	Young	SameGender	NoPrime	0
S1A-082$E	Women	Young	MixedGender	Prime	1
S1A-092$A	Women	Young	SameGender	NoPrime	0
S1A-010$C	Women	Young	SameGender	NoPrime	0
S1A-005$A	Men	Old	SameGender	NoPrime	0
S1A-037$B	Women	Old	SameGender	NoPrime	1
S1A-084$C	Women	Young	SameGender	NoPrime	0
S1A-005$A	Men	Old	SameGender	Prime	1
S1A-002$A	Women	Young	MixedGender	Prime	0
S1A-053$C	Women	Young	SameGender	NoPrime	0
S1A-060$A	Women	Young	SameGender	NoPrime	0
S1A-081$E	Women	Young	MixedGender	NoPrime	0
S1A-060$A	Women	Young	SameGender	NoPrime	0
S1A-003$D	Women	Old	MixedGender	NoPrime	0
S1A-054$D	Women	Young	SameGender	NoPrime	0
S1A-092$B	Women	Young	SameGender	NoPrime	0
S1A-068$A	Women	Young	SameGender	NoPrime	0
S1A-035$A	Men	Young	MixedGender	NoPrime	0
S1A-059$A	Women	Young	SameGender	Prime	0
S1A-069$C	Women	Young	MixedGender	NoPrime	1
S1A-063$B	Women	Young	SameGender	NoPrime	0
S1A-002$A	Women	Young	MixedGender	NoPrime	0
S1A-070$A	Women	Young	SameGender	NoPrime	0
S1A-093$B	Men	Old	MixedGender	NoPrime	0
S1A-081$H	Men	Young	MixedGender	NoPrime	1
S1A-020$D	Women	Young	SameGender	NoPrime	0
S1A-053$B	Women	Young	SameGender	NoPrime	0
S1A-071$B	Men	Young	MixedGender	NoPrime	0
S1A-058$C	Women	Young	SameGender	NoPrime	1
S1A-069$B	Women	Young	MixedGender	NoPrime	0
S1A-020$A	Men	Young	SameGender	Prime	1
S1A-087$C	Women	Young	MixedGender	NoPrime	0
S1A-061$A	Men	Old	MixedGender	NoPrime	0
S1A-084$B	Women	Young	SameGender	Prime	1
S1A-084$D	Women	Young	SameGender	NoPrime	0
S1A-074$C	Women	Young	MixedGender	NoPrime	0
S1A-073$A	Women	Old	MixedGender	NoPrime	0
S1A-009$A	Women	Old	SameGender	NoPrime	0
S1A-006$A	Women	Young	SameGender	NoPrime	0
S1A-005$B	Men	Young	SameGender	NoPrime	1
S1A-002$A	Women	Young	MixedGender	NoPrime	0
S1A-082$A	Women	Young	MixedGender	NoPrime	0
S1A-019$A	Women	Young	SameGender	NoPrime	0
S1A-020$D	Women	Young	SameGender	NoPrime	0
S1A-049$A	Women	Young	SameGender	NoPrime	0
S1A-082$A	Women	Young	MixedGender	NoPrime	0
S1A-082$A	Women	Young	MixedGender	NoPrime	0
S1A-038$B	Men	Young	SameGender	Prime	0
S1A-066$B	Women	Young	SameGender	NoPrime	0
S1A-079$B	Women	Young	SameGender	NoPrime	0
S1A-050$C	Women	Young	SameGender	NoPrime	0
S1A-019$B	Women	Young	SameGender	NoPrime	0
S1A-063$A	Women	Young	SameGender	NoPrime	0
S1A-066$C	Women	Young	SameGender	NoPrime	0
S1A-099$A	Women	Young	SameGender	NoPrime	0
S1A-077$A	Women	Old	SameGender	NoPrime	0
S1A-082$G	Women	Young	MixedGender	NoPrime	0
S1A-008$C	Women	Old	SameGender	NoPrime	1
S1A-072$B	Men	Young	MixedGender	Prime	1
S1A-067$A	Women	Young	MixedGender	NoPrime	1
S1A-097$B	Women	Old	SameGender	NoPrime	0
S1A-051$A	Women	Young	SameGender	NoPrime	0
S1A-092$B	Women	Young	SameGender	NoPrime	0
S1A-072$C	Women	Young	MixedGender	NoPrime	0
S1A-009$B	Women	Old	SameGender	NoPrime	0
S1A-079$A	Women	Young	SameGender	Prime	1
S1A-005$B	Men	Young	SameGender	NoPrime	1
S1A-002$F	Women	Young	MixedGender	NoPrime	0
S1A-061$B	Women	Young	MixedGender	NoPrime	0
S1A-002$A	Women	Young	MixedGender	NoPrime	0
S1A-006$A	Women	Young	SameGender	NoPrime	0
S1A-038$A	Women	Young	SameGender	NoPrime	0
S1A-004$A	Women	Old	SameGender	Prime	1
S1A-098$A	Women	Young	SameGender	NoPrime	1
S1A-073$A	Women	Old	MixedGender	NoPrime	0
S1A-087$A	Women	Young	MixedGender	NoPrime	0
S1A-084$B	Women	Young	SameGender	NoPrime	0
S1A-064$C	Women	Young	MixedGender	NoPrime	0
S1A-074$B	Men	Old	MixedGender	NoPrime	0
S1A-009$A	Women	Old	SameGender	NoPrime	0
S1A-086$A	Women	Young	SameGender	NoPrime	0
S1A-035$A	Men	Young	MixedGender	NoPrime	1
S1A-021$A	Women	Young	MixedGender	NoPrime	0
S1A-052$C	Men	Young	MixedGender	NoPrime	0
S1A-099$B	Women	Young	SameGender	NoPrime	0
S1A-053$B	Women	Young	SameGender	NoPrime	0
S1A-094$A	Women	Young	SameGender	NoPrime	1
S1A-069$A	Men	Young	MixedGender	NoPrime	0
S1A-070$A	Women	Young	SameGender	NoPrime	0
S1A-075$B	Women	Young	SameGender	Prime	1
S1A-001$A	Men	Old	SameGender	NoPrime	0
S1A-067$A	Women	Young	MixedGender	NoPrime	1
S1A-092$B	Women	Young	SameGender	NoPrime	0
S1A-063$B	Women	Young	SameGender	NoPrime	0
S1A-023$D	Men	Old	MixedGender	NoPrime	0
S1A-022$B	Women	Young	MixedGender	NoPrime	1
S1A-066$C	Women	Young	SameGender	NoPrime	0
S1A-078$E	Women	Young	MixedGender	Prime	0
S1A-070$A	Women	Young	SameGender	NoPrime	0
S1A-011$A	Women	Young	SameGender	NoPrime	0
S1A-038$B	Women	Young	SameGender	NoPrime	0
S1A-069$A	Men	Young	MixedGender	NoPrime	0
S1A-066$C	Women	Young	SameGender	NoPrime	0
S1A-004$A	Women	Old	SameGender	Prime	0
S1A-039$B	Men	Young	MixedGender	NoPrime	0
S1A-010$B	Women	Young	SameGender	Prime	1
S1A-090$B	Women	Young	MixedGender	NoPrime	0
S1A-083$B	Women	Old	MixedGender	NoPrime	0
S1A-009$B	Women	Old	SameGender	NoPrime	0
S1A-050$B	Women	Young	SameGender	NoPrime	0
S1A-050$B	Women	Young	SameGender	Prime	1
S1A-050$A	Women	Young	SameGender	NoPrime	0
S1A-001$B	Women	Old	MixedGender	NoPrime	1
S1A-070$B	Women	Young	SameGender	NoPrime	0
S1A-007$A	Women	Old	SameGender	NoPrime	0
S1A-001$A	Men	Old	SameGender	NoPrime	0
S1A-071$B	Men	Young	MixedGender	NoPrime	0
S1A-038$B	Women	Young	SameGender	NoPrime	0
S1A-067$A	Women	Young	MixedGender	NoPrime	0
S1A-093$B	Men	Old	MixedGender	NoPrime	1
S1A-007$F	Women	Young	SameGender	NoPrime	0
S1A-079$B	Women	Young	SameGender	Prime	1
S1A-094$B	Women	Young	SameGender	NoPrime	0
S1A-088$A	Women	Young	SameGender	NoPrime	0
S1A-070$A	Women	Young	SameGender	Prime	0
S1A-086$B	Women	Young	SameGender	NoPrime	0
S1A-022$A	Women	Young	MixedGender	NoPrime	0
S1A-069$C	Women	Young	MixedGender	NoPrime	0
S1A-059$A	Women	Young	SameGender	NoPrime	0
S1A-098$A	Women	Young	SameGender	NoPrime	0
S1A-006$A	Women	Young	SameGender	NoPrime	0
S1A-002$C	Men	Old	SameGender	NoPrime	0
S1A-010$C	Women	Young	SameGender	NoPrime	0
S1A-021$B	Men	Young	SameGender	NoPrime	0
S1A-010$D	Women	Young	SameGender	NoPrime	0
S1A-078$B	Women	Young	MixedGender	NoPrime	0
S1A-020$A	Women	Young	SameGender	NoPrime	0
S1A-004$B	Women	Old	SameGender	NoPrime	0
S1A-010$D	Women	Young	SameGender	NoPrime	0
S1A-049$A	Women	Young	SameGender	NoPrime	0
S1A-091$B	Women	Young	SameGender	NoPrime	0
S1A-072$A	Women	Young	MixedGender	NoPrime	0
S1A-036$B	Women	Young	SameGender	NoPrime	0
S1A-086$A	Women	Young	SameGender	NoPrime	1
S1A-052$A	Women	Young	MixedGender	NoPrime	0
S1A-023$A	Women	Young	MixedGender	NoPrime	0
S1A-020$A	Women	Young	SameGender	NoPrime	1
S1A-076$B	Women	Young	SameGender	NoPrime	1
S1A-047$B	Women	Old	SameGender	NoPrime	1
S1A-033$B	Women	Old	SameGender	NoPrime	0
S1A-067$A	Women	Young	MixedGender	Prime	0
S1A-086$B	Women	Young	SameGender	NoPrime	0
S1A-020$D	Women	Young	SameGender	NoPrime	0
S1A-033$B	Women	Old	SameGender	Prime	1
S1A-011$A	Women	Young	SameGender	NoPrime	0
S1A-069$C	Women	Young	MixedGender	NoPrime	1
S1A-036$A	Women	Young	SameGender	NoPrime	0
S1A-046$B	Women	Young	SameGender	Prime	0
S1A-046$A	Women	Young	SameGender	NoPrime	0
S1A-063$B	Women	Young	SameGender	NoPrime	0
S1A-053$C	Women	Young	SameGender	NoPrime	0
S1A-066$B	Women	Young	SameGender	NoPrime	0
S1A-082$B	Men	Young	MixedGender	NoPrime	0
S1A-087$A	Women	Young	MixedGender	Prime	1
S1A-087$B	Men	Young	MixedGender	NoPrime	0
S1A-074$C	Women	Young	MixedGender	NoPrime	0
S1A-077$C	Women	Old	SameGender	NoPrime	0
S1A-060$A	Women	Young	SameGender	NoPrime	0
S1A-087$B	Men	Young	MixedGender	NoPrime	0
S1A-056$D	Women	Young	SameGender	NoPrime	0
S1A-053$A	Women	Young	SameGender	NoPrime	1
S1A-003$D	Women	Old	MixedGender	Prime	0
S1A-081$E	Women	Young	MixedGender	NoPrime	0
S1A-084$C	Women	Young	SameGender	NoPrime	0
S1A-037$D	Women	Old	SameGender	NoPrime	0
S1A-002$A	Women	Young	MixedGender	NoPrime	0
S1A-035$A	Men	Young	MixedGender	NoPrime	0
S1A-082$G	Women	Young	MixedGender	NoPrime	1
S1A-036$B	Women	Young	SameGender	NoPrime	0
S1A-046$B	Women	Young	SameGender	NoPrime	0
S1A-002$D	Women	Old	MixedGender	NoPrime	0
S1A-036$A	Women	Young	SameGender	NoPrime	0
S1A-019$B	Women	Young	SameGender	NoPrime	0
S1A-074$C	Women	Young	MixedGender	NoPrime	0
S1A-004$A	Women	Old	SameGender	NoPrime	0
S1A-051$D	Women	Young	SameGender	NoPrime	0
S1A-002$F	Women	Young	MixedGender	NoPrime	0
S1A-076$A	Women	Young	SameGender	NoPrime	0
S1A-093$A	Women	Young	MixedGender	NoPrime	1
S1A-004$A	Women	Old	SameGender	NoPrime	0
S1A-083$E	Women	Old	MixedGender	NoPrime	1
S1A-049$A	Women	Young	SameGender	NoPrime	0
S1A-005$A	Men	Old	SameGender	NoPrime	0
S1A-055$A	Men	Old	MixedGender	NoPrime	1
S1A-038$A	Women	Young	SameGender	Prime	1
S1A-051$A	Women	Young	SameGender	NoPrime	0
S1A-023$B	Women	Young	MixedGender	NoPrime	0
S1A-055$B	Women	Old	MixedGender	NoPrime	0
S1A-049$A	Women	Young	SameGender	NoPrime	0
S1A-002$A	Women	Young	MixedGender	NoPrime	0
S1A-006$B	Women	Old	SameGender	NoPrime	0
S1A-047$B	Women	Old	SameGender	NoPrime	1
S1A-002$F	Women	Young	MixedGender	Prime	1
S1A-096$A	Women	Old	SameGender	NoPrime	0
S1A-072$B	Men	Young	MixedGender	NoPrime	0
