"Course"	"Satisfaction"
"155"	"German"	2
"156"	"German"	2
"157"	"German"	2
"158"	"German"	2
"159"	"German"	2
"160"	"German"	2
"161"	"German"	2
"162"	"German"	2
"163"	"German"	2
"164"	"German"	2
"165"	"German"	2
"166"	"German"	3
"167"	"German"	3
"168"	"German"	3
"169"	"German"	3
"170"	"German"	3
"171"	"German"	3
"172"	"German"	3
"173"	"German"	3
"174"	"German"	3
"175"	"German"	3
"176"	"German"	3
"177"	"German"	3
"178"	"German"	3
"179"	"German"	3
"180"	"German"	3
"181"	"German"	4
"182"	"German"	4
"183"	"German"	4
"184"	"German"	4
"185"	"German"	4
"186"	"German"	4
"187"	"German"	4
"188"	"German"	4
"189"	"German"	4
"190"	"German"	4
"191"	"German"	4
"192"	"German"	4
"193"	"German"	4
"194"	"German"	4
"195"	"German"	4
"196"	"German"	5
"197"	"German"	5
"198"	"German"	5
"199"	"German"	5
"200"	"German"	5
"201"	"Japanese"	1
"202"	"Japanese"	1
"203"	"Japanese"	1
"204"	"Japanese"	1
"205"	"Japanese"	1
"206"	"Japanese"	1
"207"	"Japanese"	1
"208"	"Japanese"	1
"209"	"Japanese"	1
"210"	"Japanese"	1
"211"	"Japanese"	2
"212"	"Japanese"	2
"213"	"Japanese"	2
"214"	"Japanese"	2
"215"	"Japanese"	2
"216"	"Japanese"	2
"217"	"Japanese"	2
"218"	"Japanese"	2
"219"	"Japanese"	2
"220"	"Japanese"	2
"221"	"Japanese"	2
"222"	"Japanese"	2
"223"	"Japanese"	2
"224"	"Japanese"	2
"225"	"Japanese"	2
"226"	"Japanese"	3
"227"	"Japanese"	3
"228"	"Japanese"	3
"229"	"Japanese"	3
"230"	"Japanese"	3
"231"	"Japanese"	3
"232"	"Japanese"	3
"233"	"Japanese"	3
"234"	"Japanese"	3
"235"	"Japanese"	3
"236"	"Japanese"	3
"237"	"Japanese"	3
"238"	"Japanese"	3
"239"	"Japanese"	3
"240"	"Japanese"	3
"241"	"Japanese"	3
"242"	"Japanese"	3
"243"	"Japanese"	3
"244"	"Japanese"	3
"245"	"Japanese"	3
"246"	"Japanese"	4
"247"	"Japanese"	4
"248"	"Japanese"	4
"249"	"Japanese"	4
"250"	"Japanese"	4
"251"	"Japanese"	4
"252"	"Japanese"	4
"253"	"Japanese"	4
"254"	"Japanese"	4
"255"	"Japanese"	4
"256"	"Japanese"	4
"257"	"Japanese"	4
"258"	"Japanese"	4
"259"	"Japanese"	4
"260"	"Japanese"	4
"261"	"Japanese"	4
"262"	"Japanese"	4
"263"	"Japanese"	4
"264"	"Japanese"	4
"265"	"Japanese"	4
"266"	"Japanese"	4
"267"	"Japanese"	4
"268"	"Japanese"	4
"269"	"Japanese"	4
"270"	"Japanese"	4
"271"	"Japanese"	5
"272"	"Japanese"	5
"273"	"Japanese"	5
"274"	"Japanese"	5
"275"	"Japanese"	5
"276"	"Japanese"	5
"277"	"Japanese"	5
"278"	"Japanese"	5
"279"	"Japanese"	5
"280"	"Japanese"	5
"281"	"Japanese"	5
"282"	"Japanese"	5
"283"	"Japanese"	5
"284"	"Japanese"	5
"285"	"Japanese"	5
"286"	"Japanese"	5
"287"	"Japanese"	5
"288"	"Japanese"	5
"289"	"Japanese"	5
"290"	"Japanese"	5
"291"	"Japanese"	5
"292"	"Japanese"	5
"293"	"Japanese"	5
"294"	"Japanese"	5
"295"	"Japanese"	5
"296"	"Japanese"	5
"297"	"Japanese"	5
"298"	"Japanese"	5
"299"	"Japanese"	5
"300"	"Japanese"	5
