"ID_rater"	"ID_child"	"age_group"	"accent_response"	"accent_numeric"	"rating_language"	"age_months"	"family"
"194"	"R5"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"195"	"R6"	"015SIN"	"preschool"	"w"	1	"DE"	72	"bil-rus"
"196"	"R7"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"197"	"R8"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"198"	"R9"	"015SIN"	"preschool"	"w"	1	"DE"	72	"bil-rus"
"199"	"R10"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"200"	"R11"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"201"	"R12"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"202"	"R13"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"203"	"R14"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"204"	"R15"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"205"	"R16"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"206"	"R17"	"015SIN"	"preschool"	"w"	1	"DE"	72	"bil-rus"
"207"	"R18"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"208"	"R19"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"209"	"R20"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"210"	"R21"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"211"	"R1"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"212"	"R2"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"213"	"R3"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"214"	"R4"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"215"	"R5"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"216"	"R6"	"016SIN"	"school"	"no"	0	"DE"	112	"bil-rus"
"217"	"R7"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"218"	"R8"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"219"	"R9"	"016SIN"	"school"	"no"	0	"DE"	112	"bil-rus"
"220"	"R10"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"221"	"R11"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"222"	"R12"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"223"	"R13"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"224"	"R14"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"225"	"R15"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"226"	"R16"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"227"	"R17"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"228"	"R18"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"229"	"R19"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"230"	"R20"	"016SIN"	"school"	"w"	1	"DE"	112	"bil-rus"
"231"	"R21"	"016SIN"	"school"	"s"	2	"DE"	112	"bil-rus"
"232"	"R1"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"233"	"R2"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"234"	"R3"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"235"	"R4"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"236"	"R5"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"237"	"R6"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"238"	"R7"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"239"	"R8"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"240"	"R9"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"241"	"R10"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"242"	"R11"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"243"	"R12"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"244"	"R13"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"245"	"R14"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"246"	"R15"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"247"	"R16"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"248"	"R17"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"249"	"R18"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"250"	"R19"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"251"	"R20"	"017SIN"	"preschool"	"w"	1	"DE"	79	"bil-rus"
"252"	"R21"	"017SIN"	"preschool"	"no"	0	"DE"	79	"bil-rus"
"253"	"R1"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"254"	"R2"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"255"	"R3"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"256"	"R4"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"257"	"R5"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"258"	"R6"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"259"	"R7"	"018SIN"	"school"	"s"	2	"DE"	97	"bil-mixed"
"260"	"R8"	"018SIN"	"school"	"s"	2	"DE"	97	"bil-mixed"
"261"	"R9"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"262"	"R10"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"263"	"R11"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"264"	"R12"	"018SIN"	"school"	"no"	0	"DE"	97	"bil-mixed"
"265"	"R13"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"266"	"R14"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"267"	"R15"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"268"	"R16"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"269"	"R17"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"270"	"R18"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"271"	"R19"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"272"	"R20"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"273"	"R21"	"018SIN"	"school"	"w"	1	"DE"	97	"bil-mixed"
"274"	"R1"	"031SIN"	"school"	"w"	1	"DE"	94	"bil-rus"
"275"	"R2"	"031SIN"	"school"	"no"	0	"DE"	94	"bil-rus"
"276"	"R3"	"031SIN"	"school"	"no"	0	"DE"	94	"bil-rus"
"277"	"R4"	"031SIN"	"school"	"no"	0	"DE"	94	"bil-rus"
"278"	"R5"	"031SIN"	"school"	"w"	1	"DE"	94	"bil-rus"
"279"	"R6"	"031SIN"	"school"	"w"	1	"DE"	94	"bil-rus"
"280"	"R7"	"031SIN"	"school"	"no"	0	"DE"	94	"bil-rus"
"281"	"R8"	"031SIN"	"school"	"s"	2	"DE"	94	"bil-rus"
"282"	"R9"	"031SIN"	"school"	"w"	1	"DE"	94	"bil-rus"
"283"	"R10"	"031SIN"	"school"	"w"	1	"DE"	94	"bil-rus"
"284"	"R11"	"031SIN"	"school"	"w"	1	"DE"	94	"bil-rus"
"285"	"R12"	"031SIN"	"school"	"w"	1	"DE"	94	"bil-rus"
"286"	"R13"	"031SIN"	"school"	"w"	1	"DE"	94	"bil-rus"
"287"	"R14"	"031SIN"	"school"	"no"	0	"DE"	94	"bil-rus"
"288"	"R15"	"031SIN"	"school"	"no"	0	"DE"	94	"bil-rus"
"289"	"R16"	"031SIN"	"school"	"no"	0	"DE"	94	"bil-rus"
"290"	"R17"	"031SIN"	"school"	"no"	0	"DE"	94	"bil-rus"
"291"	"R18"	"031SIN"	"school"	"no"	0	"DE"	94	"bil-rus"
"292"	"R19"	"031SIN"	"school"	"no"	0	"DE"	94	"bil-rus"
"293"	"R20"	"031SIN"	"school"	"w"	1	"DE"	94	"bil-rus"
"294"	"R21"	"031SIN"	"school"	"no"	0	"DE"	94	"bil-rus"
"295"	"R1"	"040SIN"	"school"	"w"	1	"DE"	110	"bil-mixed"
"296"	"R2"	"040SIN"	"school"	"no"	0	"DE"	110	"bil-mixed"
"297"	"R3"	"040SIN"	"school"	"no"	0	"DE"	110	"bil-mixed"
"298"	"R4"	"040SIN"	"school"	"no"	0	"DE"	110	"bil-mixed"
"299"	"R5"	"040SIN"	"school"	"no"	0	"DE"	110	"bil-mixed"
"300"	"R6"	"040SIN"	"school"	"no"	0	"DE"	110	"bil-mixed"
"301"	"R7"	"040SIN"	"school"	"w"	1	"DE"	110	"bil-mixed"
"302"	"R8"	"040SIN"	"school"	"w"	1	"DE"	110	"bil-mixed"
"303"	"R9"	"040SIN"	"school"	"no"	0	"DE"	110	"bil-mixed"
"304"	"R10"	"040SIN"	"school"	"w"	1	"DE"	110	"bil-mixed"
"305"	"R11"	"040SIN"	"school"	"w"	1	"DE"	110	"bil-mixed"
"306"	"R12"	"040SIN"	"school"	"w"	1	"DE"	110	"bil-mixed"
"307"	"R13"	"040SIN"	"school"	"w"	1	"DE"	110	"bil-mixed"
"308"	"R14"	"040SIN"	"school"	"w"	1	"DE"	110	"bil-mixed"
"309"	"R15"	"040SIN"	"school"	"w"	1	"DE"	110	"bil-mixed"
"310"	"R16"	"040SIN"	"school"	"w"	1	"DE"	110	"bil-mixed"
"311"	"R17"	"040SIN"	"school"	"no"	0	"DE"	110	"bil-mixed"
"312"	"R18"	"040SIN"	"school"	"w"	1	"DE"	110	"bil-mixed"
"313"	"R19"	"040SIN"	"school"	"no"	0	"DE"	110	"bil-mixed"
"314"	"R20"	"040SIN"	"school"	"w"	1	"DE"	110	"bil-mixed"
"315"	"R21"	"040SIN"	"school"	"w"	1	"DE"	110	"bil-mixed"
"316"	"R1"	"041SIN"	"preschool"	"s"	2	"DE"	76	"bil-mixed"
"317"	"R2"	"041SIN"	"preschool"	"w"	1	"DE"	76	"bil-mixed"
"318"	"R3"	"041SIN"	"preschool"	"w"	1	"DE"	76	"bil-mixed"
"319"	"R4"	"041SIN"	"preschool"	"w"	1	"DE"	76	"bil-mixed"
"320"	"R5"	"041SIN"	"preschool"	"w"	1	"DE"	76	"bil-mixed"
"321"	"R6"	"041SIN"	"preschool"	"w"	1	"DE"	76	"bil-mixed"
"322"	"R7"	"041SIN"	"preschool"	"s"	2	"DE"	76	"bil-mixed"
"323"	"R8"	"041SIN"	"preschool"	"w"	1	"DE"	76	"bil-mixed"
"324"	"R9"	"041SIN"	"preschool"	"w"	1	"DE"	76	"bil-mixed"
"325"	"R10"	"041SIN"	"preschool"	"s"	2	"DE"	76	"bil-mixed"
"326"	"R11"	"041SIN"	"preschool"	"s"	2	"DE"	76	"bil-mixed"
"327"	"R12"	"041SIN"	"preschool"	"s"	2	"DE"	76	"bil-mixed"
"328"	"R13"	"041SIN"	"preschool"	"s"	2	"DE"	76	"bil-mixed"
