ID	Trial	Language	Gender	UHM	Shots
78	3	Russian	Man	0	0
79	2	German	Man	0	3
80	1	English	Man	0	1
81	1	German	Man	1	4
82	1	English	Man	0	4
83	2	English	Man	0	2
84	3	German	Woman	0	1
85	1	Russian	Man	1	1
86	2	English	Woman	5	12
87	2	German	Man	0	1
88	3	German	Man	0	2
89	1	Mandarin	Woman	1	3
90	3	German	Man	1	3
91	3	German	Woman	0	4
92	1	German	Woman	1	3
93	1	German	Man	0	0
94	1	German	Woman	0	6
95	3	German	Woman	1	1
96	2	German	Woman	0	2
97	3	Mandarin	Woman	0	1
98	1	German	Man	0	3
99	1	German	Woman	0	2
100	3	German	Woman	0	3
101	2	Mandarin	Woman	0	1
102	2	Mandarin	Woman	0	1
103	2	English	Woman	0	3
104	2	German	Woman	2	4
105	1	English	Woman	5	7
106	1	German	Man	0	0
107	3	Mandarin	Woman	1	3
108	1	German	Woman	0	6
109	1	English	Woman	2	6
110	3	German	Woman	1	4
111	1	German	Woman	4	13
112	3	German	Man	0	1
113	3	English	Woman	1	8
114	2	Mandarin	Woman	0	4
115	2	English	Man	1	5
116	2	Russian	Woman	0	7
117	3	German	Woman	1	1
118	1	German	Woman	3	6
119	1	German	Man	0	0
120	3	German	Woman	1	4
121	1	Mandarin	Woman	0	3
122	3	German	Man	0	3
123	1	English	Man	0	4
124	3	Russian	Man	1	1
125	2	English	Woman	2	4
126	2	German	Man	0	0
127	2	German	Man	2	2
128	3	German	Woman	0	4
129	3	German	Woman	0	1
130	1	Mandarin	Man	0	3
131	2	Russian	Woman	0	7
132	1	Mandarin	Woman	0	1
133	1	English	Man	2	4
134	1	Russian	Man	1	1
135	3	German	Woman	1	1
136	3	Russian	Man	2	4
137	2	English	Woman	1	4
138	3	English	Woman	0	1
139	3	German	Man	0	0
140	1	Mandarin	Woman	1	1
141	2	Mandarin	Man	0	3
142	1	German	Man	0	0
143	3	German	Man	1	5
144	3	Russian	Woman	2	4
145	2	Mandarin	Man	1	1
146	2	German	Woman	3	5
147	3	German	Man	3	3
148	1	Mandarin	Woman	1	1
149	3	Mandarin	Woman	2	3
150	1	Russian	Man	1	1
151	1	German	Woman	1	3
152	3	German	Man	0	3
153	3	English	Woman	1	5
154	2	German	Woman	1	2
155	2	Mandarin	Woman	1	1
156	3	German	Woman	0	1
157	2	German	Woman	0	2
158	1	German	Man	0	4
159	3	Mandarin	Woman	0	0
160	1	German	Man	0	1
161	3	English	Man	4	4
162	1	Mandarin	Man	1	1
163	1	Mandarin	Woman	1	3
164	2	German	Man	0	1
165	3	German	Woman	1	3
166	1	Mandarin	Woman	0	3
167	3	Mandarin	Man	0	2
168	2	Mandarin	Woman	0	0
169	2	English	Man	0	2
170	1	German	Man	0	4
171	1	English	Man	2	4
172	2	Mandarin	Woman	0	2
173	2	English	Man	2	4
174	1	Russian	Man	0	1
175	3	German	Woman	0	1
176	1	German	Man	2	3
177	1	Mandarin	Man	0	3
178	1	German	Woman	0	2
179	1	German	Man	1	3
180	2	English	Woman	0	4
181	2	Mandarin	Woman	1	1
182	1	Russian	Man	3	7
183	3	German	Man	0	5
184	1	German	Woman	1	2
185	1	German	Woman	4	13
186	1	German	Woman	0	1
187	1	Mandarin	Woman	0	3
188	1	German	Man	0	4
189	2	Mandarin	Woman	0	0
190	3	Mandarin	Man	0	2
191	3	German	Man	5	5
192	1	Mandarin	Woman	0	3
193	3	English	Woman	2	2
194	1	Russian	Woman	0	9
195	2	Mandarin	Man	1	3
196	2	Mandarin	Man	1	1
197	2	Mandarin	Man	2	2
198	2	German	Woman	0	2
199	1	German	Woman	0	1
200	1	Russian	Man	3	7
201	2	German	Woman	13	13
202	1	Russian	Woman	0	9
203	2	English	Woman	0	4
204	3	Mandarin	Man	1	2
205	2	Mandarin	Woman	1	4
206	2	Mandarin	Woman	2	2
207	3	Mandarin	Woman	1	2
208	3	Mandarin	Man	1	2
209	3	Russian	Man	0	1
210	2	German	Woman	2	2
211	3	German	Woman	0	4
212	3	German	Man	0	2
213	1	German	Woman	1	3
214	1	Mandarin	Man	0	4
215	3	German	Man	1	3
216	3	German	Man	0	5
217	3	German	Man	0	1
218	1	Russian	Man	0	7
219	2	German	Man	0	1
220	2	German	Man	0	1
221	1	Russian	Man	0	1
222	3	Russian	Man	0	1
223	3	German	Woman	0	1
224	2	Mandarin	Woman	1	4
225	1	English	Man	2	8
226	2	Mandarin	Woman	0	0
227	1	German	Woman	0	1
228	3	Mandarin	Woman	0	0
229	3	Mandarin	Woman	0	0
230	1	German	Man	0	0
231	1	German	Woman	0	6
232	3	German	Woman	0	4
233	3	English	Man	0	8
234	2	German	Man	0	1
235	1	Mandarin	Woman	0	1
236	3	German	Man	0	5
237	1	German	Woman	5	13
238	2	Mandarin	Woman	0	0
239	2	German	Woman	0	5
240	2	Russian	Man	0	0
241	1	German	Woman	2	6
242	1	Russian	Woman	0	3
243	1	German	Woman	0	1
244	1	German	Woman	0	6
245	1	English	Man	0	8
246	3	German	Man	0	3
247	1	Mandarin	Woman	0	3
248	3	Mandarin	Man	0	1
249	3	German	Woman	0	4
250	3	Mandarin	Man	1	1
251	1	Russian	Man	0	1
252	2	English	Man	2	4
253	2	German	Woman	0	2
254	2	English	Man	1	5
255	3	German	Woman	0	1
256	3	Russian	Woman	0	1
257	3	Mandarin	Woman	1	3
258	2	English	Man	0	4
259	1	German	Woman	5	13
260	2	German	Man	0	2
261	1	Russian	Woman	1	3
262	3	Russian	Man	0	1
263	3	Russian	Man	0	2
264	3	Mandarin	Man	1	1
265	2	Mandarin	Man	0	2
266	1	Russian	Woman	0	9
267	1	German	Woman	0	2
268	2	Russian	Woman	0	7
269	1	German	Man	0	0
270	2	German	Man	0	0
271	1	Mandarin	Man	0	1
272	1	Mandarin	Man	0	1
273	3	German	Man	2	5
274	1	German	Man	0	0
275	2	Russian	Man	1	5
276	3	German	Man	0	5
277	3	German	Man	2	5
278	2	English	Woman	2	4
279	3	German	Woman	0	1
280	2	English	Man	0	5
281	3	Mandarin	Woman	0	0
282	2	German	Man	0	1
283	2	Mandarin	Woman	1	4
284	3	German	Man	0	5
285	2	German	Man	2	2
286	1	English	Man	0	4
287	1	German	Man	1	3
288	1	Mandarin	Man	0	1
289	2	German	Man	0	2
290	1	German	Woman	1	3
291	1	German	Woman	1	2
292	2	German	Man	0	2
293	1	German	Woman	0	2
294	1	English	Woman	5	7
295	2	Mandarin	Woman	0	4
296	1	Russian	Man	0	1
297	3	German	Man	0	2
298	3	German	Woman	0	1
299	3	Russian	Man	0	0
300	1	German	Woman	4	13
301	1	Russian	Man	0	1
302	2	Russian	Man	0	5
303	1	German	Woman	0	2
304	1	English	Woman	2	3
305	2	English	Woman	0	3
306	1	German	Woman	1	3
307	3	German	Woman	0	1
308	2	Mandarin	Man	0	1
309	3	Mandarin	Man	0	1
310	3	Russian	Woman	1	4
311	2	German	Woman	0	0
312	2	German	Woman	1	2
313	3	German	Man	2	5
314	1	Mandarin	Woman	0	7
315	1	Mandarin	Man	0	2
316	2	Russian	Woman	0	0
317	1	Mandarin	Man	2	3
318	3	German	Woman	1	3
319	2	English	Woman	2	4
320	3	Mandarin	Man	1	1
321	2	English	Man	1	5
322	2	Russian	Man	4	5
323	3	German	Woman	2	4
324	1	English	Woman	0	3
325	1	German	Woman	0	2
326	2	Russian	Woman	0	0
327	2	Russian	Man	1	5
328	2	Russian	Woman	0	7
329	3	German	Man	0	2
330	3	Mandarin	Woman	1	1
331	1	Russian	Man	0	1
332	1	English	Man	0	1
333	1	Russian	Woman	5	5
334	1	German	Man	0	0
335	3	Russian	Woman	0	1
336	1	Mandarin	Woman	1	3
337	3	Russian	Man	2	4
338	2	Mandarin	Man	1	1
339	3	English	Woman	0	1
340	3	Mandarin	Woman	0	0
341	1	English	Woman	0	6
342	2	English	Woman	0	4
343	3	Russian	Man	1	1
344	3	English	Man	0	2
345	1	Mandarin	Woman	3	3
346	3	Mandarin	Man	0	1
347	2	Mandarin	Woman	0	0
348	2	Mandarin	Woman	0	0
349	3	German	Woman	3	5
350	2	English	Woman	0	3
351	2	German	Man	0	0
352	1	Mandarin	Woman	1	1
353	2	German	Man	1	1
354	2	Mandarin	Woman	0	1
355	1	Mandarin	Man	0	3
356	1	German	Man	0	3
357	2	Mandarin	Man	0	1
358	3	German	Woman	1	3
359	2	German	Woman	2	2
360	3	German	Man	3	3
361	3	German	Woman	1	4
362	3	Mandarin	Man	0	2
363	1	German	Man	0	0
364	1	German	Woman	1	2
365	3	German	Woman	0	5
366	1	German	Man	0	0
367	3	German	Man	3	3
368	2	English	Woman	2	12
369	3	German	Man	1	2
370	1	German	Man	0	0
371	2	Mandarin	Man	0	3
372	3	Russian	Man	0	1
373	1	German	Woman	4	13
374	2	Mandarin	Woman	1	1
375	1	German	Woman	1	2
376	3	Mandarin	Man	1	1
377	1	German	Woman	2	6
378	1	German	Woman	2	6
379	1	German	Woman	2	2
380	2	German	Man	0	0
381	3	English	Woman	1	5
382	2	Mandarin	Woman	0	4
383	3	German	Man	1	2
384	2	Mandarin	Woman	0	0
385	1	Russian	Man	0	1
386	1	German	Woman	0	3
387	1	German	Woman	0	3
388	2	German	Woman	0	4
389	1	Russian	Woman	3	9
390	3	Mandarin	Man	0	1
391	3	German	Man	5	5
392	1	Russian	Man	1	1
393	3	English	Man	2	5
394	3	German	Woman	0	1
395	1	English	Woman	1	7
396	1	German	Woman	1	3
397	3	German	Woman	0	1
398	2	German	Woman	2	8
399	1	Mandarin	Woman	0	3
400	2	German	Man	1	7
401	1	German	Man	0	0
402	1	Mandarin	Man	0	1
403	3	German	Man	0	2
404	2	German	Man	1	1
405	1	Mandarin	Woman	0	3
406	2	German	Man	0	1
407	3	Mandarin	Man	0	1
408	1	German	Woman	0	3
409	2	Mandarin	Man	1	1
410	1	German	Man	1	1
411	3	German	Man	2	5
412	3	Mandarin	Man	0	1
413	1	German	Man	0	0
414	3	Russian	Woman	5	10
415	1	English	Man	4	8
416	1	German	Woman	3	6
417	3	English	Man	0	8
418	1	English	Man	0	1
419	2	Mandarin	Woman	0	0
420	1	Mandarin	Woman	1	3
421	3	English	Man	0	2
422	2	Mandarin	Woman	2	2
423	1	Mandarin	Woman	1	3
424	3	German	Woman	0	3
425	1	German	Man	1	4
426	3	English	Man	2	2
427	2	German	Man	1	7
428	3	German	Man	0	3
429	2	Russian	Man	0	1
430	1	German	Woman	0	1
431	1	German	Woman	0	6
432	1	Russian	Woman	0	2
433	3	Mandarin	Woman	0	2
434	3	German	Man	0	2
435	1	German	Woman	1	3
436	3	Mandarin	Man	0	1
437	2	Russian	Woman	2	6
438	2	German	Man	0	1
439	3	German	Man	1	2
440	2	German	Woman	0	2
441	3	Russian	Man	0	0
442	1	Russian	Man	0	7
443	2	English	Man	2	4
444	2	German	Man	0	1
445	2	German	Man	0	1
446	2	English	Woman	2	12
447	2	German	Woman	0	2
448	2	German	Man	2	3
449	1	German	Woman	0	4
450	1	German	Man	0	4
451	1	English	Man	2	4
452	1	English	Woman	2	7
453	3	Mandarin	Woman	0	0
454	2	German	Woman	2	4
455	1	German	Woman	4	13
456	2	Russian	Woman	0	0
457	3	German	Woman	0	4
458	3	German	Woman	0	3
459	1	German	Woman	1	1
460	2	Russian	Man	0	1
461	3	German	Man	2	3
462	1	German	Woman	1	3
463	3	German	Man	0	0
464	2	Russian	Man	0	0
465	1	Russian	Woman	0	5
466	1	English	Man	2	5
467	1	Russian	Woman	0	3
468	2	Mandarin	Man	0	2
469	1	Mandarin	Woman	0	3
470	3	Mandarin	Woman	0	1
471	3	Mandarin	Woman	0	0
472	1	English	Man	2	8
473	1	German	Man	1	4
474	1	German	Woman	1	2
475	1	German	Man	2	4
476	2	Russian	Man	0	1
477	3	Mandarin	Woman	0	0
478	1	Russian	Man	0	1
479	3	German	Man	1	2
480	1	Mandarin	Woman	0	3
481	3	German	Man	0	0
482	3	English	Woman	0	2
483	1	Mandarin	Woman	1	3
484	3	Mandarin	Woman	0	0
485	2	Russian	Man	0	0
486	2	English	Woman	0	3
487	3	Mandarin	Man	1	2
488	2	German	Woman	5	5
489	1	German	Woman	0	3
490	2	German	Man	0	2
491	3	English	Woman	1	5
492	2	German	Woman	0	5
493	1	German	Man	0	0
494	3	German	Man	1	2
495	1	English	Man	0	1
496	1	Mandarin	Woman	1	3
497	2	English	Woman	5	12
498	1	German	Woman	1	3
499	3	English	Man	0	8
500	1	Mandarin	Woman	0	1
