ire	nze	can	ame	phi	jam	bre	sce	aus	ind
61	1	6	6	7	10	8	4	2	5	6
62	1	5	7	5	8	9	4	1	5	7
63	1	5	6	6	7	7	3	2	7	10
64	1	5	7	7	10	8	4	2	4	8
65	2	5	8	6	10	10	6	1	6	6
66	1	6	4	5	10	10	4	1	5	9
67	2	6	7	6	9	10	5	2	6	9
68	2	5	7	6	10	9	4	2	4	9
69	2	5	7	7	10	9	3	2	8	9
70	1	5	6	6	10	9	3	2	4	9
71	2	5	6	6	9	9	4	2	6	8
72	1	5	6	5	8	8	4	1	5	8
73	2	6	6	7	7	10	3	2	7	8
74	2	6	6	6	10	9	6	1	6	10
75	1	5	7	7	8	9	3	2	4	9
76	1	6	7	6	10	10	5	2	5	10
77	2	6	6	5	10	7	5	2	4	7
78	2	5	7	7	7	10	4	2	6	9
79	1	6	7	6	10	10	4	2	6	10
80	2	5	6	7	10	9	5	1	4	8
81	2	6	7	7	10	8	4	2	7	9
82	1	5	4	8	9	10	5	1	5	10
83	2	5	6	7	10	10	4	2	3	10
84	1	5	7	6	10	8	5	2	7	10
85	1	5	5	6	10	9	4	2	6	7
86	1	5	5	7	9	10	5	2	5	8
87	2	5	6	6	10	10	4	2	6	10
88	1	5	5	6	9	9	3	2	5	8
89	1	6	6	6	9	6	5	2	6	9
90	1	6	7	7	10	9	4	1	5	10
91	2	6	7	5	9	9	4	2	6	8
92	2	6	7	6	9	9	4	2	5	7
93	1	5	6	7	10	10	5	2	5	10
94	1	5	5	6	9	9	4	1	5	7
95	1	5	6	8	6	10	4	2	6	10
96	2	5	7	5	10	10	4	2	4	10
97	2	5	8	6	10	10	5	2	7	7
98	1	5	6	6	10	8	5	2	6	7
99	1	5	5	7	10	8	4	1	5	10
100	2	5	7	7	10	7	4	2	5	10
101	1	5	6	7	9	10	5	1	6	10
102	2	6	7	7	9	9	3	2	3	10
103	1	5	5	6	8	8	4	2	4	8
104	2	6	7	5	10	9	5	2	6	9
105	2	5	6	7	10	10	4	2	4	10
106	2	5	8	6	9	7	5	1	5	8
107	1	5	7	6	9	9	4	2	6	9
108	1	6	6	5	9	9	4	2	5	7
109	2	5	6	7	8	10	4	2	4	10
110	2	5	6	6	8	9	5	2	3	9
111	1	5	5	7	10	7	3	2	5	9
112	1	5	6	6	10	10	5	2	6	8
113	2	5	5	8	9	10	3	2	5	10
114	2	5	7	6	10	10	5	2	5	9
115	1	5	7	6	10	8	3	1	5	9
116	2	5	6	6	10	10	4	2	5	10
117	2	5	6	6	9	10	5	2	5	10
118	1	5	6	7	9	8	4	2	6	8
119	2	5	6	6	10	10	5	2	5	10
120	2	5	6	7	8	9	4	2	6	5
121	1	5	6	6	10	6	5	1	6	9
122	1	5	4	6	10	7	3	2	6	9
123	2	5	5	6	8	9	3	2	8	9
124	1	5	7	7	10	9	4	2	6	9
125	2	5	7	6	10	8	5	2	6	7
126	2	5	5	7	10	10	4	1	4	6
127	1	5	7	7	10	8	4	2	5	10
128	2	6	7	6	8	10	3	2	5	8
129	1	5	6	7	10	9	5	2	4	6
130	1	6	7	6	10	8	5	2	4	9
131	2	6	7	9	9	7	5	2	4	10
132	1	5	4	7	10	10	4	2	6	10
133	1	6	7	6	9	8	6	2	5	10
134	1	5	6	5	10	7	5	1	5	10
135	2	5	7	6	10	8	4	2	5	10
136	2	5	6	7	7	8	4	2	5	6
137	1	5	6	6	8	10	3	2	4	8
138	1	5	6	5	9	8	5	2	6	9
139	1	5	7	7	10	9	4	3	5	10
140	1	5	7	6	8	9	4	2	5	9
141	1	5	8	7	10	9	4	2	5	9
142	2	5	6	7	10	9	3	2	6	10
143	2	5	7	7	8	7	4	2	6	9
144	1	5	7	6	9	9	4	2	5	7
145	3	5	6	6	9	8	5	1	5	10
146	2	6	6	7	10	8	4	2	6	9
147	2	5	6	7	10	8	5	1	4	9
148	2	5	6	6	10	10	4	2	6	10
149	1	4	7	6	9	9	3	2	5	8
150	1	6	6	6	9	9	4	2	6	10
151	2	5	7	8	8	7	5	2	6	9
152	1	5	6	6	8	9	4	2	6	9
153	2	5	7	6	8	8	5	1	5	7
154	2	5	7	7	8	10	4	2	5	8
155	2	5	6	6	7	8	4	1	5	10
156	2	5	9	7	10	10	4	2	4	10
157	1	6	7	7	9	8	4	2	6	10
158	2	5	7	7	10	9	4	1	6	9
159	1	5	6	7	9	10	4	2	5	9
160	1	5	7	6	10	8	4	2	6	8
161	2	5	7	6	9	9	4	2	6	9
162	1	5	8	7	10	8	4	2	6	8
163	1	5	7	7	10	8	4	2	6	9
164	2	6	7	5	9	7	5	2	4	9
165	1	5	6	7	9	9	4	2	6	10
166	2	5	6	6	9	9	4	2	6	9
167	1	5	7	8	9	9	3	2	5	7
168	1	5	6	6	10	10	5	2	5	8
169	2	5	7	5	9	9	5	2	4	10
170	1	5	4	7	10	8	5	2	4	10
171	2	5	7	6	10	8	4	2	5	10
172	2	5	6	6	8	9	4	1	5	10
173	2	6	5	6	8	9	3	2	4	10
174	1	6	6	7	8	9	4	2	7	9
175	2	5	4	6	10	8	2	1	4	10
176	1	5	7	7	7	9	4	2	4	9
177	2	7	5	6	8	10	4	2	5	10
178	2	5	5	7	9	9	4	2	5	10
179	2	5	6	7	10	10	5	2	5	7
180	2	4	6	8	10	9	4	2	7	10
181	1	5	5	7	9	6	4	2	4	5
182	2	5	7	8	9	10	4	2	4	6
183	1	5	4	7	10	10	4	2	5	7
184	1	5	5	7	10	10	5	2	4	10
185	1	5	5	7	10	10	5	2	3	6
186	2	4	5	5	7	9	5	2	6	10
187	1	5	6	6	10	10	5	1	5	10
188	1	5	5	7	9	8	3	2	4	10
189	1	5	6	8	9	8	5	1	3	9
190	2	5	6	7	10	10	5	1	4	7
191	2	5	7	6	9	10	3	2	4	9
192	2	6	8	6	10	8	4	2	5	8
193	1	5	6	7	10	9	4	2	5	10
194	2	6	7	6	8	7	5	2	6	9
195	1	5	9	6	9	10	3	2	5	8
196	2	6	7	7	9	9	4	2	6	8
197	1	5	6	7	8	9	5	2	5	9
198	1	5	6	8	10	10	4	2	6	10
199	1	6	6	7	10	9	4	2	6	7
200	2	6	6	7	10	10	3	2	5	10
201	2	4	7	8	9	10	4	2	6	10
202	1	6	7	7	10	7	4	2	5	8
203	1	5	6	7	10	9	6	2	5	10
204	2	5	7	7	8	10	5	2	4	9
205	2	6	6	8	8	8	4	2	5	10
206	2	5	6	7	10	9	6	2	7	5
207	1	6	8	6	7	6	4	2	6	10
208	1	5	7	6	9	9	4	2	7	10
209	1	5	7	7	10	9	4	1	6	8
210	1	5	5	6	10	9	4	2	4	7
211	2	5	8	7	8	10	5	1	6	9
212	2	5	5	7	10	10	5	1	4	9
213	1	5	6	7	10	9	5	2	6	9
214	2	5	5	7	10	8	5	1	6	10
215	2	5	7	8	9	10	4	1	4	9
216	1	5	7	7	10	7	4	2	5	10
217	1	5	6	6	9	9	4	2	6	8
218	1	5	6	7	10	10	5	2	7	10
219	2	6	9	6	9	10	4	2	4	10
220	1	5	8	7	10	9	4	3	4	9
221	2	5	7	6	10	8	5	2	6	10
222	1	6	5	5	9	9	4	2	6	6
223	1	6	7	7	9	10	4	2	5	8
224	2	6	6	7	8	9	3	2	5	8
225	2	6	7	6	10	10	4	2	5	9
226	1	6	8	6	9	10	4	1	5	8
227	2	5	8	8	10	9	4	2	4	10
228	2	5	7	7	10	10	4	1	4	9
229	1	5	7	8	10	8	4	2	6	10
230	2	6	5	7	8	9	4	2	3	8
231	2	5	7	7	8	10	4	2	5	10
232	1	5	8	6	9	9	3	2	4	7
233	2	5	6	7	8	10	5	2	6	9
234	1	5	7	6	8	10	4	2	6	8
235	2	5	7	7	10	9	3	2	6	10
236	2	5	8	7	10	10	4	2	5	8
237	2	6	6	6	10	9	4	2	6	9
238	2	5	5	8	10	5	4	2	6	10
239	2	5	8	7	10	9	4	2	5	8
240	1	5	6	6	9	8	5	2	4	8
241	1	5	6	6	10	10	6	2	6	7
242	2	5	7	7	9	10	3	2	5	7
243	1	5	6	6	10	9	4	2	4	10
244	1	5	7	5	9	9	5	2	4	10
245	1	6	8	6	10	10	4	2	5	8
246	2	5	6	6	9	8	4	2	7	8
247	1	5	5	7	10	9	6	2	6	10
248	2	6	6	7	8	9	4	2	6	10
249	2	6	7	6	10	10	4	2	5	7
250	2	6	6	6	10	10	5	2	6	9
251	1	5	7	6	9	6	4	2	4	9
252	1	6	5	7	9	8	4	2	5	10
253	2	6	6	8	7	10	4	2	6	7
254	2	5	6	8	8	9	4	1	6	10
255	1	5	6	6	9	10	4	2	4	10
256	2	5	6	8	10	8	5	2	6	5
257	1	5	6	7	8	9	4	3	5	8
258	1	5	7	6	10	8	4	2	3	7
259	1	6	5	7	8	9	5	2	5	10
260	1	5	8	7	9	10	6	2	6	10
261	1	6	6	6	10	9	5	2	5	7
262	2	5	6	7	10	8	4	2	5	7
263	1	5	9	8	10	10	4	2	7	9
264	1	6	7	6	10	7	5	2	7	5
265	1	5	6	7	8	9	5	1	6	6
266	1	5	7	6	10	9	4	2	6	10
267	2	6	6	7	9	9	5	2	7	9
268	2	6	6	8	9	9	4	2	6	9
269	2	6	6	7	7	9	4	2	4	8
270	1	6	6	6	9	9	4	1	4	10
271	1	5	6	6	8	7	5	1	5	8
272	2	6	5	6	9	10	3	2	7	8
273	2	5	5	6	10	9	5	1	6	9
274	2	6	7	5	10	10	4	2	7	10
275	1	6	7	6	10	8	6	2	5	10
276	1	5	6	6	8	9	6	2	5	9
277	2	5	6	6	5	7	4	2	5	8
278	2	5	7	6	8	9	4	2	5	9
279	1	5	5	6	8	9	4	2	6	9
280	1	6	6	7	10	9	5	2	5	7
281	1	5	6	8	9	9	4	2	5	6
282	2	5	8	7	10	10	5	2	7	9
283	1	6	8	8	6	8	5	2	6	7
284	2	4	6	6	8	10	5	2	5	8
285	1	6	8	6	8	8	5	2	5	9
286	1	5	5	6	10	8	4	2	6	7
287	1	6	6	7	9	9	4	2	6	9
288	1	5	6	6	10	9	5	2	4	9
289	2	6	6	8	10	8	4	2	6	8
290	1	6	7	7	9	8	5	1	3	9
291	2	6	5	7	9	9	4	2	3	10
292	2	5	5	7	7	10	4	2	6	7
293	2	6	7	7	7	8	2	1	6	8
294	2	5	8	7	8	8	5	1	5	9
295	1	5	7	7	8	9	4	2	5	9
296	1	5	6	8	10	8	5	2	6	10
297	2	5	7	6	9	10	5	2	5	7
298	2	6	7	8	9	10	4	2	6	9
299	1	5	6	7	10	10	6	1	5	10
300	1	5	7	6	9	9	4	2	4	10
301	2	6	5	6	10	8	4	2	5	8
302	2	6	7	7	7	9	4	2	6	9
303	2	5	6	7	10	10	5	2	5	10
304	2	6	5	6	10	8	5	2	4	10
305	1	5	6	7	10	9	4	2	4	8
306	2	5	6	7	10	9	2	2	6	9
307	1	6	7	6	9	9	4	2	5	8
308	1	5	7	6	10	10	4	2	3	9
309	1	5	8	6	10	10	5	2	5	6
310	2	6	5	6	10	10	4	2	5	8
311	2	5	6	7	7	9	5	2	6	6
312	1	5	6	6	6	9	4	2	3	9
313	1	5	7	7	10	9	4	1	6	8
314	2	6	7	6	9	10	4	2	4	8
315	2	6	5	7	10	7	4	2	5	7
316	2	6	7	6	9	9	4	2	5	8
317	2	5	8	7	10	7	3	2	5	10
318	1	6	7	6	8	10	5	2	6	10
319	1	5	7	7	8	10	5	2	5	10
320	2	5	6	7	9	7	5	1	3	10
321	1	6	5	7	10	9	4	2	6	10
322	2	5	6	5	10	9	4	2	6	10
323	1	5	7	7	8	8	5	1	5	10
324	2	5	7	7	10	9	5	2	4	10
325	2	5	7	6	9	10	3	3	6	9
326	1	6	5	6	10	8	4	1	5	10
327	1	6	5	7	10	10	4	2	4	9
328	2	5	6	8	10	9	5	2	3	8
329	2	5	8	6	9	10	4	2	5	8
330	2	5	7	8	10	10	4	2	4	9
331	2	5	8	7	9	10	5	2	5	7
332	1	5	7	7	10	6	5	2	5	9
333	2	5	5	6	9	8	4	2	6	9
334	1	5	7	6	10	9	4	2	5	10
335	1	5	5	8	7	8	4	2	5	10
336	1	6	7	6	8	8	4	1	4	7
337	1	6	7	8	6	9	5	2	4	10
338	2	5	7	8	7	10	5	2	4	10
339	1	5	7	7	10	9	5	2	6	8
340	1	5	6	7	10	10	5	2	4	10
341	2	5	7	6	9	10	5	2	5	10
342	1	6	8	7	10	7	4	2	5	7
343	1	5	7	6	10	10	4	2	4	9
344	2	6	6	7	8	10	4	2	7	9
345	1	5	7	7	8	10	5	2	4	10
346	2	5	5	6	9	8	5	2	4	8
347	1	5	6	6	7	8	4	1	4	9
348	1	5	5	5	9	10	4	2	4	10
349	2	6	6	7	10	8	5	1	6	9
350	1	6	4	7	10	9	5	2	6	10
351	1	5	6	6	9	9	4	2	6	10
352	1	5	7	5	10	9	4	2	6	10
353	2	6	7	8	10	10	4	3	5	8
354	2	5	7	7	8	10	4	1	5	8
355	1	5	6	7	8	7	5	2	4	8
356	1	6	5	5	8	10	6	2	7	8
357	1	5	8	7	8	9	4	2	5	8
358	2	6	7	7	9	10	5	2	6	8
359	2	5	6	7	10	8	4	1	6	8
360	1	6	7	7	10	10	5	2	5	8
361	2	6	7	6	9	7	4	2	4	9
362	1	5	8	6	10	10	4	2	7	9
363	2	6	6	8	10	10	4	2	6	10
364	2	6	5	7	10	10	3	2	5	9
365	2	6	8	7	9	9	3	2	7	8
366	2	5	8	7	6	10	5	2	6	8
367	2	6	5	7	8	8	5	1	4	10
368	2	5	6	5	9	10	4	2	6	8
369	2	5	5	6	9	9	4	2	6	10
370	2	5	6	7	7	10	3	2	6	8
371	1	6	8	6	9	8	5	2	5	9
372	1	6	7	7	9	10	3	2	6	7
373	1	5	8	6	9	10	5	2	6	10
374	1	5	6	7	10	9	4	2	5	9
375	1	5	8	6	9	10	6	2	6	10
376	1	5	6	6	10	9	5	2	5	8
377	2	5	6	7	7	10	4	2	5	8
378	1	5	7	7	9	8	5	2	5	7
379	1	5	5	8	10	7	3	2	5	8
380	1	5	7	5	10	10	5	2	5	10
381	2	6	7	8	10	10	4	2	4	10
382	1	5	7	8	10	9	4	2	5	10
383	2	6	8	7	10	10	5	2	5	9
384	2	6	8	7	10	7	5	1	5	8
385	1	5	7	6	10	5	5	2	6	10
386	2	5	7	6	9	9	4	2	6	10
387	2	6	5	7	9	9	3	2	5	10
388	1	6	7	6	9	9	4	2	6	10
389	1	5	5	6	9	7	4	2	5	6
390	2	6	7	7	10	9	4	2	4	8
391	1	5	5	7	10	8	3	2	6	9
392	2	5	7	8	9	9	4	2	3	7
393	1	6	6	7	6	7	5	2	5	8
394	2	6	6	7	10	10	4	2	4	6
395	2	6	7	6	10	8	5	2	5	10
396	1	5	6	6	10	9	5	2	6	9
397	2	5	6	5	8	9	4	1	5	10
398	2	5	7	6	10	8	5	2	5	9
399	2	6	8	8	6	9	5	2	4	8
400	2	6	6	7	10	8	3	2	4	8
401	2	4	7	6	9	10	4	2	5	10
402	2	6	8	7	10	10	5	2	5	8
403	1	6	6	7	9	10	4	2	6	8
404	2	5	5	7	9	10	4	2	5	10
405	1	5	6	8	10	10	4	1	5	10
406	1	5	8	6	9	6	5	2	6	10
407	2	6	7	6	9	10	5	2	5	10
408	2	5	5	6	10	10	4	1	7	8
409	1	5	4	6	9	8	4	2	5	10
410	2	6	8	8	10	10	5	2	5	6
411	2	6	6	7	10	6	4	2	5	10
412	2	5	7	7	8	9	3	2	6	10
413	1	5	6	6	10	8	4	2	7	8
414	2	5	6	7	10	8	5	2	6	8
415	2	5	7	6	10	10	6	2	6	8
416	1	6	6	6	9	10	4	2	2	9
417	2	5	7	6	10	7	4	2	6	8
418	1	5	7	5	10	10	5	2	5	7
419	2	5	5	7	10	10	5	2	6	6
420	2	5	5	8	10	8	5	2	6	7
421	2	5	7	5	10	8	2	2	5	8
422	1	5	7	7	9	10	4	2	5	10
423	2	5	7	6	7	8	4	2	5	6
424	1	6	6	6	9	9	3	2	6	9
425	1	6	5	6	9	9	3	2	5	10
426	1	5	6	7	8	10	4	2	3	10
427	2	5	5	6	10	9	5	2	5	7
428	2	5	6	6	8	10	4	1	4	10
429	1	5	7	6	10	10	5	2	4	7
430	1	5	6	6	9	8	5	2	5	9
431	2	5	7	8	10	9	4	2	5	10
432	2	5	7	6	8	9	4	2	7	9
433	2	6	8	6	10	9	4	2	5	7
434	2	5	6	5	9	9	4	2	6	7
435	1	5	7	7	9	8	4	2	5	8
436	1	5	6	6	10	9	5	2	6	10
437	1	5	6	7	9	10	5	2	4	9
438	2	6	5	9	10	9	5	1	5	9
439	2	5	5	6	8	10	4	2	5	7
440	1	5	7	7	10	9	4	2	6	9
441	2	5	6	7	7	10	4	2	6	10
442	2	5	7	6	10	8	4	2	5	10
443	1	5	8	7	8	10	4	2	5	10
444	2	5	8	6	10	10	4	1	6	10
445	1	6	8	7	8	8	5	1	6	10
446	1	6	7	5	9	10	4	2	5	10
447	2	5	7	7	10	9	4	2	4	8
448	2	5	6	6	10	10	4	1	6	9
449	2	5	7	7	9	7	5	2	6	10
450	3	5	6	7	9	10	4	2	6	10
451	1	5	7	6	7	8	5	2	5	9
452	2	6	5	6	10	10	4	2	4	8
453	2	5	6	6	10	8	5	1	5	10
454	1	5	7	6	8	8	4	2	6	8
455	2	5	6	7	10	9	3	2	5	8
456	2	5	6	8	10	10	5	2	5	9
457	1	6	5	6	10	9	5	2	5	7
458	2	5	4	6	9	9	3	1	6	7
459	1	5	7	7	10	10	4	1	6	10
460	2	5	7	6	10	10	3	2	7	7
461	2	5	7	8	8	10	4	2	7	8
462	2	5	5	6	10	9	4	2	6	10
463	1	6	8	7	9	10	4	2	5	8
464	2	5	6	5	9	9	5	2	7	8
465	2	5	7	5	10	10	4	2	6	8
466	2	5	7	6	9	9	4	2	5	7
467	2	6	6	8	10	8	5	2	5	9
468	2	5	5	6	10	10	4	2	4	10
469	2	5	5	7	8	10	3	2	5	6
470	2	5	5	7	10	7	4	2	4	8
471	1	5	7	7	9	8	3	2	3	9
472	2	5	6	6	10	9	4	2	7	7
473	2	5	5	7	7	9	4	2	4	10
474	1	5	6	7	8	9	3	1	5	10
475	1	5	7	7	10	10	4	2	5	9
476	1	5	6	8	10	9	5	2	7	10
477	1	5	9	8	10	10	4	2	5	9
478	1	5	6	8	7	9	4	2	4	6
479	2	5	5	6	7	10	3	2	5	9
480	1	5	7	5	9	6	4	1	5	10
481	2	6	6	8	6	10	5	2	5	6
482	1	6	6	6	7	10	5	2	6	10
483	1	6	6	7	10	10	4	2	4	9
484	2	5	6	5	9	8	4	2	2	9
485	1	5	6	6	10	9	5	2	6	8
486	1	6	7	6	8	9	4	1	7	8
487	1	5	6	7	7	9	4	2	3	10
488	2	6	6	7	10	10	4	2	6	7
489	2	5	6	7	10	8	4	2	6	10
490	1	5	7	7	10	10	4	2	5	10
491	1	5	6	8	9	10	6	2	5	8
492	2	6	7	6	8	9	4	2	5	10
493	2	6	6	8	10	10	4	2	5	9
494	1	5	6	6	10	8	4	2	4	10
495	1	5	5	6	10	7	5	2	5	9
496	2	5	7	6	10	9	4	2	3	10
497	1	5	7	6	9	8	4	2	6	9
498	1	6	7	8	10	10	4	2	6	9
499	1	6	7	7	10	7	3	2	5	8
500	1	5	8	7	9	10	5	2	6	7
501	1	5	6	7	10	9	3	2	5	8
502	1	6	7	6	10	10	4	2	5	9
503	2	5	7	7	10	9	4	2	5	9
504	2	5	6	7	10	10	5	2	5	9
505	1	5	6	7	7	10	4	2	5	7
506	2	6	6	6	10	8	4	2	4	9
507	2	6	6	7	10	10	5	2	4	9
508	1	5	5	6	9	10	5	1	5	10
509	1	5	5	5	10	7	5	2	4	7
510	1	5	7	6	10	10	5	2	6	10
511	1	5	6	6	10	9	4	2	5	10
512	2	5	6	5	9	10	5	2	4	10
513	2	5	6	6	10	9	4	1	6	8
514	2	5	7	6	10	9	4	2	5	9
515	2	5	7	7	8	7	5	2	6	9
516	1	5	5	7	8	10	4	1	7	10
517	1	5	7	7	8	9	4	2	3	10
518	2	6	5	7	10	8	4	2	5	10
519	1	6	5	7	10	9	4	2	7	9
520	1	5	6	6	10	8	4	1	5	10
521	1	5	8	6	10	9	4	2	4	9
522	2	5	5	8	10	10	4	2	5	7
523	1	5	6	8	7	9	4	1	4	8
524	2	5	6	7	10	10	4	2	6	7
525	1	5	5	7	10	8	4	2	7	9
526	2	6	6	8	10	10	5	2	6	10
527	1	5	6	8	9	10	4	2	4	10
528	2	5	5	7	10	10	3	2	5	7
529	2	5	7	5	10	9	4	2	6	9
530	2	6	7	6	8	9	4	2	4	10
531	1	5	7	7	10	10	4	2	5	10
532	1	5	6	6	9	8	5	2	7	10
533	1	5	6	5	8	8	5	2	4	10
534	2	4	5	7	8	10	5	2	6	10
535	2	6	8	6	10	10	5	2	6	10
536	1	5	7	6	7	10	4	2	4	10
537	1	5	9	7	10	10	4	2	5	8
538	1	6	6	7	7	6	5	2	5	10
539	1	5	6	6	10	9	4	2	5	8
540	2	5	6	7	8	10	4	1	5	9
541	1	5	7	6	7	10	3	2	5	8
542	1	6	6	7	10	9	4	2	4	10
543	1	6	6	6	10	10	4	2	7	10
544	2	6	7	6	10	8	5	2	6	10
545	2	5	7	7	8	9	5	2	4	8
546	2	5	6	9	9	10	4	2	5	9
547	2	5	6	6	8	9	6	2	5	9
548	2	5	9	6	7	9	3	1	5	10
549	2	5	7	7	8	9	4	2	5	10
550	2	6	7	7	10	9	4	2	4	7
551	2	5	5	4	10	9	3	2	6	9
552	1	5	8	7	8	9	5	1	6	10
553	2	5	9	6	9	9	5	1	3	10
554	1	5	5	6	9	10	5	1	5	10
555	2	6	7	6	10	10	3	2	6	6
556	1	5	8	5	9	10	5	2	7	10
557	2	5	5	5	10	9	4	2	6	8
558	1	6	5	7	10	10	6	1	6	7
559	1	5	7	8	9	8	4	1	5	10
560	1	5	8	7	8	10	4	2	4	9
561	1	5	7	7	8	10	4	2	5	8
562	2	5	6	6	10	10	5	1	4	10
563	1	5	7	6	10	10	4	2	5	8
564	2	6	6	6	9	7	4	2	4	9
565	2	5	6	6	7	10	4	1	4	8
566	2	6	8	7	8	10	2	2	5	9
567	1	5	5	7	10	9	4	2	4	10
568	1	5	8	8	10	10	5	1	5	10
569	1	5	5	7	10	8	3	1	6	7
570	2	6	7	7	9	9	4	2	6	10
571	1	5	5	7	10	9	4	1	5	6
572	1	6	5	6	10	10	4	2	5	6
573	1	5	7	7	10	8	4	2	5	9
574	1	6	7	7	10	10	4	1	3	9
575	1	5	6	7	10	6	5	2	5	9
576	2	5	7	5	9	8	5	2	4	10
577	2	5	6	6	10	10	5	1	5	8
578	2	5	6	7	10	10	5	1	4	10
579	2	5	8	7	10	9	4	2	3	9
580	2	5	8	6	7	9	3	2	7	9
581	1	6	5	8	7	9	5	2	5	9
582	1	5	5	8	9	10	3	2	4	8
583	1	6	7	6	6	10	5	2	5	10
584	1	6	7	8	10	9	4	1	3	9
585	2	5	6	7	6	10	4	2	6	10
586	1	5	6	6	10	9	5	2	6	9
587	1	6	7	7	8	7	4	2	6	9
588	2	5	6	6	7	9	4	1	7	6
589	1	5	7	5	10	7	4	2	5	8
590	1	5	6	7	9	9	4	2	3	7
591	2	5	6	6	8	9	4	2	5	8
592	1	5	6	7	9	10	4	2	6	8
593	1	5	6	6	10	9	4	2	5	10
594	1	5	6	7	10	10	5	2	5	7
595	1	5	8	6	9	9	5	2	6	8
596	2	5	6	8	10	8	5	2	5	10
597	1	5	6	7	9	8	4	2	5	9
598	1	5	8	8	9	8	5	2	7	5
599	1	5	7	7	10	9	5	1	5	8
600	2	5	9	7	10	10	4	2	5	7
601	2	5	7	7	8	10	5	2	5	9
602	2	5	7	6	9	10	4	2	5	8
603	1	5	6	7	10	9	4	2	4	9
604	2	5	8	7	7	9	4	2	5	7
605	1	5	7	7	8	10	4	3	5	9
606	1	5	6	6	10	9	4	2	4	7
607	1	6	8	7	10	10	5	1	4	10
608	2	5	7	6	7	10	4	2	6	8
609	1	5	7	6	9	10	5	1	5	9
610	2	5	7	6	10	8	5	1	5	7
611	2	6	6	8	10	8	5	2	5	9
612	2	6	4	7	5	9	4	2	5	10
613	1	5	7	7	8	8	4	2	3	6
614	2	5	5	7	10	10	4	2	6	10
615	2	5	7	8	10	9	4	2	6	10
616	1	5	6	7	8	7	4	2	5	8
617	2	5	6	6	8	10	3	1	4	7
618	1	5	7	7	7	10	4	2	4	9
619	1	5	7	7	10	9	5	2	3	10
620	1	5	6	7	8	8	4	2	5	9
621	1	5	7	5	10	10	2	2	5	9
622	1	6	8	7	8	9	5	1	7	9
623	1	6	8	7	10	9	4	2	5	7
624	1	5	6	6	10	8	4	2	4	8
625	1	6	6	7	10	10	4	2	5	10
626	1	5	6	6	10	10	4	2	5	9
627	2	5	8	6	10	10	4	2	4	10
628	1	5	5	5	8	8	4	1	4	10
629	1	5	9	6	7	8	5	2	4	10
630	2	5	6	4	10	8	4	2	5	10
631	1	5	5	6	10	7	4	3	6	8
632	2	5	6	6	10	10	3	2	6	8
633	2	6	6	7	9	9	4	2	4	10
