"ID"	"Name"	"City"	"Country"	"Latitude"	"Longitude"
1	"Goroka Airport"	"Goroka"	"Papua New Guinea"	-6.08168983459	145.391998291
2	"Madang Airport"	"Madang"	"Papua New Guinea"	-5.20707988739	145.789001465
3	"Mount Hagen Kagamuga Airport"	"Mount Hagen"	"Papua New Guinea"	-5.82678985595703	144.296005249023
4	"Nadzab Airport"	"Nadzab"	"Papua New Guinea"	-6.569803	146.725977
5	"Port Moresby Jacksons International Airport"	"Port Moresby"	"Papua New Guinea"	-9.44338035583496	147.220001220703
6	"Wewak International Airport"	"Wewak"	"Papua New Guinea"	-3.58383011818	143.669006348
7	"Narsarsuaq Airport"	"Narssarssuaq"	"Greenland"	61.1604995728	-45.4259986877
8	"Godthaab / Nuuk Airport"	"Godthaab"	"Greenland"	64.19090271	-51.6781005859
9	"Kangerlussuaq Airport"	"Sondrestrom"	"Greenland"	67.0122218992	-50.7116031647
10	"Thule Air Base"	"Thule"	"Greenland"	76.5311965942	-68.7032012939
11	"Akureyri Airport"	"Akureyri"	"Iceland"	65.6600036621094	-18.0727005004883
12	"Egilsstaðir Airport"	"Egilsstadir"	"Iceland"	65.2833023071289	-14.4013996124268
13	"Hornafjörður Airport"	"Hofn"	"Iceland"	64.295601	-15.2272
14	"Húsavík Airport"	"Husavik"	"Iceland"	65.952301	-17.426001
15	"Ísafjörður Airport"	"Isafjordur"	"Iceland"	66.0580978393555	-23.1352996826172
16	"Keflavik International Airport"	"Keflavik"	"Iceland"	63.985000610352	-22.605600357056
17	"Patreksfjörður Airport"	"Patreksfjordur"	"Iceland"	65.555801	-23.965
18	"Reykjavik Airport"	"Reykjavik"	"Iceland"	64.1299972534	-21.9405994415
19	"Siglufjörður Airport"	"Siglufjordur"	"Iceland"	66.133301	-18.9167
20	"Vestmannaeyjar Airport"	"Vestmannaeyjar"	"Iceland"	63.4243011474609	-20.2789001464844
21	"Sault Ste Marie Airport"	"Sault Sainte Marie"	"Canada"	46.4850006103516	-84.5093994140625
22	"Winnipeg / St. Andrews Airport"	"Winnipeg"	"Canada"	50.0564002991	-97.0325012207
23	"Halifax / CFB Shearwater Heliport"	"Halifax"	"Canada"	44.639702	-63.499401
24	"St. Anthony Airport"	"St. Anthony"	"Canada"	51.3918991089	-56.0830993652
25	"Tofino / Long Beach Airport"	"Tofino"	"Canada"	49.079833	-125.775583
26	"Kugaaruk Airport"	"Pelly Bay"	"Canada"	68.534401	-89.808098
27	"Baie Comeau Airport"	"Baie Comeau"	"Canada"	49.1324996948242	-68.2043991088867
28	"CFB Bagotville"	"Bagotville"	"Canada"	48.3306007385254	-70.9963989257812
29	"Baker Lake Airport"	"Baker Lake"	"Canada"	64.2988967896	-96.077796936
30	"Campbell River Airport"	"Campbell River"	"Canada"	49.9508018493652	-125.271003723145
31	"Brandon Municipal Airport"	"Brandon"	"Canada"	49.91	-99.951897
32	"Cambridge Bay Airport"	"Cambridge Bay"	"Canada"	69.1081008911	-105.138000488
33	"Nanaimo Airport"	"Nanaimo"	"Canada"	49.0549702249	-123.869862556
34	"Castlegar/West Kootenay Regional Airport"	"Castlegar"	"Canada"	49.2963981628	-117.632003784
35	"Miramichi Airport"	"Chatham"	"Canada"	47.007801	-65.449203
36	"Charlo Airport"	"Charlo"	"Canada"	47.990799	-66.330299
37	"Kugluktuk Airport"	"Coppermine"	"Canada"	67.816704	-115.143997
38	"Coronation Airport"	"Coronation"	"Canada"	52.0750007629	-111.444999695
39	"Chilliwack Airport"	"Chilliwack"	"Canada"	49.1528015137	-121.939002991
40	"Clyde River Airport"	"Clyde River"	"Canada"	70.4860992432	-68.5167007446
41	"Coral Harbour Airport"	"Coral Harbour"	"Canada"	64.1932983398	-83.3593978882
42	"Dawson City Airport"	"Dawson"	"Canada"	64.043098449707	-139.128005981445
43	"Burwash Airport"	"Burwash"	"Canada"	61.3711013793945	-139.041000366211
44	"Princeton Airport"	"Princeton"	"Canada"	49.4681015015	-120.511001587
45	"Deer Lake Airport"	"Deer Lake"	"Canada"	49.2108001708984	-57.3913993835449
46	"Dease Lake Airport"	"Dease Lake"	"Canada"	58.4221992493	-130.031997681
47	"Dauphin Barker Airport"	"Dauphin"	"Canada"	51.1007995605469	-100.052001953125
48	"Dawson Creek Airport"	"Dawson Creek"	"Canada"	55.7422981262207	-120.182998657227
49	"Edmonton International Airport"	"Edmonton"	"Canada"	53.3097000122	-113.580001831
50	"Arviat Airport"	"Eskimo Point"	"Canada"	61.0942001343	-94.0708007812
51	"Estevan Airport"	"Estevan"	"Canada"	49.2103004456	-102.966003418
52	"Edson Airport"	"Edson"	"Canada"	53.5788993835	-116.464996338
53	"Eureka Airport"	"Eureka"	"Canada"	79.9946975708	-85.814201355
54	"Inuvik Mike Zubko Airport"	"Inuvik"	"Canada"	68.3041992188	-133.483001709
55	"Iqaluit Airport"	"Iqaluit"	"Canada"	63.756402	-68.555801
56	"Fredericton Airport"	"Fredericton"	"Canada"	45.8689002990723	-66.5372009277344
57	"Forestville Airport"	"Forestville"	"Canada"	48.7461013793945	-69.0971984863281
58	"Flin Flon Airport"	"Flin Flon"	"Canada"	54.6781005859375	-101.681999206543
59	"Fort Resolution Airport"	"Fort Resolution"	"Canada"	61.1808013916	-113.690002441
60	"Fort Simpson Airport"	"Fort Simpson"	"Canada"	61.7602005004883	-121.236999511719
61	"Kingston Norman Rogers Airport"	"Kingston"	"Canada"	44.2252998352051	-76.5969009399414
62	"La Grande Rivière Airport"	"La Grande Riviere"	"Canada"	53.625301361084	-77.7042007446289
63	"Gaspé (Michel-Pouliot) Airport"	"Gaspe"	"Canada"	48.7752990723	-64.4785995483
64	"Geraldton Greenstone Regional Airport"	"Geraldton"	"Canada"	49.7783012390137	-86.9393997192383
65	"Îles-de-la-Madeleine Airport"	"Iles De La Madeleine"	"Canada"	47.4247016906738	-61.7780990600586
66	"Hudson Bay Airport"	"Hudson Bay"	"Canada"	52.8166999817	-102.310997009
67	"Dryden Regional Airport"	"Dryden"	"Canada"	49.831699	-92.744202
68	"Ulukhaktok Holman Airport"	"Holman Island"	"Canada"	70.7628021240234	-117.805999755859
69	"Gjoa Haven Airport"	"Gjoa Haven"	"Canada"	68.635597229	-95.8497009277
70	"John C. Munro Hamilton International Airport"	"Hamilton"	"Canada"	43.1735992432	-79.9349975586
71	"Montréal / Saint-Hubert Airport"	"Montreal"	"Canada"	45.5175018311	-73.4169006348
72	"Hay River / Merlyn Carter Airport"	"Hay River"	"Canada"	60.8396987915	-115.782997131
73	"Halifax / Stanfield International Airport"	"Halifax"	"Canada"	44.8807983398	-63.5085983276
74	"Atikokan Municipal Airport"	"Atikokan"	"Canada"	48.7738990784	-91.6386032104
75	"Pond Inlet Airport"	"Pond Inlet"	"Canada"	72.6832962036	-77.9666976929
76	"St Jean Airport"	"St. Jean"	"Canada"	45.2943992614746	-73.2810974121094
77	"Stephenville Airport"	"Stephenville"	"Canada"	48.5442008972168	-58.5499992370605
78	"Kamloops Airport"	"Kamloops"	"Canada"	50.7022018433	-120.444000244
79	"Waterloo Airport"	"Waterloo"	"Canada"	43.4608001709	-80.3786010742
80	"Schefferville Airport"	"Schefferville"	"Canada"	54.8053016662598	-66.8052978515625
81	"Kindersley Airport"	"Kindersley"	"Canada"	51.5175018311	-109.180999756
82	"Buttonville Municipal Airport"	"Toronto"	"Canada"	43.8622016906738	-79.370002746582
83	"Chapleau Airport"	"Chapleau"	"Canada"	47.8199996948242	-83.3467025756836
84	"Meadow Lake Airport"	"Meadow Lake"	"Canada"	54.125301361084	-108.523002624512
85	"Lloydminster Airport"	"Lloydminster"	"Canada"	53.3092002868652	-110.072998046875
86	"Alert Airport"	"Alert"	"Canada"	82.5177993774	-62.2806015015
87	"Kelowna International Airport"	"Kelowna"	"Canada"	49.9561004639	-119.377998352
88	"Mayo Airport"	"Mayo"	"Canada"	63.6164016723633	-135.86799621582
89	"Moose Jaw Air Vice Marshal C. M. McEwen Airport"	"Moose Jaw"	"Canada"	50.3302993774414	-105.55899810791
90	"Fort McMurray Airport"	"Fort Mcmurray"	"Canada"	56.653301239	-111.222000122
91	"Moosonee Airport"	"Moosonee"	"Canada"	51.2910995483398	-80.6078033447266
92	"Maniwaki Airport"	"Maniwaki"	"Canada"	46.2728004456	-75.9906005859
93	"Montreal International (Mirabel) Airport"	"Montreal"	"Canada"	45.679501	-74.038696
94	"Natashquan Airport"	"Natashquan"	"Canada"	50.189998626709	-61.7891998291016
95	"Ottawa / Gatineau Airport"	"Gatineau"	"Canada"	45.5217018127	-75.5635986328
96	"Matagami Airport"	"Matagami"	"Canada"	49.7616996765137	-77.8028030395508
97	"Old Crow Airport"	"Old Crow"	"Canada"	67.5706024169922	-139.839004516602
98	"CFB Cold Lake"	"Cold Lake"	"Canada"	54.4049987792969	-110.278999328613
99	"High Level Airport"	"High Level"	"Canada"	58.6213989257812	-117.165000915527
100	"Ottawa Macdonald-Cartier International Airport"	"Ottawa"	"Canada"	45.3224983215332	-75.6691970825195
101	"Prince Albert Glass Field"	"Prince Albert"	"Canada"	53.2141990662	-105.672996521
102	"Peace River Airport"	"Peace River"	"Canada"	56.226898	-117.446999
103	"Southport Airport"	"Portage-la-prairie"	"Canada"	49.903099	-98.273817
104	"Pitt Meadows Airport"	"Pitt Meadows"	"Canada"	49.2160987854004	-122.709999084473
105	"Pickle Lake Airport"	"Pickle Lake"	"Canada"	51.4463996887207	-90.2142028808594
106	"Port Menier Airport"	"Port Menier"	"Canada"	49.8363990783691	-64.2885971069336
107	"Peterborough Airport"	"Peterborough"	"Canada"	44.2299995422363	-78.3632965087891
108	"Prince Rupert Airport"	"Prince Pupert"	"Canada"	54.2860984802	-130.445007324
109	"Fort Chipewyan Airport"	"Fort Chipewyan"	"Canada"	58.7672004699707	-111.116996765137
110	"Muskoka Airport"	"Muskoka"	"Canada"	44.9747009277344	-79.3032989501953
111	"Quebec Jean Lesage International Airport"	"Quebec"	"Canada"	46.7911	-71.393303
112	"Red Deer Regional Airport"	"Red Deer Industrial"	"Canada"	52.182201385498	-113.893997192383
113	"Windsor Airport"	"Windsor"	"Canada"	42.2756004333496	-82.9555969238281
114	"Watson Lake Airport"	"Watson Lake"	"Canada"	60.1164016723633	-128.822006225586
115	"Kenora Airport"	"Kenora"	"Canada"	49.7882995605469	-94.3630981445312
116	"Lethbridge County Airport"	"Lethbridge"	"Canada"	49.6302986145	-112.800003052
117	"Greater Moncton International Airport"	"Moncton"	"Canada"	46.1122016906738	-64.678596496582
119	"Comox Airport"	"Comox"	"Canada"	49.7108001708984	-124.887001037598
120	"Regina International Airport"	"Regina"	"Canada"	50.4319000244141	-104.666000366211
121	"Thunder Bay Airport"	"Thunder Bay"	"Canada"	48.371898651123	-89.3238983154297
122	"Grande Prairie Airport"	"Grande Prairie"	"Canada"	55.1796989441	-118.885002136
123	"Yorkton Municipal Airport"	"Yorkton"	"Canada"	51.2647018432617	-102.46199798584
124	"North Battleford Airport"	"North Battleford"	"Canada"	52.7691993713379	-108.244003295898
125	"Gander International Airport"	"Gander"	"Canada"	48.9369010925293	-54.5680999755859
126	"Sydney / J.A. Douglas McCurdy Airport"	"Sydney"	"Canada"	46.1614	-60.047798
127	"Quesnel Airport"	"Quesnel"	"Canada"	53.0261001586914	-122.51000213623
128	"Resolute Bay Airport"	"Resolute"	"Canada"	74.7169036865	-94.9693984985
129	"Rivière-du-Loup Airport"	"Riviere Du Loup"	"Canada"	47.7644004821777	-69.5847015380859
130	"Roberval Airport"	"Roberval"	"Canada"	48.5200004577637	-72.2656021118164
131	"Rocky Mountain House Airport"	"Rocky Mountain House"	"Canada"	52.4296989441	-114.903999329
132	"Rankin Inlet Airport"	"Rankin Inlet"	"Canada"	62.8114013672	-92.1157989502
133	"Sudbury Airport"	"Sudbury"	"Canada"	46.625	-80.7988967895508
134	"Sherbrooke Airport"	"Sherbrooke"	"Canada"	45.4385986328125	-71.6913986206055
135	"Saint John Airport"	"St. John"	"Canada"	45.3161010742188	-65.8902969360352
136	"Fort Smith Airport"	"Fort Smith"	"Canada"	60.0203018188477	-111.96199798584
137	"Nanisivik Airport"	"Nanisivik"	"Canada"	72.982201	-84.613602
138	"Summerside Airport"	"Summerside"	"Canada"	46.440601348877	-63.8335990905762
139	"Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport"	"Sachs Harbour"	"Canada"	71.9938964844	-125.242996216
140	"Cape Dorset Airport"	"Cape Dorset"	"Canada"	64.2300033569	-76.5267028809
141	"Thompson Airport"	"Thompson"	"Canada"	55.8011016845703	-97.8641967773438
142	"CFB Trenton"	"Trenton"	"Canada"	44.1189002990723	-77.5280990600586
143	"Timmins/Victor M. Power"	"Timmins"	"Canada"	48.5696983337	-81.376701355
144	"Billy Bishop Toronto City Centre Airport"	"Toronto"	"Canada"	43.627499	-79.396202
145	"Tuktoyaktuk Airport"	"Tuktoyaktuk"	"Canada"	69.4332962036133	-133.026000976562
146	"Montreal / Pierre Elliott Trudeau International Airport"	"Montreal"	"Canada"	45.4706001282	-73.7407989502
147	"Repulse Bay Airport"	"Repulse Bay"	"Canada"	66.5214004517	-86.2247009277
148	"Hall Beach Airport"	"Hall Beach"	"Canada"	68.7761001587	-81.2425
149	"Rouyn Noranda Airport"	"Rouyn"	"Canada"	48.2061004638672	-78.8356018066406
150	"La Ronge Airport"	"La Ronge"	"Canada"	55.1514015198	-105.262001038
151	"Vermilion Airport"	"Vermillion"	"Canada"	53.3558006287	-110.823997498
152	"Qikiqtarjuaq Airport"	"Broughton Island"	"Canada"	67.5457992554	-64.0314025879
153	"Val-d'Or Airport"	"Val D'or"	"Canada"	48.0532989502	-77.7827987671
154	"Kuujjuaq Airport"	"Quujjuaq"	"Canada"	58.0960998535156	-68.4269027709961
155	"Norman Wells Airport"	"Norman Wells"	"Canada"	65.2816009521484	-126.797996520996
156	"Vancouver International Airport"	"Vancouver"	"Canada"	49.193901062	-123.183998108
157	"Buffalo Narrows Airport"	"Buffalo Narrows"	"Canada"	55.8418998718	-108.417999268
158	"Wiarton Airport"	"Wiarton"	"Canada"	44.7458	-81.107201
159	"Petawawa Airport"	"Petawawa"	"Canada"	45.9522018432617	-77.3191986083984
160	"Winnipeg / James Armstrong Richardson International Airport"	"Winnipeg"	"Canada"	49.9099998474	-97.2398986816
161	"Wabush Airport"	"Wabush"	"Canada"	52.9219017028809	-66.8644027709961
162	"Williams Lake Airport"	"Williams Lake"	"Canada"	52.1831016541	-122.054000854
163	"Wrigley Airport"	"Wrigley"	"Canada"	63.209400177002	-123.436996459961
164	"Cranbrook/Canadian Rockies International Airport"	"Cranbrook"	"Canada"	49.610801696777	-115.78199768066
165	"Edmonton City Centre (Blatchford Field) Airport"	"Edmonton"	"Canada"	53.5724983215	-113.521003723
166	"Saskatoon John G. Diefenbaker International Airport"	"Saskatoon"	"Canada"	52.1707992553711	-106.699996948242
167	"Medicine Hat Airport"	"Medicine Hat"	"Canada"	50.0189018249512	-110.721000671387
168	"Fort St John Airport"	"Fort Saint John"	"Canada"	56.2380981445312	-120.73999786377
169	"Sioux Lookout Airport"	"Sioux Lookout"	"Canada"	50.113899230957	-91.9052963256836
170	"Pangnirtung Airport"	"Pangnirtung"	"Canada"	66.1449966431	-65.7136001587
171	"Earlton (Timiskaming Regional) Airport"	"Earlton"	"Canada"	47.6974006546	-79.8473453522
172	"Prince George Airport"	"Prince George"	"Canada"	53.8894004822	-122.679000854
173	"Northwest Regional Airport Terrace-Kitimat"	"Terrace"	"Canada"	54.468498	-128.576009
174	"London Airport"	"London"	"Canada"	43.035599	-81.1539
175	"Abbotsford Airport"	"Abbotsford"	"Canada"	49.0252990722656	-122.361000061035
176	"Whitehorse / Erik Nielsen International Airport"	"Whitehorse"	"Canada"	60.7095985413	-135.067001343
177	"North Bay Jack Garland Airport"	"North Bay"	"Canada"	46.363602	-79.422798
178	"Calgary International Airport"	"Calgary"	"Canada"	51.113899231	-114.019996643
179	"Smithers Airport"	"Smithers"	"Canada"	54.8246994018555	-127.182998657227
180	"Fort Nelson Airport"	"Fort Nelson"	"Canada"	58.8363990784	-122.597000122
181	"Penticton Airport"	"Penticton"	"Canada"	49.4631004333496	-119.601997375488
182	"Charlottetown Airport"	"Charlottetown"	"Canada"	46.2900009155273	-63.1211013793945
183	"Taloyoak Airport"	"Spence Bay"	"Canada"	69.5466995239	-93.5766983032
184	"Victoria International Airport"	"Victoria"	"Canada"	48.646900177	-123.426002502
185	"Lynn Lake Airport"	"Lynn Lake"	"Canada"	56.863899230957	-101.075996398926
186	"Swift Current Airport"	"Swift Current"	"Canada"	50.2919006348	-107.691001892
187	"Churchill Airport"	"Churchill"	"Canada"	58.739200592041	-94.0650024414062
188	"Goose Bay Airport"	"Goose Bay"	"Canada"	53.3191986084	-60.4258003235
189	"St. John's International Airport"	"St. John's"	"Canada"	47.618598938	-52.7518997192
190	"Kapuskasing Airport"	"Kapuskasing"	"Canada"	49.4138984680176	-82.4674987792969
191	"Armstrong Airport"	"Armstrong"	"Canada"	50.2902984619141	-88.9096984863281
192	"Mont Joli Airport"	"Mont Joli"	"Canada"	48.6086006164551	-68.2080993652344
193	"Lester B. Pearson International Airport"	"Toronto"	"Canada"	43.6772003174	-79.6305999756
194	"Downsview Airport"	"Toronto"	"Canada"	43.7425003051758	-79.4655990600586
195	"Gore Bay Manitoulin Airport"	"Gore Bay"	"Canada"	45.8852996826172	-82.5678024291992
196	"Yellowknife Airport"	"Yellowknife"	"Canada"	62.4627990722656	-114.440002441406
197	"Slave Lake Airport"	"Slave Lake"	"Canada"	55.2930984497	-114.777000427
198	"Sandspit Airport"	"Sandspit"	"Canada"	53.2542991638	-131.813995361
199	"Chris Hadfield Airport"	"Sarnia"	"Canada"	42.9994010925293	-82.3088989257812
200	"Port Hardy Airport"	"Port Hardy"	"Canada"	50.6805992126465	-127.366996765137
201	"Whitecourt Airport"	"Whitecourt"	"Canada"	54.1439018249512	-115.787002563477
202	"Sept-Îles Airport"	"Sept-iles"	"Canada"	50.2233009338379	-66.2656021118164
203	"Teslin Airport"	"Teslin"	"Canada"	60.1727981567383	-132.74299621582
204	"CFB Greenwood"	"Greenwood"	"Canada"	44.9844017028809	-64.9169006347656
205	"Faro Airport"	"Faro"	"Canada"	62.2075004577637	-133.376007080078
206	"Fort Mcpherson Airport"	"Fort Mcpherson"	"Canada"	67.4075012207031	-134.860992431641
207	"Blida Airport"	"Blida"	"Algeria"	36.5036010742188	2.81416988372803
208	"Bou Saada Airport"	"Bou Saada"	"Algeria"	35.3325004577637	4.20638990402222
209	"Soummam Airport"	"Bejaja"	"Algeria"	36.7120018005	5.06992006302
210	"Houari Boumediene Airport"	"Algier"	"Algeria"	36.6910018920898	3.21540999412537
211	"Djanet Inedbirene Airport"	"Djanet"	"Algeria"	24.292801	9.45244
212	"Boufarik Airport"	"Boufarik"	"Algeria"	36.545799	2.87611
213	"Reggane Airport"	"Reggan"	"Algeria"	26.7101	0.285647
214	"Illizi Takhamalt Airport"	"Illizi"	"Algeria"	26.7234992981	8.62265014648
215	"Ain Oussera Airport"	"Ain Oussera"	"Algeria"	35.5253982543945	2.8787100315094
216	"Aguenar – Hadj Bey Akhamok Airport"	"Tamanrasset"	"Algeria"	22.8115005493	5.45107984543
217	"Jijel Ferhat Abbas Airport"	"Jijel"	"Algeria"	36.7951011658	5.87361001968
218	"Mecheria Airport"	"Mecheria"	"Algeria"	33.535900116	-0.242353007197
219	"Relizane Airport"	"Relizane"	"Algeria"	35.752201	0.626272
220	"Rabah Bitat Airport"	"Annaba"	"Algeria"	36.822201	7.809174
221	"Mohamed Boudiaf International Airport"	"Constantine"	"Algeria"	36.2760009765625	6.62038993835449
222	"Cheikh Larbi Tébessi Airport"	"Tebessa"	"Algeria"	35.4315986633	8.12071990967
224	"Hassi R'Mel Airport"	"Tilrempt"	"Algeria"	32.9304008483887	3.31153988838196
225	"Bou Chekif Airport"	"Tiaret"	"Algeria"	35.3410987854	1.46315002441
226	"Bou Sfer Airport"	"Bou Sfer"	"Algeria"	35.7354011535645	-0.805388987064362
227	"Tindouf Airport"	"Tindouf"	"Algeria"	27.7003993988	-8.1670999527
228	"Ech Cheliff Airport"	"Ech-cheliff"	"Algeria"	36.2126998901	1.33176994324
229	"Tafaraoui Airport"	"Oran"	"Algeria"	35.5424003601074	-0.532278001308441
230	"Zenata – Messali El Hadj Airport"	"Tlemcen"	"Algeria"	35.0167007446	-1.45000004768
231	"Es Senia Airport"	"Oran"	"Algeria"	35.6239013672	-0.621182978153
232	"Sidi Bel Abbes Airport"	"Sidi Bel Abbes"	"Algeria"	35.1717987061	-0.593275010586
233	"Ghriss Airport"	"Ghriss"	"Algeria"	35.2076988220215	0.147141993045807
234	"Touat Cheikh Sidi Mohamed Belkebir Airport"	"Adrar"	"Algeria"	27.8376007080078	-0.186414003372192
235	"Biskra Airport"	"Biskra"	"Algeria"	34.7933006287	5.73823022842
236	"El Golea Airport"	"El Golea"	"Algeria"	30.5713005065918	2.85959005355835
237	"Noumérat - Moufdi Zakaria Airport"	"Ghardaia"	"Algeria"	32.3841018676758	3.79411005973816
238	"Oued Irara Airport"	"Hassi Messaoud"	"Algeria"	31.6730003357	6.14043998718
239	"In Salah Airport"	"In Salah"	"Algeria"	27.2509994507	2.51202011108
240	"Touggourt Sidi Madhi Airport"	"Touggourt"	"Algeria"	33.067798614502	6.0886697769165
241	"Laghouat Airport"	"Laghouat"	"Algeria"	33.7644004822	2.92833995819
242	"Timimoun Airport"	"Timimoun"	"Algeria"	29.2371006012	0.276033014059
243	"Ain el Beida Airport"	"Ouargla"	"Algeria"	31.917200088501	5.41277980804443
244	"In Aménas Airport"	"Zarzaitine"	"Algeria"	28.0515	9.64291
245	"Cadjehoun Airport"	"Cotonou"	"Benin"	6.3572301864624	2.38435006141663
246	"Ouagadougou Airport"	"Ouagadougou"	"Burkina Faso"	12.3532	-1.51242
247	"Bobo Dioulasso Airport"	"Bobo-dioulasso"	"Burkina Faso"	11.1600999832153	-4.33096981048584
248	"Kotoka International Airport"	"Accra"	"Ghana"	5.60518980026245	-0.166786000132561
249	"Tamale Airport"	"Tamale"	"Ghana"	9.55718994140625	-0.863214015960693
250	"Wa Airport"	"Wa"	"Ghana"	10.0826997756958	-2.50768995285034
251	"Sunyani Airport"	"Sunyani"	"Ghana"	7.36183023452759	-2.32875990867615
252	"Takoradi Airport"	"Takoradi"	"Ghana"	4.8960599899292	-1.77476000785828
253	"Port Bouet Airport"	"Abidjan"	"Cote d'Ivoire"	5.261390209198	-3.9262900352478
254	"Bouaké Airport"	"Bouake"	"Cote d'Ivoire"	7.73880004882812	-5.07366991043091
255	"Daloa Airport"	"Daloa"	"Cote d'Ivoire"	6.79280996322632	-6.47318983078003
256	"Korhogo Airport"	"Korhogo"	"Cote d'Ivoire"	9.38718032837	-5.55666017532
257	"Man Airport"	"Man"	"Cote d'Ivoire"	7.27206993103027	-7.58735990524292
258	"San Pedro Airport"	"San Pedro"	"Cote d'Ivoire"	4.74671983718872	-6.66082000732422
259	"Yamoussoukro Airport"	"Yamoussoukro"	"Cote d'Ivoire"	6.9031701088	-5.36558008194
260	"Nnamdi Azikiwe International Airport"	"Abuja"	"Nigeria"	9.00679016113281	7.26316976547241
261	"Akure Airport"	"Akure"	"Nigeria"	7.24673986434937	5.30101013183594
262	"Benin Airport"	"Benin"	"Nigeria"	6.31697988510132	5.59950017929077
263	"Margaret Ekpo International Airport"	"Calabar"	"Nigeria"	4.97601985931396	8.34720039367676
264	"Akanu Ibiam International Airport"	"Enugu"	"Nigeria"	6.47426986694336	7.56196022033691
265	"Gusau Airport"	"Gusau"	"Nigeria"	12.1717	6.69611
266	"Ibadan Airport"	"Ibadan"	"Nigeria"	7.36246013641357	3.97832989692688
267	"Ilorin International Airport"	"Ilorin"	"Nigeria"	8.44021034240723	4.49391984939575
268	"Yakubu Gowon Airport"	"Jos"	"Nigeria"	9.63982963562012	8.86905002593994
269	"Kaduna Airport"	"Kaduna"	"Nigeria"	10.6960000991821	7.32010984420776
270	"Mallam Aminu International Airport"	"Kano"	"Nigeria"	12.0476	8.52462
271	"Maiduguri International Airport"	"Maiduguri"	"Nigeria"	11.855299949646	13.0809001922607
272	"Makurdi Airport"	"Makurdi"	"Nigeria"	7.70388	8.61394
273	"Murtala Muhammed International Airport"	"Lagos"	"Nigeria"	6.57737016677856	3.32116007804871
274	"Minna Airport"	"Minna"	"Nigeria"	9.65217018127441	6.4622597694397
275	"Port Harcourt International Airport"	"Port Hartcourt"	"Nigeria"	5.01549005508423	6.94959020614624
276	"Sadiq Abubakar III International Airport"	"Sokoto"	"Nigeria"	12.9162998199463	5.20719003677368
277	"Yola Airport"	"Yola"	"Nigeria"	9.25755023956299	12.4303998947144
278	"Zaria Airport"	"Zaria"	"Nigeria"	11.1302	7.68581
279	"Maradi Airport"	"Maradi"	"Niger"	13.5024995803833	7.12674999237061
280	"Diori Hamani International Airport"	"Niamey"	"Niger"	13.4815	2.18361
281	"Tahoua Airport"	"Tahoua"	"Niger"	14.8756999969482	5.26535987854004
282	"Mano Dayak International Airport"	"Agadez"	"Niger"	16.9659996032715	8.00010967254639
283	"Dirkou Airport"	"Dirkou"	"Niger"	18.9687004089355	12.8687000274658
284	"Diffa Airport"	"Diffa"	"Niger"	13.3729000091553	12.6267004013062
285	"Zinder Airport"	"Zinder"	"Niger"	13.7790002822876	8.98375988006592
286	"Monastir Habib Bourguiba International Airport"	"Monastir"	"Tunisia"	35.7580986022949	10.7546997070312
287	"Tunis Carthage International Airport"	"Tunis"	"Tunisia"	36.851001739502	10.2271995544434
288	"Sidi Ahmed Air Base"	"Bizerte"	"Tunisia"	37.245398	9.79145
289	"Remada Air Base"	"Remada"	"Tunisia"	32.3061981201172	10.3821001052856
290	"Gafsa Ksar International Airport"	"Gafsa"	"Tunisia"	34.4220008850098	8.82250022888184
291	"Gabès Matmata International Airport"	"Gabes"	"Tunisia"	33.8768997192383	10.1033000946045
292	"Borj El Amri Airport"	"Bordj El Amri"	"Tunisia"	36.7212982177734	9.94314956665039
293	"Djerba Zarzis International Airport"	"Djerba"	"Tunisia"	33.875	10.7755002975464
294	"El Borma Airport"	"El Borma"	"Tunisia"	31.7042999267578	9.25461959838867
295	"Sfax Thyna International Airport"	"Sfax"	"Tunisia"	34.7179985046387	10.6909999847412
296	"Tozeur Nefta International Airport"	"Tozeur"	"Tunisia"	33.9397010803223	8.11056041717529
297	"Niamtougou International Airport"	"Niatougou"	"Togo"	9.76733016967773	1.09124994277954
298	"Lomé-Tokoin Airport"	"Lome"	"Togo"	6.16560983657837	1.25451004505157
299	"Antwerp International Airport (Deurne)"	"Antwerp"	"Belgium"	51.1893997192	4.46027994156
300	"Beauvechain Air Base"	"Beauvechain"	"Belgium"	50.7585983276367	4.76833009719849
301	"Kleine Brogel Air Base"	"Kleine Brogel"	"Belgium"	51.168301	5.47
302	"Brussels Airport"	"Brussels"	"Belgium"	50.9014015198	4.48443984985
303	"Jehonville Air Base"	"Bertrix"	"Belgium"	49.8917007446289	5.22388982772827
304	"Brussels South Charleroi Airport"	"Charleroi"	"Belgium"	50.459202	4.45382
305	"Chièvres Air Base"	"Chievres"	"Belgium"	50.5758018493652	3.83100008964539
306	"Koksijde Air Base"	"Koksijde"	"Belgium"	51.0903015136719	2.65278005599976
307	"Florennes Air Base"	"Florennes"	"Belgium"	50.2433013916	4.64583015442
308	"Wevelgem Airport"	"Kortrijk-vevelgem"	"Belgium"	50.817199707	3.20472002029
309	"Liège Airport"	"Liege"	"Belgium"	50.6374015808105	5.4432201385498
310	"Ostend-Bruges International Airport"	"Ostend"	"Belgium"	51.1988983154	2.8622200489
311	"Zutendaal Air Base"	"Zutendaal"	"Belgium"	50.9474983215332	5.59055995941162
