"Country.or.Area"	"Year"	"Value"
"Kazakhstan"	"2017"	5468544
"Kazakhstan"	"2017"	7700940
"Kazakhstan"	"2017"	3861596
"Kazakhstan"	"2017"	3839344
"Kyrgyzstan"	"2017"	6198465
"Kyrgyzstan"	"2017"	3072164
"Kyrgyzstan"	"2017"	3126301
"Kyrgyzstan"	"2017"	2097487
"Kyrgyzstan"	"2017"	996210
"Kyrgyzstan"	"2017"	1101277
"Kyrgyzstan"	"2017"	4100978
"Kyrgyzstan"	"2017"	2075954
"Kyrgyzstan"	"2017"	2025024
"Latvia"	"2017"	1950116
"Latvia"	"2017"	895683
"Latvia"	"2017"	1054433
"Liechtenstein"	"2017"	37877
"Liechtenstein"	"2017"	37810
"Liechtenstein"	"2017"	18768
"Liechtenstein"	"2017"	18746
"Liechtenstein"	"2017"	19109
"Liechtenstein"	"2017"	19064
"Lithuania"	"2017"	2847904
"Lithuania"	"2017"	1312186
"Lithuania"	"2017"	1535718
"Luxembourg"	"2017"	590667
"Luxembourg"	"2017"	296641
"Luxembourg"	"2017"	294026
"Malaysia"	"2017"	32049740
"Malaysia"	"2017"	16561112
"Malaysia"	"2017"	15488628
"Malaysia"	"2017"	24182507
"Malaysia"	"2017"	12448465
"Malaysia"	"2017"	11734042
"Malaysia"	"2017"	7867233
"Malaysia"	"2017"	4112647
"Malaysia"	"2017"	3754586
"Maldives"	"2017"	356686.866953458
"Maldives"	"2017"	491588.878012268
"Maldives"	"2017"	181224.107420089
"Maldives"	"2017"	303477.738725046
"Maldives"	"2017"	175462.75953337
"Maldives"	"2017"	188111.139287222
"Maldives"	"2017"	142908.739942648
"Maldives"	"2017"	199522.506801793
"Maldives"	"2017"	71326.4787800819
"Maldives"	"2017"	121646.699003318
"Maldives"	"2017"	71582.2611625657
"Maldives"	"2017"	77875.8077984752
"Maldives"	"2017"	213762.819770454
"Maldives"	"2017"	292066.371210475
"Maldives"	"2017"	109889.677629509
"Maldives"	"2017"	181831.039721728
"Maldives"	"2017"	103873.142140945
"Maldives"	"2017"	110235.331488747
"Malta"	"2017"	460297
"Malta"	"2017"	231663
"Malta"	"2017"	228634
"Martinique"	"2017"	374780
"Martinique"	"2017"	173293
"Martinique"	"2017"	201487
"Mauritius"	"2017"	1264613
"Mauritius"	"2017"	625727
"Mauritius"	"2017"	638886
"Mayotte"	"2017"	249154
"Mayotte"	"2017"	120866
"Mayotte"	"2017"	128288
"Mexico"	"2017"	123518266
"Mexico"	"2017"	60230240.905435
"Mexico"	"2017"	63288028.8144043
"Mexico"	"2017"	89586802.1512275
"Mexico"	"2017"	33931467.5686118
"Mongolia"	"2017"	3148917
"Mongolia"	"2017"	1548177
"Mongolia"	"2017"	1600740
"Montenegro"	"2017"	622387
"Montenegro"	"2017"	307752
"Montenegro"	"2017"	314635
"Netherlands"	"2017"	17081507
"Netherlands"	"2017"	8475102
"Netherlands"	"2017"	8606405
"New Zealand"	"2017"	4793900
"New Zealand"	"2017"	2361100
"New Zealand"	"2017"	2462800
"New Zealand"	"2017"	4144300
"New Zealand"	"2017"	2029700
"New Zealand"	"2017"	2114600
"New Zealand"	"2017"	648800
"New Zealand"	"2017"	331000
"New Zealand"	"2017"	317800
"Norway"	"2017"	5258317
"Norway"	"2017"	2649130
"Norway"	"2017"	2609187
"Panama"	"2017"	4098135
"Panama"	"2017"	2056085
"Panama"	"2017"	2042050
"Panama"	"2017"	2836794
"Panama"	"2017"	1395090
"Panama"	"2017"	1441704
"Panama"	"2017"	1261341
"Panama"	"2017"	660995
"Panama"	"2017"	600346
"Poland"	"2017"	37972964
"Poland"	"2017"	18377837
"Poland"	"2017"	19595127
"Portugal"	"2017"	10309573
"Portugal"	"2017"	4882456
"Portugal"	"2017"	5427117
"Qatar"	"2017"	2724606
"Qatar"	"2017"	2046047
"Qatar"	"2017"	678559
"Republic of Korea"	"2017"	51446201
"Republic of Korea"	"2017"	25790240
"Republic of Korea"	"2017"	25655961
"Republic of South Sudan"	"2017"	11868210
"Republic of South Sudan"	"2017"	6083876
"Republic of South Sudan"	"2017"	5784333
"Reunion"	"2017"	860815
"Reunion"	"2017"	414911
"Reunion"	"2017"	445904
"Romania"	"2017"	19644350
"Romania"	"2017"	9602578
"Romania"	"2017"	10041772
"San Marino"	"2017"	34267
"San Marino"	"2017"	34359
"San Marino"	"2017"	16677
"San Marino"	"2017"	16740
"San Marino"	"2017"	17590
"San Marino"	"2017"	17619
"Saudi Arabia"	"2017"	32612641
"Saudi Arabia"	"2017"	18745845.6957158
"Saudi Arabia"	"2017"	13866795.3042842
"Serbia"	"2017"	7040272
"Serbia"	"2017"	3429027
"Serbia"	"2017"	3611245
"Seychelles"	"2017"	95843
"Seychelles"	"2017"	48793
"Seychelles"	"2017"	47050
"Singapore"	"2017"	3965796
"Singapore"	"2017"	1943545
"Singapore"	"2017"	2022251
"Slovakia"	"2017"	5435343
"Slovakia"	"2017"	2651684
"Slovakia"	"2017"	2783659
"Slovenia"	"2017"	2065895
"Slovenia"	"2017"	1025125
"Slovenia"	"2017"	1040770
"Spain"	"2017"	46549044.639391
"Spain"	"2017"	22838035.421625
"Spain"	"2017"	23711009.217766
"Sweden"	"2017"	9995153
"Sweden"	"2017"	5013347
"Sweden"	"2017"	4981806
"Switzerland"	"2017"	8419550
"Switzerland"	"2017"	4173437
"Switzerland"	"2017"	4246113
"Switzerland"	"2017"	7119751
"Switzerland"	"2017"	3517940
"Switzerland"	"2017"	3601811
"Switzerland"	"2017"	1299799
"Switzerland"	"2017"	655497
"Switzerland"	"2017"	644302
"TFYR of Macedonia"	"2017"	2073702
"TFYR of Macedonia"	"2017"	1038613
"TFYR of Macedonia"	"2017"	1035089
"Trinidad and Tobago"	"2017"	1356633
"Trinidad and Tobago"	"2017"	680661.459711796
"Trinidad and Tobago"	"2017"	675971.540288204
"Ukraine"	"2017"	42414905
"Ukraine"	"2017"	19644580
"Ukraine"	"2017"	22770325
"Ukraine"	"2017"	29243516
"Ukraine"	"2017"	13418650
"Ukraine"	"2017"	15824866
"Ukraine"	"2017"	13171389
"Ukraine"	"2017"	6225930
"Ukraine"	"2017"	6945459
"United Kingdom of Great Britain and Northern Ireland"	"2017"	65808573
"United Kingdom of Great Britain and Northern Ireland"	"2017"	32466065
"United Kingdom of Great Britain and Northern Ireland"	"2017"	33342508
"Uruguay"	"2017"	3493204.92940524
"Uruguay"	"2017"	1691101.54431366
"Uruguay"	"2017"	1802103.38509158
"Uruguay"	"2017"	3326886.13613247
"Uruguay"	"2017"	1599114.63064172
"Uruguay"	"2017"	1727771.50549075
"Uruguay"	"2017"	166318.793272766
"Uruguay"	"2017"	91986.9136719389
"Uruguay"	"2017"	74331.8796008272
"Venezuela (Bolivarian Republic of)"	"2017"	31277130
"Venezuela (Bolivarian Republic of)"	"2017"	15690386
"Venezuela (Bolivarian Republic of)"	"2017"	15586744
