Amplifier	Adjective
0	sure
0	second
0	second
0	sorry
0	genuine
0	early
0	much
0	cold
0	funny
0	sure
0	great
0	same
0	old
0	second
0	hard
0	new
0	last
0	strong
0	real
0	long
very	young
0	like
0	clear
0	hot
0	little
0	great
0	second
0	same
0	aware
0	different
0	good
0	little
very	interesting
0	little
very	important
0	sad
0	different
0	old
0	small
0	long
0	little
0	sure
0	many
0	true
0	slow
0	sure
0	like
0	many
0	many
very	wide
0	interesting
0	old
0	great
absolutely	wonderful
0	wrong
0	great
0	good
so	much
0	good
0	big
0	little
0	many
0	little
0	friendly
0	much
0	sad
0	real
0	little
0	same
0	great
0	beautiful
very	difficult
0	beautiful
so	bad
0	slow
0	dangerous
0	great
0	competitive
0	difficult
0	important
0	open
0	special
0	relevant
0	last
0	little
0	serious
0	aware
very	important
0	small
0	old
0	small
0	obvious
0	same
0	high
0	different
so	real
0	good
0	interesting
0	open
0	aggressive
0	like
0	good
0	last
0	old
0	real
0	different
0	real
0	small
0	last
0	last
very	much
0	new
0	dangerous
0	great
0	little
0	small
0	hard
0	sure
0	good
really	significant
0	high
0	important
so	angry
0	nice
0	real
really	bad
0	quiet
0	green
very	serious
0	old
0	little
very	important
0	long
0	much
0	small
0	open
really	sad
0	wrong
0	high
0	long
0	easy
0	high
0	difficult
0	different
very	interesting
so	pleased
very	important
0	little
0	long
0	bad
0	same
0	good
very	bad
0	lucky
0	old
0	long
0	easy
0	new
0	real
0	same
0	large
0	light
0	new
0	difficult
0	little
0	economic
0	big
0	many
very	nice
0	new
so	many
very	difficult
0	real
0	sure
0	second
0	hard
0	stupid
0	new
0	great
0	last
0	same
0	good
0	good
0	odd
0	aggressive
0	interesting
0	old
0	many
0	same
0	same
very	good
0	good
very	simple
0	long
0	high
0	happy
0	clear
0	economic
0	important
0	interesting
0	aware
very	bloody
very	good
0	new
0	little
0	little
0	hectic
0	same
extremely	important
0	sure
0	little
very	exciting
particularly	important
0	many
0	little
very	large
0	bad
0	good
0	special
0	dangerous
0	little
0	little
0	little
0	last
0	old
0	last
really	cool
0	like
0	same
0	new
so	many
0	obvious
0	late
0	green
0	new
0	small
0	good
0	wrong
0	clear
0	bad
0	busy
0	good
0	much
0	long
0	strict
really	nice
0	sure
0	much
0	little
very	good
0	long
very	small
very	large
0	little
0	real
0	high
0	last
0	true
0	new
0	total
0	bloody
0	economic
really	different
0	great
very	large
0	different
0	tough
0	great
0	similar
very	aggressive
0	second
0	old
0	last
0	many
0	different
0	little
very	difficult
0	cold
0	aware
0	last
0	many
0	economic
0	many
0	nice
0	stupid
0	interesting
0	new
0	big
0	big
0	second
0	little
pretty	bad
0	little
0	true
0	expensive
0	long
0	big
0	great
very	friendly
0	sure
0	much
0	young
0	big
very	many
0	last
0	same
0	big
0	good
0	little
0	little
0	popular
0	young
0	little
0	happy
0	aware
0	real
0	sure
0	quick
0	much
0	same
0	last
0	little
0	new
0	aware
0	second
0	basic
0	sure
0	appropriate
0	great
0	many
0	small
0	good
0	wrong
0	bad
0	young
0	strong
0	little
0	young
0	little
0	great
0	new
0	relevant
0	great
0	open
0	same
very	real
0	old
0	different
0	strong
0	open
0	economic
0	same
0	long
0	wonderful
0	effective
0	long
so	new
0	wide
0	great
0	big
0	nice
0	obvious
0	true
0	second
0	little
0	interested
0	many
0	sure
0	much
0	last
0	good
0	interesting
0	basic
0	long
0	big
0	great
0	old
0	little
0	strong
0	sure
0	stupid
0	same
0	large
0	new
0	second
0	hard
0	long
so	much
very	early
0	little
0	many
0	high
0	sure
0	great
0	last
0	sure
0	familiar
0	small
0	long
0	same
0	young
0	last
0	important
0	conscious
0	prominent
0	old
particularly	low
0	special
0	little
0	easy
0	big
0	green
very	pleased
so	glad
0	sure
0	little
0	true
0	sure
0	open
0	open
0	good
0	quiet
0	serious
so	angry
0	professional
0	angry
0	healthy
0	different
really	bad
0	new
0	big
0	sure
0	low
very	good
0	last
0	effective
0	nice
0	different
0	many
0	expensive
0	many
0	real
0	sure
0	sad
really	bright
0	little
0	long
0	effective
0	new
0	long
0	last
0	bloody
0	sure
0	new
0	comfortable
0	many
0	last
0	many
0	big
very	strong
0	similar
very	effective
0	wonderful
0	second
0	effective
0	new
0	obvious
0	same
so	interesting
0	last
very	wide
real	economic
0	nice
0	wrong
0	good
0	second
0	sure
0	effective
0	clear
0	good
0	last
0	strong
0	good
0	relevant
really	large
very	good
0	open
0	good
0	old
0	big
0	same
0	good
0	real
0	different
0	good
0	good
0	nice
0	last
very	cold
0	bad
0	real
0	last
0	serious
0	old
0	important
0	new
0	little
0	open
0	real
0	last
0	nice
0	strong
0	many
0	big
0	many
0	second
0	great
0	different
0	good
0	sure
0	last
0	new
0	little
0	last
0	hectic
0	difficult
0	dangerous
0	important
very	lucky
0	little
0	beautiful
0	same
0	old
0	nice
0	important
0	little
0	good
0	aware
0	different
0	relevant
0	busy
0	little
0	beautiful
0	heavy
0	new
0	good
0	young
0	healthy
really	hard
0	good
0	cold
0	bad
0	little
0	new
0	old
0	difficult
0	good
0	small
0	high
0	special
0	real
0	great
0	little
0	good
0	little
0	happy
0	same
0	difficult
very	much
0	old
0	old
0	last
0	good
0	original
0	sure
extraordinarily	small
0	true
0	big
0	good
0	deep
0	slow
0	long
0	interested
0	sure
0	special
0	different
really	hard
0	bright
0	much
0	many
0	little
0	dark
0	young
0	high
0	many
0	many
very	nice
0	new
0	same
0	comprehensive
0	obvious
0	good
0	clear
0	many
0	cold
0	second
very	little
0	hard
0	good
completely	different
very	good
0	new
0	great
0	nice
0	last
0	last
0	long
0	wonderful
0	big
0	sorry
0	happy
0	high
0	wide
0	little
0	last
0	new
very	strange
0	bad
0	good
0	sure
0	hard
very	much
0	different
0	high
0	second
0	second
0	little
0	early
so	much
0	large
0	high
0	little
0	big
very	close
0	interested
0	new
0	new
very	nice
0	much
0	little
0	last
0	large
0	big
0	sure
0	nice
very	expensive
0	good
0	second
very	same
0	different
0	long
really	good
0	like
0	same
0	last
very	good
0	little
very	significant
particularly	proud
0	last
0	many
very	big
0	nice
0	much
0	wonderful
0	great
0	little
0	sorry
0	good
0	aware
0	new
0	different
0	familiar
0	little
0	many
0	second
0	dangerous
0	different
0	little
0	strong
0	last
0	high
0	green
0	little
0	long
0	little
0	aware
0	second
0	effective
very	busy
0	long
0	old
absolutely	wrong
0	little
0	last
0	large
0	important
0	same
very	clear
0	good
0	stupid
0	old
0	long
0	last
0	basic
real	good
0	sure
0	open
0	second
0	last
0	great
0	wrong
0	last
0	sure
0	true
0	careful
0	many
0	little
0	good
really	good
0	little
0	good
0	last
really	good
0	strong
0	big
0	wonderful
0	small
0	funny
0	big
0	small
0	late
0	new
0	quick
0	bad
0	same
0	big
0	last
0	strong
0	useful
0	bloody
0	strong
0	same
0	real
0	same
0	quick
0	high
0	last
0	same
0	happy
0	good
0	similar
0	long
0	difficult
0	sure
0	little
0	last
0	new
0	high
0	big
0	last
0	new
0	like
0	like
0	little
0	good
0	deep
0	many
0	many
really	good
0	last
0	good
0	last
0	good
0	nice
0	same
very	interesting
0	fantastic
very	wide
0	old
0	little
very	difficult
0	early
0	second
0	sorry
0	stupid
0	green
pretty	bloody
0	strong
0	little
0	deep
0	good
0	great
0	new
0	good
0	good
0	fantastic
0	wrong
0	interesting
really	strong
so	many
0	early
0	close
0	little
0	bloody
very	good
very	good
0	big
0	big
0	like
0	different
0	hard
0	good
0	good
0	great
0	many
0	last
0	good
pretty	good
0	old
0	last
0	different
very	funny
0	same
0	last
0	real
0	last
0	green
0	important
really	sorry
0	nice
0	sure
0	real
0	fantastic
0	good
0	odd
0	popular
0	new
0	cool
really	deep
0	easy
0	obvious
0	same
0	good
0	strange
very	interesting
0	great
0	little
0	hard
0	wrong
0	big
0	important
0	last
0	same
0	great
0	significant
0	bad
0	small
0	small
very	strong
0	little
0	last
0	sorry
0	sure
really	easy
totally	unrelated
0	small
0	competitive
0	funny
0	different
0	late
0	old
0	great
0	new
0	last
0	different
0	strong
0	dark
really	masculine
0	same
0	hot
0	last
very	quick
0	long
0	sure
0	high
very	much
0	big
0	good
0	big
0	odd
so	much
0	wide
0	last
0	great
0	sure
0	last
0	old
0	sure
0	good
0	little
0	much
0	true
certainly	interested
0	stupid
0	expensive
0	lucky
0	professional
0	old
0	big
0	small
0	many
0	good
0	good
0	many
0	last
0	long
0	important
0	bad
0	new
0	last
0	bloody
0	little
0	difficult
0	middle
0	new
0	same
pretty	excited
0	beautiful
0	sorry
0	large
very	difficult
0	hard
0	same
0	same
0	nice
0	special
0	old
0	nice
0	difficult
0	light
0	last
0	good
0	interesting
0	big
0	new
very	good
0	total
0	sure
0	much
0	total
0	heavy
0	old
0	bad
0	economic
0	big
0	special
0	old
0	open
0	sure
0	old
very	keen
0	significant
0	young
0	last
0	important
0	different
0	bad
0	nice
0	little
0	new
0	economic
0	dark
0	green
0	little
0	special
0	last
0	difficult
0	open
0	deep
0	real
0	big
0	much
0	last
0	good
0	real
0	special
0	new
0	small
0	dark
0	good
0	slow
0	long
0	low
0	happy
0	interesting
0	important
0	big
0	little
0	second
0	special
0	great
0	beautiful
0	little
0	genuine
0	wonderful
0	original
0	popular
really	good
0	sorry
0	new
0	significant
0	little
0	different
0	last
0	bad
0	real
very	hot
0	old
0	little
0	little
0	new
0	different
0	different
very	much
0	big
0	same
so	many
0	appropriate
0	professional
so	funny
so	loud
0	new
0	second
0	great
0	appropriate
0	good
0	dark
0	different
0	good
0	long
0	new
0	same
0	early
0	early
0	sure
0	large
0	last
0	happy
0	long
very	interesting
0	good
0	small
0	last
0	many
0	wonderful
0	great
0	high
0	different
0	new
0	long
0	big
0	early
0	new
0	late
0	big
0	long
0	bloody
0	true
0	dangerous
0	difficult
0	serious
really	happy
0	cold
very	disappointing
0	cold
0	heavy
enormously	difficult
0	interesting
0	many
0	high
0	cold
0	hard
0	total
0	reluctant
0	like
0	low
0	little
0	small
really	hot
0	appropriate
really	good
0	last
0	real
0	second
0	important
0	appropriate
0	hot
very	little
pretty	keen
0	new
0	good
0	little
really	good
0	last
0	different
very	large
0	high
0	great
0	good
0	great
really	good
0	true
0	great
very	strong
0	good
0	useful
0	real
0	last
very	good
0	much
0	wonderful
0	last
0	old
0	large
0	real
0	odd
0	old
0	much
so	many
very	strong
0	sure
0	dark
0	good
0	good
0	sure
0	good
0	old
0	good
0	heavy
0	bloody
0	many
really	big
very	important
0	little
0	high
0	aware
0	big
0	great
0	nervous
0	high
very	busy
0	economic
0	big
0	good
0	same
0	wonderful
0	interested
0	big
so	strong
0	little
0	economic
0	familiar
0	real
0	like
0	long
0	open
0	old
0	little
0	little
0	old
0	dark
0	small
0	open
0	interesting
0	different
0	much
0	aware
0	slow
0	quiet
0	new
0	strange
0	same
0	good
really	deep
very	strong
0	noticeable
0	difficult
0	important
0	last
so	many
0	second
0	old
0	same
highly	idealistic
0	small
0	sure
0	obvious
0	different
really	big
0	second
0	high
0	important
very	good
so	many
0	same
0	long
0	different
0	same
0	green
0	different
0	little
0	last
0	second
0	much
0	hot
0	little
0	little
so	tough
0	little
0	long
0	long
0	second
0	interesting
0	popular
0	hard
0	long
0	last
0	second
0	last
0	true
0	dangerous
0	old
very	expensive
0	many
0	clear
0	long
0	easy
very	good
0	little
0	good
0	difficult
0	close
0	new
0	good
0	like
0	long
0	obvious
0	little
0	long
0	great
0	expensive
0	sure
0	good
0	open
0	much
0	early
0	hard
0	old
0	real
0	sorry
very	aware
0	good
0	fantastic
0	clear
so	high
very	wide
0	same
0	old
0	busy
0	little
0	good
very	small
so	much
0	aware
0	last
0	same
0	happy
0	many
0	large
so	bad
0	new
0	many
0	quiet
really	lucky
0	open
0	sure
0	strange
0	same
0	large
0	last
0	good
0	sure
0	sure
0	economic
0	low
very	good
0	good
0	great
0	little
0	nice
0	strange
0	difficult
0	little
0	great
0	good
very	nice
0	important
0	clear
0	early
really	good
0	happy
0	new
0	similar
0	big
so	conscious
0	great
0	strong
0	strong
0	clear
0	simple
0	nice
0	difficult
0	happy
0	many
0	last
0	great
0	busy
so	little
0	aggressive
really	dark
0	fantastic
0	second
0	tough
0	nice
0	true
0	nervous
0	new
0	new
0	little
0	same
very	aggressive
0	aware
0	different
0	fantastic
0	much
0	heavy
0	many
0	different
0	new
0	much
0	little
0	clear
so	important
0	different
0	difficult
0	sorry
0	much
0	old
0	high
0	different
0	many
0	high
so	many
0	many
0	second
0	little
0	interested
0	like
0	good
0	special
0	sure
very	high
0	small
0	cold
0	old
0	sure
0	special
so	exciting
0	little
0	many
0	old
0	little
0	useful
0	prominent
0	many
0	big
0	middle
so	good
0	comfortable
0	last
0	useful
0	strange
0	bloody
0	odd
0	good
0	large
0	effective
0	tough
0	open
0	open
0	homesick
really	good
0	new
0	significant
0	last
0	bloody
0	small
very	quick
0	big
0	little
0	strong
0	high
so	vulnerable
pretty	heavy
0	new
0	similar
0	strange
0	great
0	open
0	young
0	big
0	total
0	last
0	bad
0	many
0	dominant
0	little
0	open
0	significant
very	hard
0	same
0	wide
0	little
0	clear
0	sure
really	weird
0	sure
0	bad
0	wrong
0	dangerous
0	wonderful
0	sure
0	wide
0	second
0	new
0	new
0	different
0	tough
0	old
so	cool
0	weak
0	funny
0	little
so	nice
0	little
0	same
very	good
0	good
0	small
0	large
0	open
0	little
0	expensive
0	dominant
0	different
so	high
0	different
0	total
0	comfortable
0	last
0	comfortable
0	new
0	little
0	important
0	sure
0	good
0	young
0	busy
0	wonderful
0	bad
0	interesting
0	cold
0	real
0	big
0	big
0	easy
0	little
0	little
0	early
0	similar
0	dark
0	important
0	little
0	different
0	obvious
0	wide
0	long
0	interesting
0	good
0	different
0	interested
0	easy
0	great
0	easy
0	professional
0	nice
0	dangerous
0	professional
0	cold
really	light
0	new
0	old
0	good
0	strong
0	much
very	good
0	exciting
0	small
0	last
0	clear
0	new
0	old
0	big
very	late
0	great
0	nice
0	last
0	many
0	young
0	interesting
0	sure
0	last
0	big
0	same
0	happy
0	great
0	many
0	much
0	economic
0	different
0	second
0	similar
0	true
0	little
0	second
very	same
0	great
0	strong
0	good
0	important
0	last
0	new
0	effective
0	big
0	beautiful
0	different
0	last
0	beautiful
especially	middle
0	long
0	healthy
0	good
0	second
0	little
0	last
complete	second
0	happy
0	old
pretty	difficult
0	open
0	last
0	long
0	popular
0	little
0	sorry
0	many
0	original
0	stupid
very	young
0	old
0	nice
0	little
0	little
0	new
0	same
0	much
0	same
0	last
0	wide
0	big
0	little
very	keen
0	old
0	nice
0	serious
really	stupid
very	different
0	high
0	stupid
0	glad
0	new
0	good
very	pleased
0	close
0	big
0	bloody
totally	different
0	wonderful
0	relevant
0	old
0	nice
0	many
very	nice
0	different
0	old
0	wonderful
0	much
0	small
0	young
0	same
0	nice
0	like
0	big
0	great
0	popular
0	long
0	sure
0	good
0	new
0	appropriate
0	small
0	interesting
very	much
0	hard
0	second
0	good
0	much
0	sure
very	quiet
0	different
0	little
0	new
0	last
0	wonderful
0	long
0	same
0	stupid
0	much
0	real
0	beautiful
0	wrong
0	second
0	same
0	long
0	sure
0	sure
0	aware
0	last
0	different
0	beautiful
0	good
0	new
0	different
really	like
really	clear
0	genuine
0	great
0	second
0	long
0	little
0	sorry
0	bad
0	little
0	many
0	different
0	important
0	low
0	last
0	old
very	easy
0	young
0	similar
really	hard
0	cold
0	proud
0	same
0	little
0	same
0	new
0	good
0	good
0	dark
0	real
0	sore
0	different
0	little
0	last
0	sure
0	obvious
0	new
0	second
0	many
pretty	hard
0	dark
0	good
0	last
0	little
0	large
0	cold
0	important
0	much
0	great
0	real
0	little
0	little
very	interested
0	useful
0	little
0	simple
0	long
0	economic
really	early
0	sure
0	nice
very	good
pretty	big
0	last
0	idealistic
0	keen
0	little
0	little
0	funny
0	good
0	important
really	nice
0	real
0	many
0	little
0	little
0	basic
0	young
0	sure
0	great
0	sorry
0	late
0	new
really	good
0	last
0	good
0	good
0	different
0	different
0	great
0	good
0	aware
0	new
0	weird
0	bloody
0	sorry
0	long
0	wrong
0	many
very	good
0	effective
0	new
pretty	smooth
0	new
0	good
0	old
0	great
0	last
0	wide
0	hard
0	many
0	many
0	different
really	bad
0	new
0	last
very	important
0	aggressive
really	nice
really	good
0	true
pretty	sensitive
0	large
0	nice
0	original
0	little
0	great
really	cold
0	small
0	sorry
0	exciting
very	important
0	new
0	good
0	little
0	long
really	early
0	interesting
0	nice
very	good
0	last
0	aware
0	bloody
0	sure
0	great
0	long
0	important
0	aware
0	different
0	pleased
0	homesick
very	large
very	lucky
0	old
0	little
0	cold
0	second
0	new
very	clear
0	last
0	long
0	new
0	good
0	interesting
0	many
very	wide
0	last
0	good
0	great
0	many
0	special
extremely	important
0	last
really	interesting
0	green
0	old
0	economic
0	economic
0	special
0	odd
0	large
0	same
0	long
0	hard
0	good
0	different
0	big
0	genuine
0	real
0	special
0	good
amazingly	effective
0	little
0	same
0	important
0	important
0	difficult
0	low
0	clever
0	good
0	much
0	big
0	close
0	appropriate
0	little
0	real
0	big
0	last
0	little
so	much
so	many
0	bright
0	good
0	big
0	great
0	old
0	good
0	young
0	open
0	same
really	popular
0	little
0	many
0	old
0	old
0	many
0	aware
0	many
0	same
very	difficult
0	great
0	sorry
0	new
0	many
0	stupid
0	total
0	wrong
very	interested
really	bad
0	dark
0	strong
very	good
0	economic
0	last
0	great
0	same
0	new
0	many
0	good
0	big
0	loud
0	good
0	sure
0	great
0	wrong
0	open
0	little
0	old
0	bloody
0	same
0	nice
0	little
0	big
0	little
0	wrong
so	difficult
0	great
0	scary
0	little
0	little
0	different
0	big
0	great
0	happy
0	keen
really	strict
0	good
0	important
0	little
0	important
0	big
very	glad
so	many
0	disappointing
0	big
0	many
0	popular
0	little
0	old
very	hard
so	many
0	hard
0	little
0	new
0	different
0	sure
0	many
0	same
0	wonderful
0	popular
0	good
0	low
0	familiar
very	difficult
0	real
0	little
0	old
0	same
0	nice
0	second
0	last
0	last
0	high
really	easy
0	great
0	good
0	wrong
0	close
0	early
0	bloody
0	many
0	small
0	new
0	great
0	same
0	old
0	disappointing
0	last
0	little
0	last
0	easy
0	large
0	conscious
0	great
0	large
0	open
0	little
really	dumb
0	last
0	many
0	total
0	new
0	many
0	busy
very	strange
0	old
0	much
0	big
so	homesick
0	nice
0	sorry
0	stupid
very	good
0	hot
0	difficult
0	good
0	bright
0	new
0	good
0	much
0	different
0	like
0	angry
0	good
0	young
0	sure
0	second
0	good
0	same
very	low
0	long
0	same
0	many
0	nice
0	little
0	great
0	little
0	large
0	large
0	last
0	economic
0	last
0	happy
0	economic
0	genuine
0	interesting
0	large
0	last
0	great
0	green
0	different
0	good
0	genuine
pretty	tough
0	last
0	important
0	dangerous
0	good
0	big
0	different
0	large
0	good
0	good
0	old
0	wonderful
0	second
0	sorry
0	appropriate
0	little
0	many
0	hot
0	last
0	open
0	great
very	nice
0	nice
0	new
0	different
0	good
0	strong
0	long
0	different
0	big
0	hot
0	comfortable
0	true
0	bad
0	popular
0	good
0	bloody
0	good
0	little
0	serious
0	wrong
0	similar
0	nice
0	wonderful
0	different
0	economic
0	same
0	effective
0	early
0	same
0	good
0	basic
0	last
0	different
0	little
0	long
0	sure
0	effective
0	sure
0	high
0	last
0	clear
0	good
0	important
0	odd
0	weird
0	aware
0	little
very	large
0	different
0	easy
0	odd
0	much
0	professional
0	good
0	many
0	second
0	happy
0	many
very	important
so	much
0	many
0	old
0	last
0	sure
0	old
0	old
completely	new
0	significant
0	big
0	real
0	big
so	many
very	tough
0	many
0	little
0	same
0	wrong
completely	unrelated
0	many
very	big
0	same
0	much
0	appropriate
0	good
very	much
0	high
0	special
very	much
0	happy
0	economic
0	last
0	good
0	last
very	familiar
0	little
0	sure
0	strong
very	nice
0	great
0	total
0	easy
0	expensive
0	fantastic
0	healthy
0	funny
0	nice
0	many
0	like
0	interested
0	beautiful
0	high
0	sure
very	strict
so	many
0	good
0	like
0	happy
0	new
0	long
very	difficult
0	small
0	healthy
0	different
0	different
0	large
0	scary
0	small
0	great
0	wide
0	great
0	early
0	little
0	second
0	funny
0	stupid
so	much
0	little
0	interesting
really	glad
very	hard
0	new
0	different
0	dark
0	new
0	similar
0	good
0	similar
0	little
0	open
0	wrong
really	interesting
really	close
0	last
0	big
0	great
very	different
0	easy
0	long
0	same
really	relevant
0	great
0	sure
0	much
0	wonderful
0	professional
0	last
0	basic
0	last
0	hard
0	last
0	interesting
0	early
0	interested
0	old
0	clear
very	good
0	great
0	beautiful
0	same
0	old
0	last
pretty	good
0	many
0	little
0	good
0	nice
totally	different
0	little
0	dangerous
very	nervous
0	good
0	bad
0	same
0	old
0	real
0	slow
0	little
0	great
really	long
0	different
0	great
very	important
0	young
0	different
pretty	little
0	hot
0	genuine
0	low
0	important
0	nice
0	simple
0	small
0	tough
so	many
0	clever
0	old
0	good
0	second
0	last
0	same
0	last
0	different
0	green
0	new
0	bad
0	last
pretty	exciting
0	many
0	real
0	good
0	exciting
0	many
0	wonderful
0	like
0	sure
pretty	reluctant
0	good
0	different
0	different
0	serious
0	total
0	good
0	new
0	good
0	big
0	same
0	little
really	good
really	stupid
0	high
0	new
0	last
0	expensive
0	sure
0	many
0	true
0	green
really	nice
0	same
0	good
0	heavy
0	wonderful
0	real
0	nice
0	new
0	great
0	small
0	green
0	important
0	hard
0	little
0	little
0	glad
0	original
0	large
0	many
0	long
0	high
0	familiar
0	clear
0	long
0	high
0	hard
0	hard
0	cool
0	great
0	little
0	big
0	big
0	same
0	similar
0	original
0	young
extremely	important
very	basic
0	important
0	bad
0	special
0	difficult
0	many
0	long
so	many
0	lucky
0	many
0	new
0	big
0	bad
0	young
0	new
0	different
0	last
0	clear
0	great
0	little
0	good
0	open
really	big
0	last
0	important
0	small
0	nice
0	small
0	last
0	bloody
so	boring
0	last
0	second
0	sorry
0	good
0	odd
0	easy
0	open
0	little
0	little
0	small
0	sure
0	last
0	exciting
0	special
0	long
0	good
0	great
0	different
0	good
0	popular
0	beautiful
0	new
0	same
0	easy
0	second
0	last
0	last
0	cold
0	different
0	hard
very	interesting
0	much
0	young
really	good
0	same
0	important
0	good
0	interesting
0	second
0	hard
very	professional
0	hard
0	early
0	little
0	much
very	good
0	different
0	good
0	old
0	happy
0	beautiful
0	little
0	new
0	interesting
0	large
0	funny
0	big
0	special
0	hard
0	sore
0	wonderful
0	wrong
0	dark
0	simple
0	new
0	important
0	early
0	new
0	open
0	long
0	old
0	many
0	much
0	early
0	old
0	sorry
0	big
0	interested
0	young
0	good
0	much
0	high
0	good
0	little
0	many
very	much
0	small
0	good
0	real
0	new
very	comfortable
0	good
0	deep
0	new
0	good
0	deep
0	bright
0	economic
very	scary
0	interesting
0	good
very	proud
0	little
0	much
0	similar
really	strong
0	good
0	easy
especially	wonderful
0	conscious
0	long
0	easy
0	strange
0	different
0	effective
0	same
0	great
0	new
very	difficult
0	many
0	different
very	much
0	nice
very	good
really	good
very	nice
0	hot
0	old
0	great
0	same
0	nice
0	good
0	tough
0	different
0	new
0	last
0	last
0	real
so	much
0	busy
0	high
0	great
extremely	quiet
really	bad
0	long
0	much
0	great
0	new
0	nice
0	real
0	little
0	new
0	many
very	much
0	high
0	different
very	funny
0	good
0	good
0	interesting
0	popular
0	last
0	last
0	early
0	sure
0	little
0	little
0	same
0	real
0	great
0	real
0	many
0	like
0	high
0	early
0	important
0	little
0	big
0	good
0	great
very	hard
0	small
0	effective
0	small
0	new
0	second
0	little
0	old
0	wonderful
0	like
0	long
very	aware
0	same
0	different
pretty	serious
0	young
0	clear
0	second
0	wonderful
0	little
completely	different
0	young
0	aggressive
0	sure
0	same
0	bad
0	strong
0	many
0	heavy
really	slow
0	new
0	many
0	much
so	many
0	odd
0	little
0	bad
very	clever
0	new
0	different
0	good
0	different
0	great
0	many
0	new
0	similar
really	nice
0	total
really	easy
0	young
very	happy
really	scary
so	many
0	last
0	same
0	great
0	small
0	happy
really	close
very	interesting
0	interesting
0	basic
0	sure
very	difficult
0	good
0	many
very	low
0	sure
0	bad
0	long
0	new
0	same
0	big
very	good
0	happy
0	little
very	young
0	clear
0	sorry
0	many
0	second
0	good
0	big
0	happy
0	green
0	original
0	hot
0	hot
0	last
so	glad
0	second
0	new
0	many
0	second
very	easy
0	popular
0	much
0	same
0	long
0	good
0	sure
0	healthy
completely	analytic
0	old
0	hard
0	little
0	big
0	good
very	good
very	nice
really	clear
0	interesting
so	many
0	many
0	little
0	green
0	quick
0	special
0	funny
0	little
0	total
0	clear
0	low
0	last
0	aggressive
0	effective
0	many
