"FileSpeaker"	"CleanSpeechUnit"	"Adjective"	"Variant"	"Gender"	"Age"	"Occupation"	"AudienceSize"	"ConversationType"	"AgeNumeric"	"Function"	"Amplified"	"Frequency"	"Priming"	"Gradability"	"SemanticCategory"	"Emotionality"
"<S1A-001:1$A>"	"Good good"	"good"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"SameGender"	48	"Predicative"	0	6.75	"NotPrimed"	0.134319283631383	"Value"	"PositiveEmotional"
"<S1A-001:1$A>"	"Good good"	"good"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"SameGender"	48	"Predicative"	0	6.75	"NotPrimed"	-3.17717348074536	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"He's bloody good Bertrand Russell"	"bloody"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	0.73	"NotPrimed"	1	"PhysicalProperty"	"NegativeEmotional"
"<S1A-001:1$B>"	"He's bloody good Bertrand Russell"	"good"	"bloody"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	1	6.86	"NotPrimed"	0.247456233486095	"Value"	"PositiveEmotional"
"<S1A-001:1$A>"	"Mmmm Now that'd be interesting"	"interesting"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"SameGender"	48	"Predicative"	0	0.71	"NotPrimed"	1	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"He's good"	"good"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Predicative"	0	6.86	"NotPrimed"	-3.17095950694421	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"He's pretty good"	"good"	"pretty"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Predicative"	1	6.86	"NotPrimed"	-3.66356164612965	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"He's a good speaker"	"good"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	6.86	"NotPrimed"	1.09178731860406	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"Not interested definitely"	"interested"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Predicative"	0	0.6	"NotPrimed"	1	"HumanPropensity"	"PositiveEmotional"
"<S1A-001:1$B>"	"Well I don't know what went wrong but the a bloody lot lot that did go wrong"	"wrong"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Predicative"	0	0.56	"NotPrimed"	-2.89365855893838	"Value"	"NegativeEmotional"
"<S1A-001:1$B>"	"Well I don't know what went wrong but the a bloody lot lot that did go wrong"	"bloody"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	0.73	"NotPrimed"	1	"PhysicalProperty"	"NegativeEmotional"
"<S1A-001:1$B>"	"Well I don't know what went wrong but the a bloody lot lot that did go wrong"	"wrong"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Predicative"	0	0.56	"NotPrimed"	-3.66356164612965	"Value"	"NegativeEmotional"
"<S1A-001:1$A>"	"Oh that that'd be an interesting I might take that down"	"interesting"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"SameGender"	48	"Predicative"	0	0.71	"NotPrimed"	1	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"It's a long time since I seen them seen 'em tackle-shy like that"	"long"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	0.95	"NotPrimed"	0.870402257508739	"Dimension"	"NonEmotional"
"<S1A-002:1$B>"	"In the long run"	"long"	"0"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	47.5	"Attributive"	0	1.41	"NotPrimed"	-2.11779816504545	"Dimension"	"NonEmotional"
"<S1A-002:1$B>"	"It's amazing what manages to grow when the air seems dark and and there's a shortage of water and"	"amazing"	"0"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	47.5	"Predicative"	0	0.24	"NotPrimed"	1	"Value"	"NonEmotional"
"<S1A-002:1$C>"	"And and come come the next er depression all all these plants will be allowed to die and then you'll just have a a building with a filthy great hole in it"	"great"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"MixedGender"	47.5	"Attributive"	0	0.63	"NotPrimed"	-1.00635625769051	"Value"	"NonEmotional"
"<S1A-002:1$C>"	"The the the next great innovation you know I think is going to be ah er er occasional newspapers"	"great"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"MixedGender"	47.5	"Attributive"	0	0.63	"NotPrimed"	-3.66356164612965	"Value"	"NonEmotional"
"<S1A-002:1$B>"	"Good party organisation"	"good"	"0"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	47.5	"Attributive"	0	6.75	"NotPrimed"	-3.66356164612965	"Value"	"PositiveEmotional"
"<S1A-002:1$C>"	"There's nothing to replace the the old system"	"old"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"MixedGender"	47.5	"Attributive"	0	2.04	"NotPrimed"	-3.66356164612965	"Age"	"NonEmotional"
"<S1A-003:1$B>"	"Oh that's good"	"good"	"0"	"Man"	"17-25"	"ACMP"	"Dyad"	"SameGender"	22.5	"Predicative"	0	6.26	"NotPrimed"	-3.66356164612965	"Value"	"PositiveEmotional"
"<S1A-003:1$A>"	"And um they've got a little kitchenette so they can sort of prepare meals and be independent of fixed meal times you see"	"little"	"0"	"Man"	"41-80"	"ACMP"	"Dyad"	"SameGender"	55	"Attributive"	0	2.75	"NotPrimed"	0.0610524722215368	"Dimension"	"NonEmotional"
"<S1A-003:1$A>"	"The diving I'm sorry"	"sorry"	"0"	"Man"	"41-80"	"ACMP"	"Dyad"	"SameGender"	55	"Predicative"	0	0.47	"NotPrimed"	-3.66356164612965	"HumanPropensity"	"NonEmotional"
"<S1A-003:1$A>"	"Different grades"	"different"	"0"	"Man"	"41-80"	"ACMP"	"Dyad"	"SameGender"	55	"Attributive"	0	0.94	"NotPrimed"	1	"PhysicalProperty"	"NonEmotional"
"<S1A-003:1$B>"	"You could either well first off we stayed at this place which is in Cairns the Cairns Colonial Club and that was very nice and we stayed there four days and from there one day we went out to the reef then we went up to Turtle Cove and we did go into Port Douglas quite often but you know by the time you get ready in the morning and then go to Port Douglas is about forty minutes drive away"	"nice"	"very"	"Man"	"17-25"	"ACMP"	"Dyad"	"SameGender"	22.5	"Predicative"	1	2.33	"NotPrimed"	-1.52275399691035	"HumanPropensity"	"NonEmotional"
"<S1A-003:1$B>"	"You could've gone out for a half a day but that only goes to these islands called the Low Isles and you know they're nice but it's not really the proper continental shelf type reef"	"nice"	"0"	"Man"	"17-25"	"ACMP"	"Dyad"	"SameGender"	22.5	"Predicative"	0	2.33	"NotPrimed"	-3.66356164612965	"HumanPropensity"	"NonEmotional"
"<S1A-003:1$B>"	"You need a whole day to get out there so we did that one day from Cairns and we went to Green Island and then right out to this place called Norman Reef and it was so expensive and so far to go that with it's really the only reason we went for the day"	"expensive"	"so"	"Man"	"17-25"	"ACMP"	"Dyad"	"SameGender"	22.5	"Predicative"	1	0.34	"NotPrimed"	1	"Value"	"NonEmotional"
"<S1A-003:1$A>"	"That's 'cos 'cos it was so expensive"	"expensive"	"so"	"Man"	"41-80"	"ACMP"	"Dyad"	"SameGender"	55	"Predicative"	1	0.24	"Primed"	1	"Value"	"NonEmotional"
"<S1A-003:1$B>"	"You go to a you go for a full day and then you're on the catamaran going out there for a couple of hours and then it stops at this pontoon and moors to that and that's where you stay for a couple of hours and they have a big lunch on the pontoon and you know you can snorkel or scuba from the pontoon and the oth the other thing that stopped us going out to the reef more often was the weather which was windy and a bit rough the whole time we were in Cairns"	"big"	"0"	"Man"	"17-25"	"ACMP"	"Dyad"	"SameGender"	22.5	"Attributive"	0	2.11	"NotPrimed"	-3.66356164612965	"Dimension"	"NonEmotional"
"<S1A-003:1$B>"	"They call it the Marlin Coast and there's sort of a gap in the reef and the waves come in and they're quite big waves so but yeah you could've had a good surf really because you know they were un unseasonably or unusal unusually large waves"	"good"	"0"	"Man"	"17-25"	"ACMP"	"Dyad"	"SameGender"	22.5	"Attributive"	0	6.26	"NotPrimed"	-2.42305538033016	"Value"	"PositiveEmotional"
"<S1A-003:1$A>"	"She'd have some certificate but she wanted she asked me and I couldn't answer whether when you you borrow the gear again ah for certified divers to explore as it says here would they give you a little familiarisation with the equipment do you know"	"little"	"0"	"Man"	"41-80"	"ACMP"	"Dyad"	"SameGender"	55	"Attributive"	0	2.75	"NotPrimed"	-3.66356164612965	"Dimension"	"NonEmotional"
"<S1A-003:1$B>"	"I I s'pose it'd be a good idea to do a short refresher for her sake"	"good"	"0"	"Man"	"17-25"	"ACMP"	"Dyad"	"SameGender"	22.5	"Attributive"	0	6.26	"NotPrimed"	-2.71960305595973	"Value"	"PositiveEmotional"
"<S1A-003:1$A>"	"O K OK oh well she'll have no I mean she she's the keen one and he's um he's more interested in golf and just sort of sight seeing so ah from what you're telling me then it seems as though if she did a some dives and um with all this gear full gear provided because they've got no equipment um then at the time of them giving her the gear to to put on they'd familiarise her with ah with it"	"keen"	"0"	"Man"	"41-80"	"ACMP"	"Dyad"	"SameGender"	55	"Predicative"	0	0.08	"NotPrimed"	-0.96342627399698	"HumanPropensity"	"NonEmotional"
"<S1A-003:1$B>"	"Taking it easy"	"easy"	"0"	"Man"	"17-25"	"ACMP"	"Dyad"	"SameGender"	22.5	"Predicative"	0	0.3	"NotPrimed"	-3.66356164612965	"Difficulty"	"NonEmotional"
"<S1A-003:1$A>"	"That's good"	"good"	"0"	"Man"	"41-80"	"ACMP"	"Dyad"	"SameGender"	55	"Predicative"	0	6.75	"NotPrimed"	-3.66356164612965	"Value"	"PositiveEmotional"
"<S1A-003:1$A>"	"Well that means that that little bit of advice that we gave them stands good"	"little"	"0"	"Man"	"41-80"	"ACMP"	"Dyad"	"SameGender"	55	"Attributive"	0	2.75	"NotPrimed"	-2.87408380472385	"Dimension"	"NonEmotional"
"<S1A-003:1$A>"	"Well that means that that little bit of advice that we gave them stands good"	"good"	"0"	"Man"	"41-80"	"ACMP"	"Dyad"	"SameGender"	55	"Predicative"	0	6.75	"NotPrimed"	-2.17112054840157	"Value"	"PositiveEmotional"
"<S1A-003:1$B>"	"There's a great tourist information and you know it's just a tourist town so everything is geared to the tourist and there's just a lot of you know you just walk down the main street and there's most of the shops um you know that they're they're all they're all fonts of knowledge all these people that run the shops and"	"great"	"0"	"Man"	"17-25"	"ACMP"	"Dyad"	"SameGender"	22.5	"Attributive"	0	0.78	"NotPrimed"	0.366248645677338	"Value"	"NonEmotional"
"<S1A-003:1$B>"	"The the only time we went to Port Douglas to eat was like my birthday so we had a big seafood meal but I saw lots of people hanging around this pie shop"	"big"	"0"	"Man"	"17-25"	"ACMP"	"Dyad"	"SameGender"	22.5	"Attributive"	0	2.11	"NotPrimed"	-0.193011311482001	"Dimension"	"NonEmotional"
"<S1A-004:1$B>"	"Um I know it's a terrible thing to do but I think I'd rather"	"terrible"	"0"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	70	"Attributive"	0	0.24	"NotPrimed"	-3.66356164612965	"Value"	"NegativeEmotional"
"<S1A-004:1$B>"	"Good"	"good"	"0"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	70	"Predicative"	0	6.75	"NotPrimed"	-0.14257983708528	"Value"	"PositiveEmotional"
"<S1A-004:1$B>"	"Wine tastes good too"	"good"	"0"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	70	"Predicative"	0	6.75	"NotPrimed"	1.32118661638408	"Value"	"PositiveEmotional"
"<S1A-004:1$B>"	"We can't have him having cold dinner"	"cold"	"0"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	70	"Attributive"	0	0.63	"NotPrimed"	0.00616232835274616	"PhysicalProperty"	"NegativeEmotional"
"<S1A-004:1$B>"	"Nothing wrecks a diner more than having it cold"	"cold"	"0"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	70	"Predicative"	0	0.63	"NotPrimed"	-1.34720259096155	"PhysicalProperty"	"NegativeEmotional"
"<S1A-004:1$B>"	"He'll do better to have a hot dinner"	"hot"	"0"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	70	"Attributive"	0	0.47	"NotPrimed"	-3.66356164612965	"PhysicalProperty"	"NonEmotional"
"<S1A-004:1$B>"	"Hmm good hmm"	"good"	"0"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	70	"Attributive"	0	6.75	"NotPrimed"	-3.66356164612965	"Value"	"PositiveEmotional"
"<S1A-004:1$E>"	"It's a very light red if you"	"light"	"very"	"Man"	"17-25"	"ACMP"	"Group"	"MixedGender"	22.5	"Predicative"	1	0.04	"NotPrimed"	-1.71506903958328	"PhysicalProperty"	"NonEmotional"
"<S1A-004:1$B>"	"Oh that is a lovely"	"lovely"	"0"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	70	"Predicative"	0	1.18	"NotPrimed"	1	"Value"	"PositiveEmotional"
"<S1A-004:1$E>"	"I said I was going to bring a nice bottle of wine and I hate who don't do that"	"nice"	"0"	"Man"	"17-25"	"ACMP"	"Group"	"MixedGender"	22.5	"Attributive"	0	2.33	"NotPrimed"	-0.99581806757187	"HumanPropensity"	"NonEmotional"
"<S1A-004:1$B>"	"Oh I think I know the young man, yes"	"young"	"0"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	70	"Attributive"	0	0.24	"NotPrimed"	-3.66356164612965	"Age"	"PositiveEmotional"
"<S1A-004:1$E>"	"Yeah, we had a nice lunch out"	"nice"	"0"	"Man"	"17-25"	"ACMP"	"Group"	"MixedGender"	22.5	"Attributive"	0	2.33	"NotPrimed"	-2.16074289765336	"HumanPropensity"	"NonEmotional"
"<S1A-004:1$B>"	"Rather like the first time one of the first times asked about a particularly good sherry for an overseas visitor, in the days where we couldn't really afford any particularly good wine"	"good"	"particularly"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	70	"Attributive"	1	6.75	"NotPrimed"	-0.918252871289442	"Value"	"PositiveEmotional"
"<S1A-004:1$B>"	"Rather like the first time one of the first times asked about a particularly good sherry for an overseas visitor, in the days where we couldn't really afford any particularly good wine"	"good"	"particularly"	"Woman"	"41-80"	"ACMP"	"Group"	"MixedGender"	70	"Attributive"	1	6.75	"Primed"	-1.90436763082827	"Value"	"PositiveEmotional"
"<S1A-005:1$A>"	"Oh great!"	"great"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	0	1.42	"NotPrimed"	-3.66356164612965	"Value"	"NonEmotional"
"<S1A-005:1$A>"	"I washed them in hot water and they all melted"	"hot"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Attributive"	0	0.22	"NotPrimed"	-1.17685050990773	"PhysicalProperty"	"NonEmotional"
"<S1A-005:1$A>"	"She was a bit worried because where we were dropping her off there was an Indian man coming out and it this boy certainly doesn't like it looked like the wrong house"	"wrong"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Attributive"	0	0.56	"NotPrimed"	-1.12371414634033	"Value"	"NegativeEmotional"
"<S1A-005:1$A>"	"They it had all big trees"	"big"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Attributive"	0	1.55	"NotPrimed"	-2.19666898780434	"Dimension"	"NonEmotional"
"<S1A-005:1$A>"	"You'd know it from when you walked there 'cause it was the only it had great big overgrown"	"great"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	0	1.42	"NotPrimed"	-0.484833106391087	"Value"	"NonEmotional"
"<S1A-005:1$A>"	"You'd know it from when you walked there 'cause it was the only it had great big overgrown"	"big"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	0	1.55	"NotPrimed"	-1.20223273575281	"Dimension"	"NonEmotional"
"<S1A-005:1$A>"	"'Cause she won't be taking anything good"	"good"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	0	6.86	"NotPrimed"	-0.214667191708495	"Value"	"PositiveEmotional"
"<S1A-005:1$A>"	"Good"	"good"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	0	6.86	"NotPrimed"	-3.66356164612965	"Value"	"PositiveEmotional"
"<S1A-005:1$A>"	"That's good"	"good"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	0	6.86	"NotPrimed"	-3.66356164612965	"Value"	"PositiveEmotional"
"<S1A-005:1$A>"	"He'd be sick"	"sick"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	0	0.78	"NotPrimed"	-2.23339425505769	"HumanPropensity"	"NegativeEmotional"
"<S1A-005:1$A>"	"But you feel it's faster because the other the other way you you're building up to it slowly whereas that when you're on the back you come over slow and then it's whoosh straight down"	"slow"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	0	0.09	"NotPrimed"	-3.66356164612965	"PhysicalProperty"	"NonEmotional"
"<S1A-005:1$A>"	"I can't look on the little one"	"little"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	0	2.63	"NotPrimed"	-3.66356164612965	"Dimension"	"NonEmotional"
"<S1A-005:1$A>"	"Don't want to go on the big one"	"big"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	0	1.55	"NotPrimed"	-1.0572079511074	"Dimension"	"NonEmotional"
"<S1A-005:1$A>"	"They reckon they're so tough they can't even go on the swings"	"tough"	"so"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	1	0.09	"NotPrimed"	-1.42726885614402	"PhysicalProperty"	"NegativeEmotional"
"<S1A-005:1$A>"	"Oh it's awful"	"awful"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	0	0.3	"NotPrimed"	-3.66356164612965	"Value"	"NegativeEmotional"
"<S1A-005:1$A>"	"I reckon it's sick"	"sick"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	0	0.78	"NotPrimed"	-0.807320849597905	"HumanPropensity"	"NegativeEmotional"
"<S1A-005:1$A>"	"of getting hurt it's just awful when it's making me sick"	"sick"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Predicative"	0	0.78	"NotPrimed"	-0.395914710468218	"HumanPropensity"	"NegativeEmotional"
"<S1A-005:1$A>"	"Yeah but that that dipper the big dip going on the big dipper would make me"	"big"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Attributive"	0	1.55	"NotPrimed"	-3.66356164612965	"Dimension"	"NonEmotional"
"<S1A-005:1$A>"	"Yeah but that that dipper the big dip going on the big dipper would make me"	"big"	"0"	"Woman"	"26-40"	"ACMP"	"Group"	"MixedGender"	37.5	"Attributive"	0	1.55	"NotPrimed"	-3.15405233159996	"Dimension"	"NonEmotional"
