"Age"	"Adjective"	"FileSpeaker"	"Function"	"Priming"	"Gender"	"Occupation"	"ConversationType"	"AudienceSize"	"very"	"really"	"Freq"	"Gradabilty"	"SemanticCategory"	"Emotionality"
"17-25"	"nice"	"<S1A-007:1$A>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	7.29282	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-007:1$A>"	"Attributive"	"Prime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	0.1105	"NotGradable"	"PhysicalProperty"	"NonEmotional"
"17-25"	"nice"	"<S1A-007:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	1	0	7.29282	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"good"	"<S1A-007:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"nice"	"<S1A-007:1$B>"	"Attributive"	"Prime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	7.29282	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"funny"	"<S1A-007:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	3.20442	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"good"	"<S1A-007:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"26-40"	"good"	"<S1A-008:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	27.8481	"NotGradable"	"Value"	"PositiveEmotional"
"26-40"	"good"	"<S1A-008:1$B>"	"Predicative"	"Prime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	27.8481	"NotGradable"	"Value"	"PositiveEmotional"
"26-40"	"good"	"<S1A-008:1$B>"	"Attributive"	"Prime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	27.8481	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"good"	"<S1A-009:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"funny"	"<S1A-009:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	0	1	3.20442	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-009:1$B>"	"Predicative"	"Prime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	0	1	1.43646	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"nice"	"<S1A-009:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	0	1	7.29282	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-009:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	1	0	0.66298	"NotGradable"	"Value"	"NonEmotional"
"17-25"	"other"	"<S1A-009:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	0	0	1.65746	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"nice"	"<S1A-009:1$B>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	0	1	7.29282	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-009:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	0	1	0.66298	"NotGradable"	"PhysicalProperty"	"NegativeEmotional"
"17-25"	"good"	"<S1A-009:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	0	0	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"other"	"<S1A-010:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	1	0	1.32597	"NotGradable"	"NoSemType"	"NonEmotional"
"17-25"	"good"	"<S1A-011:1$A>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"good"	"<S1A-012:1$A>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	1	0	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"good"	"<S1A-013:1$B>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"MultipleInterlocutors"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"bad"	"<S1A-013:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"MultipleInterlocutors"	0	0	2.76243	"NotGradable"	"Value"	"NegativeEmotional"
"26-40"	"other"	"<S1A-014:1$A>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	1	0	1.63265	"Gradable"	"HumanPropensity"	"NonEmotional"
"41-80"	"good"	"<S1A-015:1$B>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	0	1	16.07143	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"interesting"	"<S1A-015:1$A>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	1	0	2.09945	"Gradable"	"Value"	"PositiveEmotional"
"41-80"	"bad"	"<S1A-016:1$A>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	0	1	0.89286	"NotGradable"	"Value"	"NegativeEmotional"
"17-25"	"other"	"<S1A-017:1$A>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	1	0	0.77348	"NotGradable"	"PhysicalProperty"	"NonEmotional"
"17-25"	"other"	"<S1A-017:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	0	1.65746	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"other"	"<S1A-018:1$C>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"MultipleInterlocutors"	1	0	0.66298	"NotGradable"	"Value"	"NonEmotional"
"41-80"	"nice"	"<S1A-018:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"MultipleInterlocutors"	0	0	3.57143	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-018:1$C>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"MultipleInterlocutors"	0	0	0.1105	"NotGradable"	"HumanPropensity"	"PositiveEmotional"
"41-80"	"other"	"<S1A-018:1$B>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"MultipleInterlocutors"	0	0	1.78571	"NotGradable"	"HumanPropensity"	"PositiveEmotional"
"17-25"	"interesting"	"<S1A-018:1$C>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"MultipleInterlocutors"	1	0	2.09945	"Gradable"	"Value"	"PositiveEmotional"
"17-25"	"other"	"<S1A-019:1$B>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	0.33149	"Gradable"	"NoSemType"	"PositiveEmotional"
"17-25"	"funny"	"<S1A-019:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	3.20442	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"funny"	"<S1A-019:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	3.20442	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"funny"	"<S1A-019:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	3.20442	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"bad"	"<S1A-019:1$A>"	"Attributive"	"Prime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	2.76243	"NotGradable"	"Value"	"NegativeEmotional"
"17-25"	"other"	"<S1A-020:1$A>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	0	0	1.21547	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"good"	"<S1A-020:1$A>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"MixedSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"good"	"<S1A-021:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"good"	"<S1A-021:1$A>"	"Predicative"	"Prime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"good"	"<S1A-021:1$A>"	"Predicative"	"Prime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"funny"	"<S1A-022:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	3.20442	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-023:1$C>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	0	0.55249	"GradabilityUndetermined"	"Value"	"NonEmotional"
"26-40"	"other"	"<S1A-024:1$A>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	3.16456	"GradabilityUndetermined"	"Dimension"	"NonEmotional"
"26-40"	"good"	"<S1A-024:1$A>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	27.8481	"NotGradable"	"Value"	"PositiveEmotional"
"26-40"	"good"	"<S1A-024:1$B>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	1	0	27.8481	"NotGradable"	"Value"	"PositiveEmotional"
"26-40"	"other"	"<S1A-024:1$B>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	1	0	1.26582	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"bad"	"<S1A-025:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	2.76243	"NotGradable"	"Value"	"NegativeEmotional"
"17-25"	"other"	"<S1A-026:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	1.10497	"NotGradable"	"HumanPropensity"	"NegativeEmotional"
"17-25"	"other"	"<S1A-026:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	1	0	2.43094	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-026:1$B>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	0.22099	"NotGradable"	"HumanPropensity"	"NegativeEmotional"
"17-25"	"other"	"<S1A-026:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	0.55249	"NotGradable"	"Dimension"	"NonEmotional"
"17-25"	"other"	"<S1A-026:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	1.21547	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-026:1$A>"	"Predicative"	"Prime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	1.10497	"NotGradable"	"HumanPropensity"	"NegativeEmotional"
"17-25"	"nice"	"<S1A-027:1$C>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"MultipleInterlocutors"	0	1	7.29282	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-027:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"MultipleInterlocutors"	1	0	0.55249	"Gradable"	"PhysicalProperty"	"NonEmotional"
"17-25"	"good"	"<S1A-028:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"other"	"<S1A-028:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	1	0	0.77348	"NotGradable"	"Value"	"NegativeEmotional"
"17-25"	"good"	"<S1A-029:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"other"	"<S1A-029:1$C>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	0	0.44199	"Gradable"	"Dimension"	"NonEmotional"
"17-25"	"other"	"<S1A-029:1$A>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	1	0.44199	"NotGradable"	"NoSemType"	"NonEmotional"
"17-25"	"other"	"<S1A-029:1$B>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	0	2.20994	"NotGradable"	"NoSemType"	"NonEmotional"
"17-25"	"other"	"<S1A-029:1$A>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	1	0	0.44199	"NotGradable"	"NoSemType"	"NonEmotional"
"17-25"	"good"	"<S1A-029:1$A>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"bad"	"<S1A-030:1$A>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	2.76243	"NotGradable"	"Value"	"NegativeEmotional"
"17-25"	"other"	"<S1A-030:1$A>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	1.10497	"NotGradable"	"Dimension"	"NegativeEmotional"
"17-25"	"other"	"<S1A-030:1$A>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	1.32597	"NotGradable"	"HumanPropensity"	"NegativeEmotional"
"17-25"	"other"	"<S1A-030:1$A>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	0.22099	"NotGradable"	"HumanPropensity"	"NegativeEmotional"
"26-40"	"other"	"<S1A-031:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	1	0	1.26582	"NotGradable"	"NoSemType"	"PositiveEmotional"
"26-40"	"bad"	"<S1A-031:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	1	0.63291	"NotGradable"	"Value"	"NegativeEmotional"
"26-40"	"good"	"<S1A-031:1$C>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	1	0	27.8481	"NotGradable"	"Value"	"PositiveEmotional"
"26-40"	"other"	"<S1A-032:1$B>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	1	0	0.63291	"NotGradable"	"Dimension"	"NonEmotional"
"26-40"	"other"	"<S1A-032:1$A>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	1	0	1.89873	"NotGradable"	"NoSemType"	"NonEmotional"
"41-80"	"other"	"<S1A-034:1$C>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	1	3.57143	"NotGradable"	"HumanPropensity"	"NonEmotional"
"41-80"	"interesting"	"<S1A-034:1$B>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	1	0	0.61728	"Gradable"	"Value"	"PositiveEmotional"
"17-25"	"good"	"<S1A-036:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"good"	"<S1A-036:1$A>"	"Predicative"	"Prime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"other"	"<S1A-036:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	0.33149	"NotGradable"	"Value"	"NegativeEmotional"
"17-25"	"good"	"<S1A-036:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"other"	"<S1A-037:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	0.77348	"NotGradable"	"Value"	"NegativeEmotional"
"17-25"	"other"	"<S1A-037:1$A>"	"Predicative"	"Prime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	0.77348	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"other"	"<S1A-037:1$A>"	"Attributive"	"Prime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	0.77348	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"other"	"<S1A-037:1$B>"	"Predicative"	"Prime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	1	0	1.43646	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-037:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	0.55249	"Gradable"	"PhysicalProperty"	"NonEmotional"
"17-25"	"good"	"<S1A-038:1$A>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	1	0	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"good"	"<S1A-038:1$B>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"nice"	"<S1A-038:1$A>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	7.29282	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"nice"	"<S1A-038:1$A>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	1	0	7.29282	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-038:1$B>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	3.53591	"NotGradable"	"Value"	"NonEmotional"
"17-25"	"good"	"<S1A-038:1$B>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"other"	"<S1A-039:1$A>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	1	0	0.44199	"Gradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-039:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	0	0.66298	"Gradable"	"NoSemType"	"PositiveEmotional"
"17-25"	"other"	"<S1A-039:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	1	1.10497	"NotGradable"	"HumanPropensity"	"NegativeEmotional"
"26-40"	"nice"	"<S1A-040:1$A>"	"Attributive"	"NoPrime"	"Women"	NA	"SameSex"	"Dyad"	0	1	3.26531	"NotGradable"	"HumanPropensity"	"NonEmotional"
"26-40"	"other"	"<S1A-040:1$A>"	"Predicative"	"NoPrime"	"Women"	NA	"SameSex"	"Dyad"	0	0	1.63265	"NotGradable"	"Value"	"NonEmotional"
"26-40"	"nice"	"<S1A-040:1$A>"	"Attributive"	"NoPrime"	"Women"	NA	"SameSex"	"Dyad"	1	0	3.26531	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-041:1$A>"	"Predicative"	"NoPrime"	"Women"	NA	"SameSex"	"Dyad"	0	0	2.09945	"NotGradable"	"Dimension"	"NonEmotional"
"17-25"	"good"	"<S1A-041:1$A>"	"Attributive"	"Prime"	"Women"	NA	"SameSex"	"Dyad"	0	0	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"good"	"<S1A-041:1$A>"	"Predicative"	"NoPrime"	"Women"	NA	"SameSex"	"Dyad"	0	1	20.55249	"NotGradable"	"Value"	"PositiveEmotional"
"26-40"	"other"	"<S1A-042:1$B>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	1	0	1.26582	"NotGradable"	"HumanPropensity"	"NonEmotional"
"26-40"	"other"	"<S1A-042:1$B>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	1.26582	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-043:1$B>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	0.77348	"NotGradable"	"Value"	"NegativeEmotional"
"17-25"	"other"	"<S1A-043:1$A>"	"Predicative"	"Prime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	0.44199	"Gradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-043:1$A>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	4.53039	"Gradable"	"Value"	"PositiveEmotional"
"17-25"	"other"	"<S1A-043:1$B>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	0.33149	"NotGradable"	"Value"	"NegativeEmotional"
"17-25"	"bad"	"<S1A-044:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	2.76243	"NotGradable"	"Value"	"NegativeEmotional"
"17-25"	"other"	"<S1A-044:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	0.1105	"NotGradable"	"NoSemType"	"PositiveEmotional"
"17-25"	"other"	"<S1A-044:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	0.33149	"NotGradable"	"Value"	"NegativeEmotional"
"17-25"	"nice"	"<S1A-044:1$B>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	1	7.29282	"NotGradable"	"HumanPropensity"	"NonEmotional"
"17-25"	"other"	"<S1A-044:1$A>"	"Predicative"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	1.21547	"NotGradable"	"HumanPropensity"	"NonEmotional"
