"Question1"	"Question2"	"Question3"	"Question4"	"Question5"	"Question6"	"Question7"	"Question8"	"Question9"	"Question10"
"Respondent23"	"Strongly agree"	"Strongly disagree"	"Strongly disagree"	"Disagree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Strongly agree"	"Agree"	"Strongly disagree"
"Respondent24"	"Disagree"	"Disagree"	"Strongly disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Strongly disagree"
"Respondent25"	"Agree"	"Disagree"	"Strongly disagree"	"Strongly agree"	"Strongly disagree"	"Agree"	"Disagree"	"Strongly agree"	"Strongly agree"	"Strongly disagree"
"Respondent26"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Strongly disagree"	"Disagree"	"Strongly disagree"	"Disagree"	"Agree"
"Respondent27"	"Strongly disagree"	"Agree"	"Disagree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Disagree"	"Disagree"	"Strongly disagree"	"Disagree"
"Respondent28"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Strongly disagree"	"Disagree"	"Agree"	"Strongly disagree"	"Strongly disagree"	"Disagree"
"Respondent29"	"Strongly disagree"	"Agree"	"Agree"	"Strongly disagree"	"Disagree"	"Strongly disagree"	"Agree"	"Disagree"	"Strongly disagree"	"Agree"
"Respondent30"	"Strongly agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Strongly disagree"	"Disagree"	"Strongly agree"	"Disagree"	"Agree"
"Respondent31"	"Disagree"	"Disagree"	"Strongly disagree"	"Strongly disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"
"Respondent32"	"Disagree"	"Disagree"	"Agree"	"Strongly disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Strongly disagree"	"Strongly agree"
"Respondent33"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"
"Respondent34"	"Strongly disagree"	"Agree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly agree"
"Respondent35"	"Strongly disagree"	"Strongly agree"	"Agree"	"Strongly disagree"	"Strongly agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Strongly disagree"	"Agree"
"Respondent36"	"Strongly disagree"	"Agree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Disagree"	"Disagree"	"Strongly disagree"	"Agree"
"Respondent37"	"Strongly disagree"	"Agree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Strongly disagree"	"Agree"
"Respondent38"	"Disagree"	"Disagree"	"Strongly disagree"	"Disagree"	"Disagree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Disagree"	"Disagree"
"Respondent39"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Strongly disagree"	"Disagree"	"Strongly disagree"	"Strongly disagree"	"Agree"
"Respondent40"	"Strongly disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Strongly disagree"	"Disagree"	"Disagree"	"Strongly disagree"	"Disagree"
"Respondent41"	"Strongly disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Strongly disagree"	"Agree"
"Respondent42"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"
"Respondent43"	"Strongly disagree"	"Strongly agree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Strongly agree"	"Strongly disagree"	"Strongly disagree"	"Agree"
"Respondent44"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Disagree"	"Agree"
"Respondent45"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Disagree"	"Disagree"
"Respondent46"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Strongly disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"
"Respondent47"	"Strongly disagree"	"Disagree"	"Strongly agree"	"Disagree"	"Strongly disagree"	"Strongly disagree"	"Strongly agree"	"Strongly disagree"	"Strongly disagree"	"Strongly agree"
"Respondent48"	"Strongly disagree"	"Agree"	"Agree"	"Strongly disagree"	"Disagree"	"Strongly disagree"	"Strongly agree"	"Disagree"	"Strongly disagree"	"Strongly agree"
"Respondent49"	"Disagree"	"Disagree"	"Strongly disagree"	"Disagree"	"Disagree"	"Disagree"	"Strongly disagree"	"Disagree"	"Disagree"	"Disagree"
"Respondent50"	"Strongly disagree"	"Strongly agree"	"Strongly agree"	"Strongly disagree"	"Strongly agree"	"Strongly disagree"	"Strongly agree"	"Strongly disagree"	"Strongly disagree"	"Strongly agree"
