ID	Trial	Language	Gender	UHM	Noise	Interloctutor	Shots
69	2	German	Man	0	with	SameGender	2
70	3	German	Woman	1	without	SameGender	5
71	2	German	Man	0	with	OtherGender	2
72	2	German	Woman	0	with	SameGender	0
73	1	Mandarin	Woman	1	with	SameGender	3
74	2	English	Man	2	with	OtherGender	4
75	1	English	Woman	0	without	OtherGender	6
76	3	Russian	Woman	0	with	OtherGender	0
77	1	German	Man	0	without	SameGender	4
78	3	Russian	Man	0	without	OtherGender	0
79	2	German	Man	0	with	OtherGender	3
80	1	English	Man	0	without	SameGender	1
81	1	German	Man	1	with	OtherGender	4
82	1	English	Man	0	without	OtherGender	4
83	2	English	Man	0	without	OtherGender	2
84	3	German	Woman	0	with	OtherGender	1
85	1	Russian	Man	1	with	OtherGender	1
86	2	English	Woman	5	without	OtherGender	12
87	2	German	Man	0	with	SameGender	1
88	3	German	Man	0	without	OtherGender	2
89	1	Mandarin	Woman	1	without	OtherGender	3
90	3	German	Man	1	with	SameGender	3
91	3	German	Woman	0	with	OtherGender	4
92	1	German	Woman	1	without	OtherGender	3
93	1	German	Man	0	without	SameGender	0
94	1	German	Woman	0	with	OtherGender	6
95	3	German	Woman	1	without	OtherGender	1
96	2	German	Woman	0	with	OtherGender	2
97	3	Mandarin	Woman	0	without	OtherGender	1
98	1	German	Man	0	without	SameGender	3
99	1	German	Woman	0	with	OtherGender	2
100	3	German	Woman	0	with	OtherGender	3
101	2	Mandarin	Woman	0	with	OtherGender	1
102	2	Mandarin	Woman	0	with	SameGender	1
103	2	English	Woman	0	without	OtherGender	3
104	2	German	Woman	2	with	OtherGender	4
105	1	English	Woman	5	with	SameGender	7
106	1	German	Man	0	with	OtherGender	0
107	3	Mandarin	Woman	1	without	OtherGender	3
108	1	German	Woman	0	without	OtherGender	6
109	1	English	Woman	2	with	SameGender	6
110	3	German	Woman	1	with	SameGender	4
111	1	German	Woman	4	without	SameGender	13
112	3	German	Man	0	with	SameGender	1
113	3	English	Woman	1	without	OtherGender	8
114	2	Mandarin	Woman	0	with	OtherGender	4
115	2	English	Man	1	with	OtherGender	5
116	2	Russian	Woman	0	without	OtherGender	7
117	3	German	Woman	1	without	OtherGender	1
118	1	German	Woman	3	with	SameGender	6
119	1	German	Man	0	with	SameGender	0
120	3	German	Woman	1	with	SameGender	4
121	1	Mandarin	Woman	0	with	OtherGender	3
122	3	German	Man	0	with	OtherGender	3
123	1	English	Man	0	with	OtherGender	4
124	3	Russian	Man	1	with	SameGender	1
125	2	English	Woman	2	without	SameGender	4
126	2	German	Man	0	with	OtherGender	0
127	2	German	Man	2	without	SameGender	2
128	3	German	Woman	0	with	SameGender	4
129	3	German	Woman	0	with	OtherGender	1
130	1	Mandarin	Man	0	without	OtherGender	3
131	2	Russian	Woman	0	with	SameGender	7
132	1	Mandarin	Woman	0	with	OtherGender	1
133	1	English	Man	2	without	SameGender	4
134	1	Russian	Man	1	with	OtherGender	1
135	3	German	Woman	1	without	OtherGender	1
136	3	Russian	Man	2	with	SameGender	4
137	2	English	Woman	1	with	OtherGender	4
138	3	English	Woman	0	with	OtherGender	1
139	3	German	Man	0	with	SameGender	0
140	1	Mandarin	Woman	1	without	SameGender	1
141	2	Mandarin	Man	0	with	OtherGender	3
142	1	German	Man	0	with	OtherGender	0
143	3	German	Man	1	with	OtherGender	5
144	3	Russian	Woman	2	without	SameGender	4
145	2	Mandarin	Man	1	with	SameGender	1
146	2	German	Woman	3	without	OtherGender	5
147	3	German	Man	3	with	SameGender	3
148	1	Mandarin	Woman	1	without	SameGender	1
149	3	Mandarin	Woman	2	without	SameGender	3
150	1	Russian	Man	1	without	SameGender	1
151	1	German	Woman	1	without	OtherGender	3
152	3	German	Man	0	without	OtherGender	3
153	3	English	Woman	1	with	SameGender	5
154	2	German	Woman	1	without	SameGender	2
155	2	Mandarin	Woman	1	with	SameGender	1
156	3	German	Woman	0	with	SameGender	1
157	2	German	Woman	0	with	SameGender	2
158	1	German	Man	0	without	OtherGender	4
159	3	Mandarin	Woman	0	with	SameGender	0
160	1	German	Man	0	with	SameGender	1
161	3	English	Man	4	with	SameGender	4
162	1	Mandarin	Man	1	without	SameGender	1
163	1	Mandarin	Woman	1	with	SameGender	3
164	2	German	Man	0	without	OtherGender	1
165	3	German	Woman	1	with	SameGender	3
166	1	Mandarin	Woman	0	without	OtherGender	3
167	3	Mandarin	Man	0	without	OtherGender	2
168	2	Mandarin	Woman	0	with	SameGender	0
169	2	English	Man	0	with	OtherGender	2
170	1	German	Man	0	without	OtherGender	4
171	1	English	Man	2	with	SameGender	4
172	2	Mandarin	Woman	0	with	OtherGender	2
173	2	English	Man	2	with	OtherGender	4
174	1	Russian	Man	0	without	OtherGender	1
175	3	German	Woman	0	with	SameGender	1
176	1	German	Man	2	with	SameGender	3
177	1	Mandarin	Man	0	without	SameGender	3
178	1	German	Woman	0	without	OtherGender	2
179	1	German	Man	1	with	OtherGender	3
180	2	English	Woman	0	without	OtherGender	4
181	2	Mandarin	Woman	1	with	SameGender	1
182	1	Russian	Man	3	with	SameGender	7
183	3	German	Man	0	without	OtherGender	5
184	1	German	Woman	1	without	SameGender	2
185	1	German	Woman	4	without	SameGender	13
186	1	German	Woman	0	with	SameGender	1
187	1	Mandarin	Woman	0	with	OtherGender	3
188	1	German	Man	0	without	SameGender	4
189	2	Mandarin	Woman	0	with	OtherGender	0
190	3	Mandarin	Man	0	without	OtherGender	2
191	3	German	Man	5	without	SameGender	5
192	1	Mandarin	Woman	0	with	OtherGender	3
193	3	English	Woman	2	with	OtherGender	2
194	1	Russian	Woman	0	without	OtherGender	9
195	2	Mandarin	Man	1	with	SameGender	3
196	2	Mandarin	Man	1	with	OtherGender	1
197	2	Mandarin	Man	2	with	SameGender	2
198	2	German	Woman	0	with	OtherGender	2
199	1	German	Woman	0	without	SameGender	1
200	1	Russian	Man	3	with	SameGender	7
201	2	German	Woman	13	without	OtherGender	13
202	1	Russian	Woman	0	without	OtherGender	9
203	2	English	Woman	0	without	OtherGender	4
204	3	Mandarin	Man	1	with	SameGender	2
205	2	Mandarin	Woman	1	without	OtherGender	4
206	2	Mandarin	Woman	2	without	SameGender	2
207	3	Mandarin	Woman	1	with	SameGender	2
208	3	Mandarin	Man	1	with	OtherGender	2
209	3	Russian	Man	0	without	SameGender	1
210	2	German	Woman	2	without	OtherGender	2
211	3	German	Woman	0	with	SameGender	4
212	3	German	Man	0	without	OtherGender	2
213	1	German	Woman	1	without	OtherGender	3
214	1	Mandarin	Man	0	with	OtherGender	4
215	3	German	Man	1	with	SameGender	3
216	3	German	Man	0	without	OtherGender	5
217	3	German	Man	0	without	OtherGender	1
218	1	Russian	Man	0	without	SameGender	7
219	2	German	Man	0	without	OtherGender	1
220	2	German	Man	0	with	OtherGender	1
221	1	Russian	Man	0	without	SameGender	1
222	3	Russian	Man	0	with	OtherGender	1
223	3	German	Woman	0	without	SameGender	1
224	2	Mandarin	Woman	1	without	OtherGender	4
225	1	English	Man	2	without	SameGender	8
226	2	Mandarin	Woman	0	with	SameGender	0
227	1	German	Woman	0	with	OtherGender	1
228	3	Mandarin	Woman	0	with	SameGender	0
229	3	Mandarin	Woman	0	with	SameGender	0
230	1	German	Man	0	with	SameGender	0
231	1	German	Woman	0	with	OtherGender	6
232	3	German	Woman	0	with	OtherGender	4
233	3	English	Man	0	without	OtherGender	8
234	2	German	Man	0	without	OtherGender	1
235	1	Mandarin	Woman	0	with	SameGender	1
236	3	German	Man	0	with	OtherGender	5
237	1	German	Woman	5	without	OtherGender	13
238	2	Mandarin	Woman	0	with	SameGender	0
239	2	German	Woman	0	with	OtherGender	5
240	2	Russian	Man	0	with	OtherGender	0
241	1	German	Woman	2	without	SameGender	6
242	1	Russian	Woman	0	with	OtherGender	3
243	1	German	Woman	0	without	SameGender	1
244	1	German	Woman	0	with	OtherGender	6
245	1	English	Man	0	without	OtherGender	8
246	3	German	Man	0	with	OtherGender	3
247	1	Mandarin	Woman	0	with	OtherGender	3
248	3	Mandarin	Man	0	with	OtherGender	1
249	3	German	Woman	0	with	SameGender	4
250	3	Mandarin	Man	1	without	SameGender	1
251	1	Russian	Man	0	without	SameGender	1
252	2	English	Man	2	without	SameGender	4
253	2	German	Woman	0	without	SameGender	2
254	2	English	Man	1	with	OtherGender	5
255	3	German	Woman	0	with	OtherGender	1
256	3	Russian	Woman	0	without	SameGender	1
257	3	Mandarin	Woman	1	without	OtherGender	3
258	2	English	Man	0	with	SameGender	4
259	1	German	Woman	5	without	OtherGender	13
260	2	German	Man	0	without	OtherGender	2
261	1	Russian	Woman	1	without	SameGender	3
262	3	Russian	Man	0	with	OtherGender	1
263	3	Russian	Man	0	with	OtherGender	2
264	3	Mandarin	Man	1	without	SameGender	1
265	2	Mandarin	Man	0	without	OtherGender	2
266	1	Russian	Woman	0	without	OtherGender	9
267	1	German	Woman	0	without	OtherGender	2
268	2	Russian	Woman	0	with	SameGender	7
269	1	German	Man	0	with	SameGender	0
270	2	German	Man	0	with	SameGender	0
271	1	Mandarin	Man	0	with	SameGender	1
272	1	Mandarin	Man	0	without	OtherGender	1
273	3	German	Man	2	without	SameGender	5
274	1	German	Man	0	with	SameGender	0
275	2	Russian	Man	1	without	OtherGender	5
276	3	German	Man	0	without	OtherGender	5
277	3	German	Man	2	with	SameGender	5
278	2	English	Woman	2	with	SameGender	4
279	3	German	Woman	0	with	SameGender	1
280	2	English	Man	0	without	OtherGender	5
281	3	Mandarin	Woman	0	without	OtherGender	0
282	2	German	Man	0	with	OtherGender	1
283	2	Mandarin	Woman	1	without	OtherGender	4
284	3	German	Man	0	with	OtherGender	5
285	2	German	Man	2	without	SameGender	2
286	1	English	Man	0	without	OtherGender	4
287	1	German	Man	1	with	SameGender	3
288	1	Mandarin	Man	0	without	OtherGender	1
289	2	German	Man	0	with	SameGender	2
290	1	German	Woman	1	with	SameGender	3
291	1	German	Woman	1	with	OtherGender	2
292	2	German	Man	0	with	OtherGender	2
293	1	German	Woman	0	without	OtherGender	2
294	1	English	Woman	5	with	SameGender	7
295	2	Mandarin	Woman	0	with	OtherGender	4
296	1	Russian	Man	0	without	OtherGender	1
297	3	German	Man	0	without	OtherGender	2
298	3	German	Woman	0	with	OtherGender	1
299	3	Russian	Man	0	without	SameGender	0
300	1	German	Woman	4	with	SameGender	13
301	1	Russian	Man	0	without	OtherGender	1
302	2	Russian	Man	0	with	OtherGender	5
303	1	German	Woman	0	without	SameGender	2
304	1	English	Woman	2	with	SameGender	3
305	2	English	Woman	0	without	OtherGender	3
306	1	German	Woman	1	without	OtherGender	3
307	3	German	Woman	0	without	SameGender	1
308	2	Mandarin	Man	0	with	OtherGender	1
309	3	Mandarin	Man	0	without	OtherGender	1
310	3	Russian	Woman	1	with	SameGender	4
311	2	German	Woman	0	without	SameGender	0
312	2	German	Woman	1	without	SameGender	2
313	3	German	Man	2	with	SameGender	5
314	1	Mandarin	Woman	0	with	SameGender	7
315	1	Mandarin	Man	0	without	OtherGender	2
316	2	Russian	Woman	0	with	OtherGender	0
317	1	Mandarin	Man	2	with	OtherGender	3
318	3	German	Woman	1	with	SameGender	3
319	2	English	Woman	2	with	SameGender	4
320	3	Mandarin	Man	1	with	SameGender	1
321	2	English	Man	1	without	SameGender	5
322	2	Russian	Man	4	without	SameGender	5
323	3	German	Woman	2	without	OtherGender	4
324	1	English	Woman	0	with	OtherGender	3
325	1	German	Woman	0	without	OtherGender	2
326	2	Russian	Woman	0	without	OtherGender	0
327	2	Russian	Man	1	without	OtherGender	5
328	2	Russian	Woman	0	without	OtherGender	7
329	3	German	Man	0	with	OtherGender	2
330	3	Mandarin	Woman	1	without	SameGender	1
331	1	Russian	Man	0	without	OtherGender	1
332	1	English	Man	0	without	SameGender	1
333	1	Russian	Woman	5	without	SameGender	5
334	1	German	Man	0	without	SameGender	0
335	3	Russian	Woman	0	without	OtherGender	1
336	1	Mandarin	Woman	1	without	OtherGender	3
337	3	Russian	Man	2	with	SameGender	4
338	2	Mandarin	Man	1	with	SameGender	1
339	3	English	Woman	0	with	OtherGender	1
340	3	Mandarin	Woman	0	without	OtherGender	0
341	1	English	Woman	0	without	OtherGender	6
342	2	English	Woman	0	with	OtherGender	4
343	3	Russian	Man	1	with	SameGender	1
344	3	English	Man	0	without	SameGender	2
345	1	Mandarin	Woman	3	without	SameGender	3
346	3	Mandarin	Man	0	without	OtherGender	1
347	2	Mandarin	Woman	0	without	OtherGender	0
348	2	Mandarin	Woman	0	without	OtherGender	0
349	3	German	Woman	3	without	OtherGender	5
350	2	English	Woman	0	without	OtherGender	3
351	2	German	Man	0	without	OtherGender	0
352	1	Mandarin	Woman	1	without	SameGender	1
353	2	German	Man	1	without	SameGender	1
354	2	Mandarin	Woman	0	without	OtherGender	1
355	1	Mandarin	Man	0	without	OtherGender	3
356	1	German	Man	0	without	OtherGender	3
357	2	Mandarin	Man	0	without	OtherGender	1
358	3	German	Woman	1	without	OtherGender	3
359	2	German	Woman	2	without	OtherGender	2
360	3	German	Man	3	with	SameGender	3
361	3	German	Woman	1	with	SameGender	4
362	3	Mandarin	Man	0	with	OtherGender	2
363	1	German	Man	0	without	OtherGender	0
364	1	German	Woman	1	with	OtherGender	2
365	3	German	Woman	0	with	OtherGender	5
366	1	German	Man	0	without	OtherGender	0
367	3	German	Man	3	with	SameGender	3
368	2	English	Woman	2	with	SameGender	12
369	3	German	Man	1	without	SameGender	2
370	1	German	Man	0	without	OtherGender	0
371	2	Mandarin	Man	0	without	OtherGender	3
372	3	Russian	Man	0	without	OtherGender	1
373	1	German	Woman	4	with	SameGender	13
374	2	Mandarin	Woman	1	with	SameGender	1
375	1	German	Woman	1	with	OtherGender	2
376	3	Mandarin	Man	1	with	SameGender	1
377	1	German	Woman	2	without	OtherGender	6
378	1	German	Woman	2	with	SameGender	6
379	1	German	Woman	2	without	OtherGender	2
380	2	German	Man	0	without	OtherGender	0
381	3	English	Woman	1	without	SameGender	5
382	2	Mandarin	Woman	0	with	OtherGender	4
383	3	German	Man	1	without	SameGender	2
384	2	Mandarin	Woman	0	with	SameGender	0
385	1	Russian	Man	0	with	SameGender	1
386	1	German	Woman	0	with	OtherGender	3
387	1	German	Woman	0	with	OtherGender	3
388	2	German	Woman	0	without	OtherGender	4
389	1	Russian	Woman	3	without	SameGender	9
390	3	Mandarin	Man	0	without	OtherGender	1
391	3	German	Man	5	without	SameGender	5
392	1	Russian	Man	1	without	SameGender	1
393	3	English	Man	2	with	OtherGender	5
394	3	German	Woman	0	without	SameGender	1
395	1	English	Woman	1	without	SameGender	7
396	1	German	Woman	1	without	OtherGender	3
397	3	German	Woman	0	with	OtherGender	1
398	2	German	Woman	2	without	OtherGender	8
399	1	Mandarin	Woman	0	with	SameGender	3
400	2	German	Man	1	without	OtherGender	7
401	1	German	Man	0	without	OtherGender	0
402	1	Mandarin	Man	0	without	OtherGender	1
403	3	German	Man	0	without	OtherGender	2
404	2	German	Man	1	with	SameGender	1
405	1	Mandarin	Woman	0	with	OtherGender	3
406	2	German	Man	0	with	OtherGender	1
407	3	Mandarin	Man	0	with	OtherGender	1
408	1	German	Woman	0	with	OtherGender	3
409	2	Mandarin	Man	1	with	SameGender	1
410	1	German	Man	1	without	SameGender	1
411	3	German	Man	2	without	SameGender	5
412	3	Mandarin	Man	0	without	OtherGender	1
413	1	German	Man	0	with	OtherGender	0
414	3	Russian	Woman	5	with	SameGender	10
415	1	English	Man	4	with	SameGender	8
416	1	German	Woman	3	with	SameGender	6
417	3	English	Man	0	without	OtherGender	8
418	1	English	Man	0	without	SameGender	1
419	2	Mandarin	Woman	0	without	SameGender	0
420	1	Mandarin	Woman	1	without	OtherGender	3
421	3	English	Man	0	with	OtherGender	2
422	2	Mandarin	Woman	2	without	SameGender	2
423	1	Mandarin	Woman	1	with	SameGender	3
424	3	German	Woman	0	with	SameGender	3
425	1	German	Man	1	with	OtherGender	4
426	3	English	Man	2	with	SameGender	2
427	2	German	Man	1	without	OtherGender	7
428	3	German	Man	0	with	OtherGender	3
429	2	Russian	Man	0	without	OtherGender	1
430	1	German	Woman	0	with	SameGender	1
431	1	German	Woman	0	without	OtherGender	6
432	1	Russian	Woman	0	with	OtherGender	2
433	3	Mandarin	Woman	0	without	SameGender	2
434	3	German	Man	0	without	OtherGender	2
435	1	German	Woman	1	with	SameGender	3
436	3	Mandarin	Man	0	with	OtherGender	1
437	2	Russian	Woman	2	with	OtherGender	6
438	2	German	Man	0	with	OtherGender	1
439	3	German	Man	1	with	SameGender	2
440	2	German	Woman	0	with	OtherGender	2
441	3	Russian	Man	0	with	OtherGender	0
442	1	Russian	Man	0	without	OtherGender	7
443	2	English	Man	2	with	OtherGender	4
444	2	German	Man	0	with	OtherGender	1
445	2	German	Man	0	with	SameGender	1
446	2	English	Woman	2	with	SameGender	12
447	2	German	Woman	0	with	SameGender	2
448	2	German	Man	2	without	SameGender	3
449	1	German	Woman	0	with	OtherGender	4
450	1	German	Man	0	without	SameGender	4
451	1	English	Man	2	without	SameGender	4
452	1	English	Woman	2	without	OtherGender	7
453	3	Mandarin	Woman	0	with	OtherGender	0
454	2	German	Woman	2	without	SameGender	4
455	1	German	Woman	4	without	SameGender	13
456	2	Russian	Woman	0	with	OtherGender	0
457	3	German	Woman	0	with	SameGender	4
458	3	German	Woman	0	without	SameGender	3
459	1	German	Woman	1	without	OtherGender	1
460	2	Russian	Man	0	with	OtherGender	1
461	3	German	Man	2	without	SameGender	3
462	1	German	Woman	1	without	SameGender	3
463	3	German	Man	0	without	SameGender	0
464	2	Russian	Man	0	with	SameGender	0
465	1	Russian	Woman	0	with	OtherGender	5
466	1	English	Man	2	without	SameGender	5
467	1	Russian	Woman	0	with	OtherGender	3
468	2	Mandarin	Man	0	without	SameGender	2
469	1	Mandarin	Woman	0	with	SameGender	3
470	3	Mandarin	Woman	0	with	OtherGender	1
471	3	Mandarin	Woman	0	with	SameGender	0
472	1	English	Man	2	without	SameGender	8
473	1	German	Man	1	without	SameGender	4
474	1	German	Woman	1	without	SameGender	2
475	1	German	Man	2	with	SameGender	4
476	2	Russian	Man	0	with	OtherGender	1
477	3	Mandarin	Woman	0	with	SameGender	0
478	1	Russian	Man	0	without	SameGender	1
479	3	German	Man	1	with	SameGender	2
480	1	Mandarin	Woman	0	with	OtherGender	3
481	3	German	Man	0	without	OtherGender	0
482	3	English	Woman	0	without	OtherGender	2
483	1	Mandarin	Woman	1	without	SameGender	3
484	3	Mandarin	Woman	0	with	OtherGender	0
485	2	Russian	Man	0	with	SameGender	0
486	2	English	Woman	0	without	OtherGender	3
487	3	Mandarin	Man	1	with	SameGender	2
488	2	German	Woman	5	without	OtherGender	5
489	1	German	Woman	0	with	OtherGender	3
490	2	German	Man	0	with	OtherGender	2
491	3	English	Woman	1	without	SameGender	5
492	2	German	Woman	0	with	OtherGender	5
493	1	German	Man	0	with	SameGender	0
494	3	German	Man	1	with	SameGender	2
495	1	English	Man	0	with	OtherGender	1
496	1	Mandarin	Woman	1	without	OtherGender	3
497	2	English	Woman	5	without	OtherGender	12
498	1	German	Woman	1	without	SameGender	3
499	3	English	Man	0	with	SameGender	8
500	1	Mandarin	Woman	0	with	OtherGender	1
