Date	Genre	Text	Prepositions	Region
1593	Philosophy	boethel	115.26	North
1593	Philosophy	boethel	121.21	North
1593	Philosophy	boethel	98.12	North
1695	Philosophy	boethpr	121.99	North
1695	Philosophy	boethpr	132.93	North
1695	Philosophy	boethpr	110.52	North
1664	Science	boylecol	154.79	North
1664	Science	boylecol	150.01	North
1676	Science	boyle	139.43	North
1676	Science	boyle	147.33	North
1627	Education	brinsley	121.58	North
1627	Education	brinsley	134.34	North
1627	Education	brinsley	122.84	North
1713	History	burnetcha	135.61	North
1713	History	burnetcha	141.34	North
1713	History	burnetcha	139.68	North
1680	Biography	burnetroc	142.76	North
1680	Biography	burnetroc	141.31	North
1680	Biography	burnetroc	142.56	North
1677	PublicLetter	capel	130.71	North
1677	PublicLetter	capel	116.2	North
1677	PublicLetter	capel	110.31	North
1506	Travel	chaplain	154.24	North
1657	PublicLetter	charles	137.97	North
1679	PublicLetter	charles	160	North
1679	PublicLetter	charles	176.47	North
1692	PrivateLetter	chatton	105.62	North
1692	PrivateLetter	chatton	114.36	North
1692	PrivateLetter	chatton	99.83	North
1673	PublicLetter	commiss	195.86	North
1623	PublicLetter	conway	138.66	North
1675	PublicLetter	conway	122.3	North
1688	PublicLetter	counc	164.95	North
1612	Travel	coverte	126.73	North
1612	Travel	coverte	135.74	North
1612	Travel	coverte	113.6	North
1537	PublicLetter	cromwell	147.13	North
1530	PublicLetter	cromwell	152.94	North
1530	PublicLetter	cromwell	127.59	North
1513	PublicLetter	dacre	149.6	North
1538	PrivateLetter	delapole	115.38	North
1688	PublicLetter	dell	161.79	North
1597	Fiction	deloney	103.78	North
1597	Fiction	deloney	106.98	North
1597	Fiction	deloney	128.62	North
1647	PrivateLetter	dering	125	North
1509	PrivateLetter	dplumpt	122.14	North
1690	PublicLetter	drummond	116.56	North
1547	PrivateLetter	ecumberl	117.65	North
1599	PublicLetter	edmondes	118.99	North
1599	PublicLetter	edmondes	134.73	North
1599	PublicLetter	edmondes	125	North
1552	Diary	edward	148.03	North
1552	Diary	edward	142.08	North
1552	Diary	edward	147.8	North
1666	PrivateLetter	ehatton	132.96	North
1690	PrivateLetter	ehatton	93.97	North
1566	PublicLetter	eliz	144.69	North
1575	PublicLetter	eliz	143.26	North
1588	PublicLetter	eliz	136.12	North
1600	PublicLetter	eliz	144.5	North
1600	PublicLetter	eliz	120	North
1531	Education	elyot	139.06	North
1531	Education	elyot	136.59	North
1531	Education	elyot	134.98	North
1658	PrivateLetter	eoxinden	113.37	North
1667	PrivateLetter	eoxinden	114.62	North
1667	PrivateLetter	eoxinden	113.46	North
1680	PrivateLetter	eoxinden	119.64	North
1504	PrivateLetter	epoole	133.55	North
1600	TrialProceeding	essex	133.67	North
1600	TrialProceeding	essex	135.87	North
1600	TrialProceeding	essexstate	126.95	North
1600	TrialProceeding	essexstate	125.02	North
1689	Diary	evelyn	151.72	North
1689	Diary	evelyn	146.6	North
1689	Diary	evelyn	147.91	North
1629	PrivateLetter	everard	88.93	North
1516	History	fabyan	159.18	North
1516	History	fabyan	175.74	North
1516	History	fabyan	174.17	North
1677	PrivateLetter	fhatton	63.97	North
1698	Travel	fiennes	128.92	North
1698	Travel	fiennes	132.09	North
1698	Travel	fiennes	135.12	North
1521	Sermon	fisher	125.49	North
1521	Sermon	fisher	115.7	North
1521	Sermon	fisher	130.87	North
1534	Handbook	fitzh	99.16	North
1534	Handbook	fitzh	106.26	North
1534	Handbook	fitzh	104.45	North
1602	Diary	forman	151.36	North
1602	Diary	forman	142.73	North
1602	Diary	forman	129.7	North
1538	PublicLetter	friar	150.88	North
1681	Travel	fryer	150.18	North
1681	Travel	fryer	151.44	North
1681	Travel	fryer	146.57	North
1503	PrivateLetter	gascoigne	129.77	North
1515	PrivateLetter	gascoigne	153.85	North
1589	PrivateLetter	gawdy	134.74	North
1589	PrivateLetter	gawdy	122.45	North
1589	PrivateLetter	gawdy	118.64	North
1538	PrivateLetter	gcromw	154.31	North
1538	PrivateLetter	gcromw	134.36	North
1538	PrivateLetter	gcromw	103.73	North
1593	Handbook	gifford	95.76	North
1593	Handbook	gifford	110.4	North
1593	Handbook	gifford	108.64	North
1505	PrivateLetter	gpoole	121.17	North
1515	PrivateLetter	gpoole	137.93	North
1523	PrivateLetter	grey	147.73	North
1633	PrivateLetter	harley	99.18	South
1633	PrivateLetter	harley	103.07	South
1638	PrivateLetter	harleyedw	107.95	South
1638	PrivateLetter	harleyedw	113.09	South
1568	Fiction	harman	114.77	South
1568	Fiction	harman	115.28	South
1568	Fiction	harman	114.85	South
1580	PublicLetter	hatcher	126.28	South
1612	History	hayward	159.63	South
1612	History	hayward	150.23	South
1612	History	hayward	159.39	South
1515	PublicLetter	henry	127.45	South
1528	PublicLetter	henry	169.38	South
1528	PublicLetter	henry	165.46	South
1532	PublicLetter	henry	174.6	South
1601	Diary	hoby	143.64	South
1601	Diary	hoby	136.52	South
1601	Diary	hoby	147.88	South
1665	Science	hooke	140.81	South
1665	Science	hooke	138.97	South
1665	Science	hooke	145.17	South
1614	Sermon	hooker	145.38	South
1614	Sermon	hooker	134.27	South
1614	Sermon	hooker	145.37	South
1614	Sermon	hooker	137.55	South
1614	Sermon	hooker	128.52	South
1614	Sermon	hooker	140.35	South
1660	Education	hoole	140.25	South
1660	Education	hoole	138.41	South
1660	Education	hoole	131.84	South
1648	PrivateLetter	hoxinden	133.23	South
1652	PrivateLetter	hoxinden	129.45	South
1663	PrivateLetter	hoxinden	126.53	South
1520	PublicLetter	interview	146.15	South
1509	PrivateLetter	iplumpt	107.34	South
1655	PrivateLetter	jackson	128.57	South
1630	PrivateLetter	jbarring	108.9	South
1630	PrivateLetter	jbarring	134.22	South
1630	PrivateLetter	jbarring	129.75	South
1673	Sermon	jetaylor	128.12	South
1673	Sermon	jetaylor	131.45	South
1662	Education	jetaylormeas	115.08	South
1662	Education	jetaylormeas	115.75	South
1688	PrivateLetter	jopinney	142.14	South
1688	PrivateLetter	jopinney	122.37	South
1688	PrivateLetter	jopinney	133.7	South
1630	Travel	jotaylor	133.16	South
1630	Travel	jotaylor	131.19	South
1630	Travel	jotaylor	140.82	South
1636	PrivateLetter	joxinden	124.02	South
1636	PrivateLetter	joxinden	115.36	South
1686	PrivateLetter	jpinney	91.94	South
1686	PrivateLetter	jpinney	102.15	South
1630	PrivateLetter	jubarring	120.31	South
1630	PrivateLetter	jubarring	104.17	South
1590	TrialProceeding	judall	115.96	South
1627	PrivateLetter	knyvett	112.37	South
1627	PrivateLetter	knyvett	108.48	South
1639	PrivateLetter	knyvett	105.8	South
1637	PrivateLetter	koxinden	101.19	South
1637	PrivateLetter	koxinden	98.04	South
1637	PrivateLetter	koxinden	102.36	South
1625	PrivateLetter	kpaston	114.08	South
1625	PrivateLetter	kpaston	112.93	South
1625	PrivateLetter	kpaston	113.57	South
1536	PrivateLetter	kscrope	132.81	South
1585	PrivateLetter	kscrope	112	South
1696	Handbook	langf	140.48	South
1696	Handbook	langf	142.61	South
1696	Handbook	langf	137.22	South
1549	Sermon	latimer	115.23	South
1549	Sermon	latimer	116.74	South
1549	Sermon	latimer	113.45	South
1543	Travel	leland	171.11	South
1543	Travel	leland	177.7	South
1543	Travel	leland	173.55	South
1685	TrialProceeding	lisle	87.79	South
1685	TrialProceeding	lisle	88.78	South
1685	TrialProceeding	lisle	85.7	South
1685	Education	locke	124.78	South
1685	Education	locke	124.42	South
1685	Education	locke	132.76	South
1539	PublicLetter	lords	101.85	South
1559	Diary	machyn	149.83	South
1559	Diary	machyn	148.4	South
1559	Diary	machyn	147.85	South
1582	Diary	madox	119.83	South
1582	Diary	madox	136.83	South
1582	Diary	madox	122.38	South
1535	PrivateLetter	manners	112.28	South
1537	PublicLetter	marches	152.75	South
1615	Handbook	markham	130.78	South
1615	Handbook	markham	129.01	South
1615	Handbook	markham	128.86	South
1630	PrivateLetter	masham	109.03	South
1630	PrivateLetter	masham	118.86	South
1630	PrivateLetter	masham	108.5	South
1675	PublicLetter	memo	146.85	South
1675	PublicLetter	memo	162.22	South
1526	Fiction	merrytal	113.66	South
1526	Fiction	merrytal	106.91	South
1526	Fiction	merrytal	109.44	South
1678	PrivateLetter	mhatton	127.7	South
1536	PrivateLetter	mhoward	115.62	South
1670	History	milton	155.1	South
1670	History	milton	162.07	South
1670	History	milton	165.42	South
1681	PrivateLetter	montague	111.69	South
1529	PrivateLetter	morelet	123.26	South
1535	PrivateLetter	morelet	123.39	South
1535	PrivateLetter	morelet	131.34	South
1513	History	moreric	134.23	South
1513	History	moreric	132.12	South
1513	History	moreric	134.41	South
1524	PublicLetter	morewol	151.56	South
1524	PublicLetter	morewol	137.37	South
1524	PublicLetter	morewol	123.91	South
1642	PrivateLetter	moxinden	99.4	South
1642	PrivateLetter	moxinden	108.87	South
1534	PrivateLetter	mroper	141.84	South
1534	PrivateLetter	mroper	117.84	South
1534	PrivateLetter	mroper	134.8	South
1515	PublicLetter	mtudor	135.72	South
1515	PublicLetter	mtudor	139.83	South
1528	PublicLetter	mtudor	101.52	South
1505	PrivateLetter	nevill	98.04	South
1631	PrivateLetter	nferrar	112.9	South
1631	PrivateLetter	nferrar	121.43	South
1631	PrivateLetter	nferrar	118.75	South
1706	PrivateLetter	nhadd	143.97	South
1706	PrivateLetter	nhadd	153.55	South
1719	PrivateLetter	nhadd	122.84	South
1685	TrialProceeding	oates	95.82	South
1685	TrialProceeding	oates	112.45	South
1685	TrialProceeding	oates	102	South
1676	PublicLetter	osborne	147.21	South
1676	PublicLetter	osborne	142.25	South
1687	Fiction	penny	90.45	South
1687	Fiction	penny	116.1	South
1687	Fiction	penny	112.12	South
1667	Diary	pepys	128.7	South
1667	Diary	pepys	126.75	South
1667	Diary	pepys	128.2	South
1603	Biography	perrott	135.64	South
1603	Biography	perrott	139.44	South
1603	Biography	perrott	146.14	South
1625	PrivateLetter	pettit	124.71	South
1625	PrivateLetter	pettit	118.28	South
1628	PrivateLetter	pettit	155.32	South
1632	PrivateLetter	peyton	105.88	South
1685	PrivateLetter	phenry	124.36	South
1685	PrivateLetter	phenry	133.41	South
1685	PrivateLetter	phenry	114.86	South
1677	PublicLetter	proposals	151.11	South
1626	PrivateLetter	proud	74.71	South
1636	PrivateLetter	proud	117.02	South
1600	TrialProceeding	raleigh	112.03	South
1600	TrialProceeding	raleigh	122.62	South
1598	PublicLetter	rcecil	140.28	South
1598	PublicLetter	rcecil	160.43	South
1598	PublicLetter	rcecil	124.89	South
1551	Science	record	130.33	South
1551	Science	record	132.82	South
1551	Science	record	126.99	South
1633	PrivateLetter	rferrar	95.96	South
1692	PrivateLetter	rhaddjr	115.94	South
1658	PrivateLetter	rhaddsr	153.3	South
1673	PrivateLetter	rhaddsr	122.42	South
1673	PrivateLetter	rhaddsr	125.89	South
1688	PrivateLetter	rhaddsr	116.5	South
1703	PrivateLetter	rhaddsr	137.04	South
1712	PrivateLetter	rhaddsr	128.34	South
1624	PublicLetter	rich	125.3	South
1555	Biography	roper	142.94	South
1555	Biography	roper	142.93	South
1555	Biography	roper	137.27	South
1607	PrivateLetter	roxinden	134.38	South
1627	PrivateLetter	roxinden	120.27	South
1627	PrivateLetter	roxinden	106.67	South
1631	PrivateLetter	roxinden	141.51	South
1631	PrivateLetter	roxinden	114.68	South
1536	PrivateLetter	rplumpt	128.94	South
1536	PrivateLetter	rplumpt	121.21	South
1503	PrivateLetter	rplumpt	150.18	South
1503	PrivateLetter	rplumpt	109.76	South
1538	PublicLetter	russell	147.85	South
1546	PrivateLetter	savill	131.38	South
1591	Sermon	smith	118.27	South
1591	Sermon	smith	125.24	South
1591	Sermon	smith	118.44	South
1697	PublicLetter	somers	148.1	South
1686	PrivateLetter	southard	144.28	South
1688	PublicLetter	spencer	132.59	South
1708	PublicLetter	spencer	132.58	South
1708	PublicLetter	spencer	140.44	South
1512	Law	stat	170.21	South
1515	Law	stat	176.6	South
1536	Law	stat	149.2	South
1545	Law	stat	176.03	South
1545	Law	stat	156.88	South
1555	Law	stat	154.64	South
1563	Law	stat	154.27	South
1572	Law	stat	150	South
1572	Law	stat	140.2	South
1589	Law	stat	130.75	South
1589	Law	stat	149.45	South
1593	Law	stat	158.93	South
1610	Law	stat	150.06	South
1610	Law	stat	159.5	South
1627	Law	stat	149.68	South
1640	Law	stat	161.17	South
1666	Law	stat	159.85	South
1671	Law	stat	160.66	South
1699	Law	stat	155.92	South
1699	Law	stat	159.49	South
1580	History	stow	162.34	South
1580	History	stow	147.42	South
1580	History	stow	163.91	South
1665	PrivateLetter	strype	127.08	South
1665	PrivateLetter	strype	107.91	South
1549	PublicLetter	surety	110.39	South
1593	PublicLetter	talbot	134.83	South
1630	PrivateLetter	tbarring	109.09	South
1630	PrivateLetter	tbarring	105.54	South
1630	PrivateLetter	tbarring	135.23	South
1520	PublicLetter	thoward	150.62	South
1520	PublicLetter	thoward	144.3	South
1571	TrialProceeding	thoward	140.42	South
1571	TrialProceeding	thoward	134.57	South
1554	TrialProceeding	throckm	121.23	South
1671	Sermon	tillots	141.61	South
1671	Sermon	tillots	129.71	South
1679	Sermon	tillots	132.86	South
1679	Sermon	tillots	131.75	South
1680	Sermon	tillots	145.02	South
1517	Travel	torkingt	141.51	South
1517	Travel	torkingt	142.78	South
1517	Travel	torkingt	141.09	South
1594	PublicLetter	trincoll	142.16	South
1521	PublicLetter	tunstall	144.64	South
1521	PublicLetter	tunstall	143.49	South
1568	Handbook	turner	122.26	South
1568	Handbook	turner	119.82	South
1568	Handbook	turner	138.61	South
1562	Handbook	turnerherb	136.55	South
1534	Bible	tyndnew	106.1	South
1534	Bible	tyndnew	117.48	South
1534	Bible	tyndnew	136.31	South
1530	Bible	tyndold	135.89	South
1530	Bible	tyndold	117.76	South
1530	Bible	tyndold	124.22	South
1676	Handbook	walton	106.73	South
1676	Handbook	walton	118.35	South
1676	Handbook	walton	115	South
1565	PublicLetter	wcecil	111.75	South
1588	PublicLetter	wcecil	163.18	South
1588	PublicLetter	wcecil	119.47	South
1529	PublicLetter	wolsey	141.93	South
1529	PublicLetter	wolsey	117.5	South
1529	PublicLetter	wolsey	139.45	South
1625	PrivateLetter	wpaston	101.62	South
1503	PrivateLetter	wplumpt	73.17	South
1516	PrivateLetter	wplumpt	160	South
1516	PrivateLetter	wplumpt	139.94	South
1649	PrivateLetter	zouch	126.54	South
1450	Religion	cmaelr	133.62	South
1230	Religion	cmancriw	110.22	South
1230	Religion	cmancriw	109.5	South
1340	Religion	cmayenbi	120.36	South
1380	Philosophy	cmboeth	111.28	South
1400	History	cmbrut	121.27	South
1464	History	cmcapchr	138.38	South
1452	Sermon	cmcapser	160.65	South
1400	Religion	cmcloud	145.91	South
1390	Religion	cmctpars	139.17	South
1350	Bible	cmearlps	129.58	South
1390	Religion	cmedvern	138.13	South
1495	Sermon	cmfitzja	166.49	South
1440	Sermon	cmgaytry	117.6	South
1475	History	cmgregor	141.67	South
1200	Religion	cmhali	131.37	South
1396	Religion	cmhilton	148.5	South
1497	Sermon	cminnoce	130.98	South
1400	Religion	cmjulnor	125.7	South
1450	Religion	cmkempe	129.16	South
1400	Travel	cmmandev	142.08	South
1415	Sermon	cmmirk	129.3	South
1388	Bible	cmntest	113.08	South
1382	Bible	cmotest	148.78	South
1150	History	cmpeterb	134.08	South
1387	History	cmpolych	137.2	South
1388	Religion	cmpurvey	153.39	South
1481	Fiction	cmreynar	93.22	South
1500	Handbook	cmreynes	128.57	South
1348	Religion	cmrollep	133.24	South
1349	Religion	cmrolltr	144.86	South
1425	Sermon	cmroyal	126.95	South
1200	Religion	cmvices	105.18	South
1400	Religion	cmvices	113.02	South
1400	Sermon	cmwycser	130.62	South
