id	file.speaker.id	text.id	spk.ref	zone	date	sex	age	word.count
26	<S1A-005$C>	S1A-005	C	northern ireland	2002-2005	female	26-33	277
27	<S1A-006$?>	S1A-006	?	NA	NA	NA	NA	6
28	<S1A-006$A>	S1A-006	A	northern ireland	2002-2005	female	26-33	1051
29	<S1A-006$B>	S1A-006	B	mixed between ni and roi	2002-2005	female	34-41	769
30	<S1A-006$C>	S1A-006	C	northern ireland	2002-2005	female	34-41	279
31	<S1A-006$D>	S1A-006	D	northern ireland	2002-2005	female	26-33	194
32	<S1A-006$E>	S1A-006	E	northern ireland	2002-2005	female	26-33	135
33	<S1A-007$A>	S1A-007	A	mixed between ni and roi	2002-2005	female	34-41	658
34	<S1A-007$B>	S1A-007	B	northern ireland	2002-2005	female	34-41	941
35	<S1A-007$C>	S1A-007	C	northern ireland	2002-2005	female	34-41	142
36	<S1A-007$D>	S1A-007	D	northern ireland	2002-2005	female	26-33	195
37	<S1A-007$E>	S1A-007	E	northern ireland	2002-2005	female	26-33	235
38	<S1A-007$F>	S1A-007	F	northern ireland	2002-2005	female	26-33	168
39	<S1A-008$?>	S1A-008	?	NA	NA	NA	NA	5
40	<S1A-008$A>	S1A-008	A	northern ireland	2002-2005	female	50+	308
41	<S1A-008$B>	S1A-008	B	northern ireland	2002-2005	female	50+	456
42	<S1A-008$C>	S1A-008	C	northern ireland	2002-2005	female	50+	753
43	<S1A-008$D>	S1A-008	D	northern ireland	2002-2005	female	50+	410
44	<S1A-009$A>	S1A-009	A	northern ireland	2002-2005	female	50+	964
45	<S1A-009$B>	S1A-009	B	northern ireland	2002-2005	female	50+	620
46	<S1A-009$C>	S1A-009	C	northern ireland	2002-2005	female	26-33	31
47	<S1A-010$?>	S1A-010	?	NA	NA	NA	NA	9
48	<S1A-010$A>	S1A-010	A	mixed between ni and roi	2002-2005	female	26-33	384
49	<S1A-010$B>	S1A-010	B	northern ireland	2002-2005	female	26-33	510
50	<S1A-010$C>	S1A-010	C	mixed between ni and roi	2002-2005	female	26-33	530
51	<S1A-010$D>	S1A-010	D	northern ireland	2002-2005	female	26-33	149
52	<S1A-010$E>	S1A-010	E	northern ireland	2002-2005	female	26-33	35
53	<S1A-010$F>	S1A-010	F	northern ireland	2002-2005	female	NA	2
54	<S1A-011$?>	S1A-011	?	NA	NA	NA	NA	10
55	<S1A-011$A>	S1A-011	A	northern ireland	2002-2005	female	26-33	497
56	<S1A-011$B>	S1A-011	B	republic of ireland	2002-2005	female	NA	1358
57	<S1A-011$C>	S1A-011	C	northern ireland	2002-2005	female	26-33	56
58	<S1A-011$D>	S1A-011	D	mixed between ni and roi	2002-2005	female	26-33	4
59	<S1A-012$A>	S1A-012	A	northern ireland	1990-1994	female	NA	1743
60	<S1A-012$B>	S1A-012	B	northern ireland	1990-1994	female	NA	310
61	<S1A-013$A>	S1A-013	A	northern ireland	1990-1994	female	NA	1111
62	<S1A-013$B>	S1A-013	B	northern ireland	1990-1994	female	NA	537
63	<S1A-013$C>	S1A-013	C	northern ireland	1990-1994	male	NA	235
64	<S1A-014$A>	S1A-014	A	northern ireland	1990-1994	female	19-25	155
65	<S1A-014$B>	S1A-014	B	northern ireland	1990-1994	female	19-25	824
66	<S1A-014$C>	S1A-014	C	northern ireland	1990-1994	male	19-25	602
67	<S1A-014$D>	S1A-014	D	northern ireland	1990-1994	male	19-25	584
68	<S1A-015$A>	S1A-015	A	northern ireland	1990-1994	male	19-25	803
69	<S1A-015$B>	S1A-015	B	northern ireland	1990-1994	female	19-25	460
70	<S1A-015$C>	S1A-015	C	northern ireland	1990-1994	female	19-25	196
71	<S1A-015$D>	S1A-015	D	northern ireland	1990-1994	male	19-25	761
72	<S1A-016$A>	S1A-016	A	mixed between ni and roi	1990-1994	female	19-25	1018
73	<S1A-016$B>	S1A-016	B	northern ireland	1990-1994	male	19-25	470
74	<S1A-016$C>	S1A-016	C	northern ireland	1990-1994	male	NA	570
75	<S1A-017$?>	S1A-017	?	NA	NA	NA	NA	9
76	<S1A-017$A>	S1A-017	A	northern ireland	1990-1994	female	19-25	1042
77	<S1A-017$B>	S1A-017	B	northern ireland	1990-1994	female	19-25	224
78	<S1A-017$C>	S1A-017	C	northern ireland	1990-1994	male	19-25	325
79	<S1A-017$D>	S1A-017	D	northern ireland	1990-1994	male	19-25	312
80	<S1A-018$?>	S1A-018	?	NA	NA	NA	NA	1
81	<S1A-018$A>	S1A-018	A	northern ireland	1990-1994	male	19-25	925
82	<S1A-018$B>	S1A-018	B	northern ireland	1990-1994	male	19-25	816
83	<S1A-018$C>	S1A-018	C	non-corpus speaker	1990-1994	female	19-25	5
84	<S1A-018$D>	S1A-018	D	northern ireland	1990-1994	female	19-25	268
85	<S1A-019$A>	S1A-019	A	northern ireland	2002-2005	female	26-33	749
86	<S1A-019$B>	S1A-019	B	northern ireland	2002-2005	female	26-33	474
87	<S1A-019$C>	S1A-019	C	northern ireland	2002-2005	female	34-41	445
88	<S1A-019$D>	S1A-019	D	northern ireland	2002-2005	female	26-33	310
89	<S1A-020$?>	S1A-020	?	NA	NA	NA	NA	8
90	<S1A-020$A>	S1A-020	A	northern ireland	2002-2005	female	26-33	604
91	<S1A-020$B>	S1A-020	B	northern ireland	2002-2005	female	26-33	292
92	<S1A-020$C>	S1A-020	C	northern ireland	2002-2005	female	34-41	330
93	<S1A-020$D>	S1A-020	D	northern ireland	2002-2005	female	26-33	943
94	<S1A-021$?>	S1A-021	?	NA	NA	NA	NA	1
95	<S1A-021$A>	S1A-021	A	northern ireland	2002-2005	female	26-33	430
96	<S1A-021$B>	S1A-021	B	northern ireland	2002-2005	male	26-33	57
97	<S1A-021$C>	S1A-021	C	northern ireland	2002-2005	female	26-33	16
98	<S1A-021$D>	S1A-021	D	northern ireland	2002-2005	male	50+	449
99	<S1A-021$E>	S1A-021	E	non-corpus speaker	2002-2005	male	42-49	0
100	<S1A-021$F>	S1A-021	F	northern ireland	2002-2005	female	26-33	403
101	<S1A-021$G>	S1A-021	G	northern ireland	2002-2005	female	19-25	34
102	<S1A-021$H>	S1A-021	H	northern ireland	2002-2005	female	26-33	212
103	<S1A-021$I>	S1A-021	I	mixed between ni and roi	2002-2005	female	19-25	10
104	<S1A-022$?>	S1A-022	?	NA	NA	NA	NA	12
105	<S1A-022$A>	S1A-022	A	northern ireland	1990-1994	female	19-25	447
106	<S1A-022$B>	S1A-022	B	mixed between ni and roi	1990-1994	female	19-25	540
107	<S1A-022$C>	S1A-022	C	northern ireland	1990-1994	female	42-49	324
108	<S1A-022$D>	S1A-022	D	northern ireland	1990-1994	male	50+	328
109	<S1A-022$E>	S1A-022	E	non-corpus speaker	1990-1994	male	0-18	9
110	<S1A-023$?>	S1A-023	?	NA	NA	NA	NA	13
111	<S1A-023$A>	S1A-023	A	northern ireland	1990-1994	female	19-25	356
112	<S1A-023$B>	S1A-023	B	mixed between ni and roi	1990-1994	female	19-25	448
113	<S1A-023$C>	S1A-023	C	northern ireland	1990-1994	female	42-49	236
114	<S1A-023$D>	S1A-023	D	northern ireland	1990-1994	male	50+	369
115	<S1A-023$E>	S1A-023	E	non-corpus speaker	1990-1994	male	0-18	0
116	<S1A-023$F>	S1A-023	F	non-corpus speaker	1990-1994	female	0-18	0
117	<S1A-024$?>	S1A-024	?	NA	NA	NA	NA	1
118	<S1A-024$A>	S1A-024	A	northern ireland	1990-1994	female	NA	662
119	<S1A-024$B>	S1A-024	B	northern ireland	1990-1994	female	NA	127
120	<S1A-024$C>	S1A-024	C	northern ireland	1990-1994	male	NA	674
121	<S1A-024$D>	S1A-024	D	northern ireland	1990-1994	male	NA	443
122	<S1A-025$A>	S1A-025	A	northern ireland	1990-1994	female	NA	777
123	<S1A-025$B>	S1A-025	B	northern ireland	1990-1994	female	NA	596
124	<S1A-025$C>	S1A-025	C	northern ireland	1990-1994	male	NA	275
125	<S1A-025$D>	S1A-025	D	northern ireland	1990-1994	male	NA	195
126	<S1A-026$A>	S1A-026	A	northern ireland	1990-1994	female	26-33	1493
127	<S1A-026$B>	S1A-026	B	northern ireland	1990-1994	female	NA	304
128	<S1A-026$C>	S1A-026	C	northern ireland	1990-1994	male	NA	151
129	<S1A-027$?>	S1A-027	?	NA	NA	NA	NA	4
130	<S1A-027$A>	S1A-027	A	northern ireland	1990-1994	male	19-25	605
131	<S1A-027$B>	S1A-027	B	northern ireland	1990-1994	male	19-25	602
132	<S1A-027$C>	S1A-027	C	northern ireland	1990-1994	male	19-25	701
133	<S1A-028$A>	S1A-028	A	northern ireland	1990-1994	female	19-25	886
134	<S1A-028$B>	S1A-028	B	northern ireland	1990-1994	female	19-25	291
135	<S1A-028$C>	S1A-028	C	northern ireland	1990-1994	female	19-25	720
136	<S1A-029$A>	S1A-029	A	northern ireland	1990-1994	male	19-25	302
137	<S1A-029$B>	S1A-029	B	northern ireland	1990-1994	female	50+	939
138	<S1A-029$C>	S1A-029	C	northern ireland	1990-1994	female	50+	61
139	<S1A-029$A>	S1A-029	A	northern ireland	1990-1994	male	19-25	118
140	<S1A-029$B>	S1A-029	B	northern ireland	1990-1994	female	50+	120
141	<S1A-029$D>	S1A-029	D	northern ireland	1990-1994	female	50+	533
142	<S1A-030$A>	S1A-030	A	northern ireland	1990-1994	male	NA	492
143	<S1A-030$B>	S1A-030	B	northern ireland	1990-1994	female	NA	187
144	<S1A-030$C>	S1A-030	C	northern ireland	1990-1994	female	NA	620
145	<S1A-030$D>	S1A-030	D	northern ireland	1990-1994	male	NA	514
146	<S1A-031$A>	S1A-031	A	northern ireland	1990-1994	female	NA	785
147	<S1A-031$B?>	S1A-031	B?	NA	NA	NA	NA	5
148	<S1A-031$B>	S1A-031	B	northern ireland	1990-1994	female	NA	570
149	<S1A-031$C>	S1A-031	C	northern ireland	1990-1994	male	NA	367
150	<S1A-031$D>	S1A-031	D	northern ireland	1990-1994	female	NA	373
151	<S1A-032$A>	S1A-032	A	northern ireland	1990-1994	male	NA	289
152	<S1A-032$B>	S1A-032	B	northern ireland	1990-1994	male	19-25	132
153	<S1A-032$C>	S1A-032	C	northern ireland	1990-1994	male	NA	330
154	<S1A-032$D>	S1A-032	D	northern ireland	1990-1994	female	NA	588
155	<S1A-032$E>	S1A-032	E	northern ireland	1990-1994	female	NA	345
156	<S1A-032$F>	S1A-032	F	northern ireland	1990-1994	male	NA	94
157	<S1A-032$G>	S1A-032	G	northern ireland	1990-1994	male	NA	123
158	<S1A-033$?>	S1A-033	?	NA	NA	NA	NA	18
159	<S1A-033$A>	S1A-033	A	northern ireland	2002-2005	female	50+	157
160	<S1A-033$B>	S1A-033	B	northern ireland	2002-2005	female	50+	1256
161	<S1A-033$C>	S1A-033	C	northern ireland	2002-2005	female	50+	416
162	<S1A-033$D>	S1A-033	D	mixed between ni and roi	2002-2005	female	50+	376
163	<S1A-034$A>	S1A-034	A	northern ireland	1990-1994	male	NA	623
164	<S1A-034$B>	S1A-034	B	northern ireland	1990-1994	male	NA	466
165	<S1A-034$C>	S1A-034	C	northern ireland	1990-1994	female	NA	534
166	<S1A-034$D>	S1A-034	D	northern ireland	1990-1994	female	NA	236
167	<S1A-035$A>	S1A-035	A	northern ireland	2002-2005	male	19-25	944
168	<S1A-035$B>	S1A-035	B	northern ireland	2002-2005	female	19-25	1160
169	<S1A-036$A>	S1A-036	A	northern ireland	2002-2005	female	26-33	657
170	<S1A-036$B>	S1A-036	B	northern ireland	2002-2005	female	26-33	1251
171	<S1A-037$A>	S1A-037	A	northern ireland	2002-2005	female	50+	202
172	<S1A-037$B>	S1A-037	B	northern ireland	2002-2005	female	50+	814
173	<S1A-037$C>	S1A-037	C	northern ireland	2002-2005	female	50+	899
174	<S1A-037$D>	S1A-037	D	mixed between ni and roi	2002-2005	female	50+	344
175	<S1A-038$A>	S1A-038	A	northern ireland	2002-2005	female	26-33	1012
176	<S1A-038$B>	S1A-038	B	northern ireland	2002-2005	female	26-33	938
177	<S1A-039$A>	S1A-039	A	northern ireland	2002-2005	male	26-33	228
178	<S1A-039$B>	S1A-039	B	northern ireland	2002-2005	male	19-25	1117
179	<S1A-039$C>	S1A-039	C	northern ireland	2002-2005	female	19-25	894
180	<S1A-040$A>	S1A-040	A	northern ireland	2002-2005	female	50+	284
181	<S1A-040$B>	S1A-040	B	northern ireland	2002-2005	male	50+	400
182	<S1A-040$C>	S1A-040	C	northern ireland	2002-2005	female	19-25	96
183	<S1A-040$D>	S1A-040	D	northern ireland	2002-2005	female	19-25	268
184	<S1A-041$A>	S1A-041	A	northern ireland	1990-1994	female	NA	229
185	<S1A-041$B>	S1A-041	B	northern ireland	1990-1994	male	19-25	785
186	<S1A-041$C>	S1A-041	C	northern ireland	1990-1994	female	NA	303
187	<S1A-041$D>	S1A-041	D	northern ireland	1990-1994	male	NA	791
188	<S1A-042$?>	S1A-042	?	NA	NA	NA	NA	1
189	<S1A-042$A>	S1A-042	A	northern ireland	1990-1994	female	NA	215
190	<S1A-042$B>	S1A-042	B	northern ireland	1990-1994	female	NA	708
191	<S1A-042$C>	S1A-042	C	northern ireland	1990-1994	female	NA	81
192	<S1A-042$D>	S1A-042	D	republic of ireland	1990-1994	female	NA	598
193	<S1A-042$E>	S1A-042	E	northern ireland	1990-1994	male	NA	40
194	<S1A-043$A>	S1A-043	A	northern ireland	2002-2005	female	50+	1574
195	<S1A-043$B>	S1A-043	B	northern ireland	2002-2005	male	26-33	272
196	<S1A-043$C>	S1A-043	C	mixed between ni and roi	2002-2005	female	26-33	50
197	<S1A-043$D>	S1A-043	D	northern ireland	2002-2005	female	26-33	63
198	<S1A-044$A>	S1A-044	A	mixed between ni and roi	2002-2005	female	26-33	1782
199	<S1A-044$B>	S1A-044	B	northern ireland	2002-2005	female	26-33	40
200	<S1A-044$C>	S1A-044	C	northern ireland	2002-2005	female	26-33	51
201	<S1A-044$D>	S1A-044	D	mixed between ni and roi	2002-2005	female	26-33	27
202	<S1A-045$?>	S1A-045	?	NA	NA	NA	NA	0
203	<S1A-045$A>	S1A-045	A	northern ireland	2002-2005	female	NA	1549
204	<S1A-045$B>	S1A-045	B	northern ireland	2002-2005	female	19-25	367
205	<S1A-045$C>	S1A-045	C	non-corpus speaker	2002-2005	female	0-18	0
206	<S1A-045$D>	S1A-045	D	non-corpus speaker	2002-2005	male	0-18	0
207	<S1A-046$A>	S1A-046	A	republic of ireland	1990-1994	female	19-25	775
208	<S1A-046$B>	S1A-046	B	republic of ireland	1990-1994	female	19-25	857
209	<S1A-047$A>	S1A-047	A	republic of ireland	1990-1994	female	42-49	1157
210	<S1A-047$B>	S1A-047	B	republic of ireland	1990-1994	female	50+	621
211	<S1A-048$A>	S1A-048	A	republic of ireland	1990-1994	female	19-25	824
212	<S1A-048$B>	S1A-048	B	republic of ireland	1990-1994	male	19-25	981
213	<S1A-049$A>	S1A-049	A	republic of ireland	1990-1994	female	19-25	2011
214	<S1A-049$B>	S1A-049	B	republic of ireland	1990-1994	female	19-25	443
215	<S1A-050$A>	S1A-050	A	republic of ireland	1990-1994	female	19-25	347
216	<S1A-050$B>	S1A-050	B	republic of ireland	1990-1994	female	19-25	526
217	<S1A-050$C>	S1A-050	C	republic of ireland	1990-1994	female	19-25	1099
218	<S1A-051$?>	S1A-051	?	NA	NA	NA	NA	4
219	<S1A-051$A>	S1A-051	A	mixed between ni and roi	1990-1994	female	19-25	629
220	<S1A-051$B>	S1A-051	B	republic of ireland	1990-1994	female	19-25	709
221	<S1A-051$C>	S1A-051	C	republic of ireland	1990-1994	female	19-25	59
222	<S1A-051$D>	S1A-051	D	republic of ireland	1990-1994	female	19-25	387
223	<S1A-051$E>	S1A-051	E	republic of ireland	1990-1994	female	19-25	295
224	<S1A-052$A>	S1A-052	A	republic of ireland	1990-1994	female	19-25	452
225	<S1A-052$B>	S1A-052	B	republic of ireland	1990-1994	male	19-25	590
226	<S1A-052$C>	S1A-052	C	republic of ireland	1990-1994	male	26-33	416
227	<S1A-053$A>	S1A-053	A	republic of ireland	1990-1994	female	26-33	947
228	<S1A-053$B>	S1A-053	B	republic of ireland	1990-1994	female	19-25	182
229	<S1A-053$C>	S1A-053	C	republic of ireland	1990-1994	female	19-25	417
230	<S1A-053$D>	S1A-053	D	republic of ireland	1990-1994	female	19-25	455
231	<S1A-053$X>	S1A-053	X	NA	NA	NA	NA	7
232	<S1A-054$?>	S1A-054	?	NA	NA	NA	NA	2
233	<S1A-054$A>	S1A-054	A	republic of ireland	1990-1994	female	26-33	766
234	<S1A-054$B>	S1A-054	B	republic of ireland	1990-1994	female	19-25	75
235	<S1A-054$C>	S1A-054	C	republic of ireland	1990-1994	female	19-25	410
236	<S1A-054$D>	S1A-054	D	republic of ireland	1990-1994	female	19-25	636
237	<S1A-055$?>	S1A-055	?	NA	NA	NA	NA	0
238	<S1A-055$A>	S1A-055	A	republic of ireland	1990-1994	male	50+	563
239	<S1A-055$B>	S1A-055	B	republic of ireland	1990-1994	female	50+	1310
240	<S1A-055$D>	S1A-055	D	republic of ireland	1990-1994	male	50+	250
241	<S1A-055$E>	S1A-055	E	republic of ireland	1990-1994	female	42-49	269
242	<S1A-056$A>	S1A-056	A	republic of ireland	1990-1994	female	19-25	172
243	<S1A-056$B>	S1A-056	B	republic of ireland	1990-1994	female	19-25	841
244	<S1A-056$C>	S1A-056	C	republic of ireland	1990-1994	female	19-25	131
245	<S1A-056$D>	S1A-056	D	republic of ireland	1990-1994	female	19-25	801
246	<S1A-056$X>	S1A-056	X	republic of ireland	1990-1994	female	19-25	12
247	<S1A-057$A>	S1A-057	A	republic of ireland	1990-1994	female	19-25	1019
248	<S1A-057$B>	S1A-057	B	republic of ireland	1990-1994	male	19-25	906
249	<S1A-058$A>	S1A-058	A	republic of ireland	1990-1994	female	19-25	237
250	<S1A-058$B>	S1A-058	B	republic of ireland	1990-1994	female	19-25	702
251	<S1A-058$C>	S1A-058	C	republic of ireland	1990-1994	female	19-25	383
252	<S1A-058$D>	S1A-058	D	republic of ireland	1990-1994	female	19-25	663
253	<S1A-058$X>	S1A-058	X	NA	NA	NA	NA	4
254	<S1A-059$A>	S1A-059	A	republic of ireland	1990-1994	female	19-25	906
255	<S1A-059$B>	S1A-059	B	republic of ireland	1990-1994	female	50+	1044
256	<S1A-060$A>	S1A-060	A	republic of ireland	1990-1994	female	19-25	649
257	<S1A-060$B>	S1A-060	B	republic of ireland	1990-1994	female	50+	764
258	<S1A-061$A>	S1A-061	A	republic of ireland	1990-1994	male	34-41	1424
259	<S1A-061$B>	S1A-061	B	republic of ireland	1990-1994	female	19-25	378
260	<S1A-061$C>	S1A-061	C	republic of ireland	1990-1994	female	19-25	305
261	<S1A-062$A>	S1A-062	A	republic of ireland	1990-1994	male	19-25	336
262	<S1A-062$B>	S1A-062	B	republic of ireland	1990-1994	female	19-25	1243
263	<S1A-062$C>	S1A-062	C	republic of ireland	1990-1994	male	19-25	285
264	<S1A-063$A>	S1A-063	A	republic of ireland	1990-1994	female	19-25	870
265	<S1A-063$B>	S1A-063	B	republic of ireland	1990-1994	female	19-25	776
266	<S1A-063$C>	S1A-063	C	republic of ireland	1990-1994	female	19-25	328
267	<S1A-063$X>	S1A-063	X	NA	NA	NA	NA	8
268	<S1A-064$A>	S1A-064	A	republic of ireland	1990-1994	male	50+	60
269	<S1A-064$B>	S1A-064	B	republic of ireland	1990-1994	female	50+	148
270	<S1A-064$C>	S1A-064	C	republic of ireland	1990-1994	female	19-25	178
271	<S1A-064$D>	S1A-064	D	republic of ireland	1990-1994	female	19-25	288
272	<S1A-064$E>	S1A-064	E	republic of ireland	1990-1994	female	19-25	595
273	<S1A-064$F>	S1A-064	F	non-corpus speaker	1990-1994	male	0-18	1
274	<S1A-064$G>	S1A-064	G	non-corpus speaker	1990-1994	female	0-18	92
275	<S1A-064$H>	S1A-064	H	republic of ireland	1990-1994	male	19-25	2
276	<S1A-064$X>	S1A-064	X	republic of ireland	1990-1994	NA	NA	14
277	<S1A-065$A>	S1A-065	A	republic of ireland	1990-1994	male	19-25	408
278	<S1A-065$B>	S1A-065	B	republic of ireland	1990-1994	male	19-25	690
279	<S1A-065$C>	S1A-065	C	republic of ireland	1990-1994	female	19-25	1144
280	<S1A-066$A>	S1A-066	A	republic of ireland	1990-1994	female	19-25	387
281	<S1A-066$B>	S1A-066	B	republic of ireland	1990-1994	female	19-25	601
282	<S1A-066$C>	S1A-066	C	republic of ireland	1990-1994	female	19-25	867
283	<S1A-067$A>	S1A-067	A	republic of ireland	2002-2005	female	19-25	905
284	<S1A-067$B>	S1A-067	B	republic of ireland	2002-2005	male	42-49	241
285	<S1A-067$C>	S1A-067	C	republic of ireland	2002-2005	female	50+	495
286	<S1A-067$D>	S1A-067	D	republic of ireland	2002-2005	male	19-25	367
287	<S1A-068$?>	S1A-068	?	NA	NA	NA	NA	6
288	<S1A-068$A>	S1A-068	A	republic of ireland	2002-2005	female	19-25	861
289	<S1A-068$B>	S1A-068	B	republic of ireland	2002-2005	female	26-33	381
290	<S1A-068$C>	S1A-068	C	republic of ireland	2002-2005	female	26-33	664
291	<S1A-069$A>	S1A-069	A	republic of ireland	1990-1994	male	19-25	667
292	<S1A-069$B>	S1A-069	B	republic of ireland	1990-1994	female	19-25	638
293	<S1A-069$C>	S1A-069	C	republic of ireland	1990-1994	female	19-25	756
294	<S1A-070$A>	S1A-070	A	republic of ireland	1990-1994	female	19-25	1089
295	<S1A-070$B>	S1A-070	B	republic of ireland	1990-1994	female	19-25	924
296	<S1A-071$A>	S1A-071	A	republic of ireland	1990-1994	female	19-25	703
297	<S1A-071$B>	S1A-071	B	republic of ireland	1990-1994	male	19-25	592
298	<S1A-071$C>	S1A-071	C	republic of ireland	1990-1994	male	26-33	731
299	<S1A-071$S>	S1A-071	S	NA	NA	NA	NA	6
300	<S1A-072$A>	S1A-072	A	republic of ireland	1990-1994	female	19-25	562
301	<S1A-072$B>	S1A-072	B	republic of ireland	1990-1994	male	19-25	1204
302	<S1A-072$C>	S1A-072	C	republic of ireland	1990-1994	female	19-25	366
303	<S1A-072$D>	S1A-072	D	republic of ireland	1990-1994	female	50+	16
304	<S1A-072$X>	S1A-072	X	NA	NA	NA	NA	3
305	<S1A-073$A>	S1A-073	A	republic of ireland	1990-1994	female	50+	865
306	<S1A-073$B>	S1A-073	B	republic of ireland	1990-1994	male	50+	1273
307	<S1A-073$C>	S1A-073	C	republic of ireland	1990-1994	female	19-25	298
308	<S1A-074$A>	S1A-074	A	republic of ireland	1990-1994	female	50+	1020
309	<S1A-074$B>	S1A-074	B	republic of ireland	1990-1994	male	50+	760
310	<S1A-074$C>	S1A-074	C	republic of ireland	1990-1994	female	19-25	650
311	<S1A-075$A>	S1A-075	A	republic of ireland	1990-1994	female	19-25	1717
312	<S1A-075$B>	S1A-075	B	republic of ireland	1990-1994	female	19-25	290
313	<S1A-075$C>	S1A-075	C	republic of ireland	1990-1994	female	19-25	356
314	<S1A-076$A>	S1A-076	A	republic of ireland	1990-1994	female	19-25	1693
315	<S1A-076$B>	S1A-076	B	republic of ireland	1990-1994	female	19-25	556
316	<S1A-077$?>	S1A-077	?	NA	NA	NA	NA	3
317	<S1A-077$A>	S1A-077	A	republic of ireland	1990-1994	female	50+	598
318	<S1A-077$B>	S1A-077	B	republic of ireland	1990-1994	female	50+	497
319	<S1A-077$C>	S1A-077	C	republic of ireland	1990-1994	female	42-49	616
320	<S1A-077$D>	S1A-077	D	republic of ireland	1990-1994	female	19-25	520
321	<S1A-078$?>	S1A-078	?	NA	NA	NA	NA	47
322	<S1A-078$A>	S1A-078	A	republic of ireland	1990-1994	female	42-49	589
323	<S1A-078$B>	S1A-078	B	republic of ireland	1990-1994	female	19-25	868
324	<S1A-078$C>	S1A-078	C	republic of ireland	1990-1994	female	19-25	302
325	<S1A-078$D>	S1A-078	D	republic of ireland	1990-1994	male	50+	103
326	<S1A-078$E>	S1A-078	E	republic of ireland	1990-1994	female	19-25	73
327	<S1A-078$F>	S1A-078	F	NA	NA	NA	NA	8
328	<S1A-079$A>	S1A-079	A	republic of ireland	1990-1994	female	19-25	723
329	<S1A-079$B>	S1A-079	B	republic of ireland	1990-1994	female	26-33	1420
330	<S1A-079$C>	S1A-079	C	republic of ireland	1990-1994	female	19-25	22
331	<S1A-079$D>	S1A-079	D	republic of ireland	1990-1994	female	19-25	140
332	<S1A-080$?>	S1A-080	?	NA	NA	NA	NA	1
333	<S1A-080$A>	S1A-080	A	mixed between ni and roi	1990-1994	female	19-25	1089
334	<S1A-080$B>	S1A-080	B	republic of ireland	1990-1994	female	19-25	396
335	<S1A-080$C>	S1A-080	C	republic of ireland	1990-1994	female	19-25	398
336	<S1A-081$?>	S1A-081	?	NA	NA	NA	NA	22
337	<S1A-081$A>	S1A-081	A	republic of ireland	1990-1994	male	50+	346
338	<S1A-081$B>	S1A-081	B	republic of ireland	1990-1994	female	50+	341
339	<S1A-081$C>	S1A-081	C	republic of ireland	1990-1994	female	19-25	257
340	<S1A-081$D>	S1A-081	D	republic of ireland	1990-1994	female	19-25	137
341	<S1A-081$E>	S1A-081	E	republic of ireland	1990-1994	female	19-25	275
342	<S1A-081$F>	S1A-081	F	non-corpus speaker	1990-1994	male	0-18	225
343	<S1A-081$G>	S1A-081	G	non-corpus speaker	1990-1994	female	0-18	218
344	<S1A-081$H>	S1A-081	H	republic of ireland	1990-1994	male	19-25	125
345	<S1A-082$?>	S1A-082	?	NA	NA	NA	NA	15
346	<S1A-082$A>	S1A-082	A	republic of ireland	1990-1994	female	26-33	578
347	<S1A-082$B>	S1A-082	B	republic of ireland	1990-1994	male	26-33	122
348	<S1A-082$C>	S1A-082	C	republic of ireland	1990-1994	female	26-33	292
